id,created_at,text
1456994589248679937,2021-11-06 14:39:14+00:00,@cessmala05 @SolApeFinance $SOLAPE
1456994031519502339,2021-11-06 14:37:01+00:00,RT @SolApeFinance: 🦍🙏
1456993256605057035,2021-11-06 14:33:56+00:00,@Efrendo_X Well :) I'm happy to hear that.
1456992291340488714,2021-11-06 14:30:06+00:00,@Bjpate1911 place for everyone in crypto
1456991610923716621,2021-11-06 14:27:24+00:00,"Working in crypto might be worth it for the travel opportunities.

What other industry has a constant circuit to tr… https://t.co/Njh04v9irU"
1456984104709222410,2021-11-06 13:57:34+00:00,@TestingRhymes Good point.
1456982387057840128,2021-11-06 13:50:45+00:00,"I guess I get it, you don't make that kind of money unless you're already in a groove making it and it's easy to ju… https://t.co/3RWouqf4hv"
1456981876321652740,2021-11-06 13:48:43+00:00,@alistairmilne jesus
1456976826245386241,2021-11-06 13:28:39+00:00,@RookieXBT Can I have 5 solana
1456975161412841474,2021-11-06 13:22:02+00:00,(I'm pretty bullish $ETH)
1456974099624775688,2021-11-06 13:17:49+00:00,"Either $ETH is about to fall off a cliff or $SOL is about to moon. 

Not sure what else could happen with this set… https://t.co/h6ycYwuKYB"
1456969215223623685,2021-11-06 12:58:24+00:00,@christiolson help
1456968419098591244,2021-11-06 12:55:14+00:00,$SOL is just so much stronger than BTC and ETH it's striking.
1456958546700951552,2021-11-06 12:16:01+00:00,@Darrenlautf https://t.co/YLElSX2a7q
1456957458539155456,2021-11-06 12:11:41+00:00,??? https://t.co/yJUzkQjJV5
1456955293590441985,2021-11-06 12:03:05+00:00,Let's all come up with new words next year https://t.co/2CjqR5NmcR
1456947362232819720,2021-11-06 11:31:34+00:00,I gotta keep these jokes to myself
1456946831674408961,2021-11-06 11:29:28+00:00,Any $LTC developers in Lisbon I can connect with?
1456945042535301120,2021-11-06 11:22:21+00:00,"The good news is, BTC and other majors are bullish.

The bad news is, you don't have the patience or margin to stay… https://t.co/WR3aeQjPyT"
1456944982825127936,2021-11-06 11:22:07+00:00,"RT @LesserWorry: Funding/premium is good, generally markets look good (along with legacy), there should be optimism and buyers, and people…"
1456944297148760064,2021-11-06 11:19:23+00:00,"@LesserWorry I added, a little bit."
1456944213363347458,2021-11-06 11:19:03+00:00,RT @TheCoinAtlas: Just landed in #Lisbon for #SolanaBreakpoint - if you're here hit me up!
1456943436045512710,2021-11-06 11:15:58+00:00,"@itsLudi_ @austerity_sucks This is key I think.

What community, hospital, school, or park would I donate to?  I'm… https://t.co/eJnyKP797d"
1456854122242527236,2021-11-06 05:21:04+00:00,RT @SalsaTekila: At times I thought I'm socially retarded. But I know I am not considering the fact I locked myself in a room like this for…
1456837342107295749,2021-11-06 04:14:23+00:00,"RT @jerrybrito: 1/ Despite our best efforts, the infrastructure bill has passed with the terrible crypto tax reporting provisions. The figh…"
1456807145224097794,2021-11-06 02:14:24+00:00,@WoofSolana Love to see that
1456707495095779328,2021-11-05 19:38:25+00:00,@pythianism That's a really cool way to spend a week
1456673194924859396,2021-11-05 17:22:08+00:00,"RT @TheCryptoDog: The purpose of these BTC dumps is to let you load up on ETH, I think."
1456670298950942724,2021-11-05 17:10:37+00:00,@Etherean007 The only thing you have to do right now is nothing
1456667918750523393,2021-11-05 17:01:10+00:00,@TeddyRoosevalt @WoofSolana Cool opportunity
1456667753339711497,2021-11-05 17:00:30+00:00,"RT @TeddyRoosevalt: Incredible opportunity to win 500k $WOOF (plus multiple other prizes) - that’s $1250 today, and likely worth far more o…"
1456666506557755392,2021-11-05 16:55:33+00:00,"@TheEliteSweets Oh hell yeah, National Donut Day?"
