id,created_at,text
1456930272285450240,2021-11-06 10:23:40+00:00,@warobusiness we like high fees
1456926032745934849,2021-11-06 10:06:49+00:00,@johnj1138 What about Findenzas?
1456911281701675014,2021-11-06 09:08:12+00:00,@DegenSpartan Saved and then copy pasted. Now I have four.
1456910890549321731,2021-11-06 09:06:39+00:00,"Technically I can DCA in tothem. Buy floor punk, then buy another one if the price goes down."
1456910217610944513,2021-11-06 09:03:58+00:00,@DegenSpartan Didn't know you had some
1456909705696235528,2021-11-06 09:01:56+00:00,I don't know much about NFTs and I need someone to tell me whether now is a good time to buy some or should I wait a bit more?
1456701189152772101,2021-11-05 19:13:22+00:00,@Nwoye_Stan It's going to 5k. Make it 1002 times.
1456696754078945284,2021-11-05 18:55:44+00:00,@RyanSAdams Of course in it for the tech 😏
1456682767249465352,2021-11-05 18:00:10+00:00,@Ubah01 I like it
1456682098530656256,2021-11-05 17:57:30+00:00,"$ETH is going to $5k, whether you like it or not.."
1456677756947795983,2021-11-05 17:40:15+00:00,"@rock_n_liana You will get there, don't worry 👍"
1456672381272043522,2021-11-05 17:18:54+00:00,I don't tweet for few hours and you start selling. Just dont..
1456523692540928001,2021-11-05 07:28:03+00:00,@BitTony3 Why? )
1456520875604316176,2021-11-05 07:16:52+00:00,@dcfgod That's my strategy 🤝
1456516214394589185,2021-11-05 06:58:20+00:00,There are so many coins that's impossible for one man to keep up with everything. Not even talking about NFTs or ga… https://t.co/tM4dM8fVYz
1456515429166354472,2021-11-05 06:55:13+00:00,@CptFlolle 🤝
1456482300884144128,2021-11-05 04:43:35+00:00,@Nft_beta Still some time until the airdrop date
1456481346268827654,2021-11-05 04:39:47+00:00,@cybertruck420 I don't follow Kucoin coins much. Is it good?
1456481242673827852,2021-11-05 04:39:23+00:00,@xotiqvibes 3-4 max
1456481029267632131,2021-11-05 04:38:32+00:00,@smarif81502187 Soon
1456480945201205258,2021-11-05 04:38:12+00:00,Good morning. How's your $OMG long  going? https://t.co/5LUhRy0EAB
1456364451796594689,2021-11-04 20:55:17+00:00,@Yodod0 @DefiWiz &lt; he doesn't know
1456362785370251272,2021-11-04 20:48:40+00:00,Whenever my friends ask for a tip on what to long I tell them this great quote by CZ: https://t.co/YF5RuvjLGJ
1456336249871011844,2021-11-04 19:03:14+00:00,@DefiWiz Bro I don't like your language
1456330165261381638,2021-11-04 18:39:03+00:00,@RoastedCrypto I do that occasionally 😜
1456329739602382856,2021-11-04 18:37:21+00:00,Life on Twitter has been so much better since I started blocking people. Works like magic..
1456317005443784712,2021-11-04 17:46:45+00:00,@aeyakovenko Well said
1456314675461820417,2021-11-04 17:37:30+00:00,@aeyakovenko To believe it first I need to understand what you just said 😀
1456306706598834180,2021-11-04 17:05:50+00:00,I don't understand angry arguments about which chain is better. We are in bull market. Everything is going up. Stop… https://t.co/kmG7QDUIaz
1456289625673191426,2021-11-04 15:57:57+00:00,You think Andre would still buy all my $FTM at $5?
1456283700035981312,2021-11-04 15:34:25+00:00,@Crypto_Ed_NL Diamonds hands here uncle 😉
1456283272498012162,2021-11-04 15:32:43+00:00,@satsdart I got nothing against avax or any other chains. My experiences with them were pretty satisfactory. But th… https://t.co/DjNjc91klp
1456282133241159687,2021-11-04 15:28:11+00:00,@PonziInvestor @satsdart And what would be a non-retarded way to compare them?
1456281722572656642,2021-11-04 15:26:33+00:00,"@satsdart You can also say that if other chains didn't suck, people would use them more and eth wouldn't be congested 😜"
1456280917023023104,2021-11-04 15:23:21+00:00,"@satsdart I don't think you get my point here. It's not about being better, it's about the demand for using the blo… https://t.co/wwj0TaD8Wf"
1456248152542126084,2021-11-04 13:13:10+00:00,@Aezakmi_Crypto Yes but still low compared to others
1456206190367715328,2021-11-04 10:26:25+00:00,"@nitflix88 No, we are cool now"
1456205605308358658,2021-11-04 10:24:05+00:00,Shorters are getting squeezed.. $OMG https://t.co/HEp5ijGodq https://t.co/pEsjYFpSue
