id,created_at,text
1554324121625849856,2022-08-02 04:32:03+00:00,@litcapital basically yeah
1554192710134669314,2022-08-01 19:49:52+00:00,@SOL_Lewitt @rsalame7926 he hasn’t
1553269556855971840,2022-07-30 06:41:35+00:00,@Galois_Capital I even know all the words and it still doesn’t really make sense to me lol
1553140898057179136,2022-07-29 22:10:20+00:00,@StorybookBrawl @lsv This format taught me so much about what I've always wanted https://t.co/pBM1Mhyl9e
1552969646558494720,2022-07-29 10:49:51+00:00,@cmsholdings bg
1552071878977630208,2022-07-26 23:22:26+00:00,It’s crazy that we can just tap credit cards now but they’re still in the form of a credit card
1552018856826138624,2022-07-26 19:51:45+00:00,@cmsholdings @rsalame7926 @ericturnr @hellspawncrypto @MessariCrypto god’s work!
1551268847415488513,2022-07-24 18:11:29+00:00,"@backbooked SCOOPED

https://t.co/tgSuoyxSHS"
1551173396272099330,2022-07-24 11:52:11+00:00,@rsalame7926 what
1549867367462604801,2022-07-20 21:22:30+00:00,"(fundamental reasons aren’t all that exists though, of course)"
1549867203117195264,2022-07-20 21:21:51+00:00,Position closing doesn’t have that latter effect so I tend to think of it as basically nothing in terms of expected… https://t.co/t7X1zlKw2C
1549866943108173824,2022-07-20 21:20:49+00:00,When people hear “X bought” they tend to have thoughts like “buying means UP” (and sometimes follow-on effects exis… https://t.co/VEDeb3z4dY
1549866432921358336,2022-07-20 21:18:47+00:00,"Reminder, “sold” and “will sell” are not the same just like “bought” and “will buy” are not the same; typical disco… https://t.co/Y72iSzuKDA"
1548249903402348544,2022-07-16 10:15:16+00:00,@dg1001 @mattysino they also have a chipotle
1548248230638497792,2022-07-16 10:08:37+00:00,@mattysino I worked in Bala Cynwyd for years and pronouncing it still makes me uneasy
1547632506270232581,2022-07-14 17:21:57+00:00,"@rsalame7926 @nicklalota I guess the only American @nicklalota ""puts first"" is himself!!"
1546749202696310785,2022-07-12 06:52:01+00:00,@zackvoell The part after that was decidedly less so!!!
1546749127031107584,2022-07-12 06:51:43+00:00,@zackvoell The part when I was briefly 8x starting stack was fun
1546747311744618496,2022-07-12 06:44:30+00:00,I should stick to trading!!!
1546625519935885312,2022-07-11 22:40:33+00:00,Always wanted to do this! https://t.co/bXI8MgxB9d
1546584304200794112,2022-07-11 19:56:46+00:00,I love Vegas https://t.co/uRRdkg1W1S
1545246980296740864,2022-07-08 03:22:44+00:00,"Have been seeing a lot of chatter about this, here’s our stance https://t.co/MeMs0Tr6Wd"
1544404875215118336,2022-07-05 19:36:30+00:00,@StorybookBrawl @FTX_Official when charity tournament
1544404637473574912,2022-07-05 19:35:33+00:00,"@Croaker917 to be clear this was mostly tongue in cheek / i figured some reasons existed, appreciate this info tho… https://t.co/yIyUtInCBb"
1544403020858871808,2022-07-05 19:29:08+00:00,i couldn't actually tell you though because i can never remember which it's called in a given game
1544402847063691264,2022-07-05 19:28:27+00:00,creature / attack / health is definite the best combo but i'm not sure any game uses all 3 of them
1544402756693155841,2022-07-05 19:28:05+00:00,"why can't every game that has:
- creatures / minions / characters / etc.
- health / toughness / etc.
- power / atta… https://t.co/LUIfMP7tVQ"
1544063348504875008,2022-07-04 20:59:24+00:00,@elonmusk @elonmusk would you like to co-author a crossword with me
1543897790992060424,2022-07-04 10:01:32+00:00,@rsalame7926 don't subtweet me
1543326742605025280,2022-07-02 20:12:23+00:00,@gakonst who told you that
1543311241912786944,2022-07-02 19:10:48+00:00,@aranha_paul @RyanSAdams https://t.co/EnM138gHEK
1543310940145213441,2022-07-02 19:09:36+00:00,"@BigCryptoAlert @StorybookBrawl I did re-download it the other day, it’s a good game"
1541924742265012228,2022-06-28 23:21:20+00:00,@0xSantasLilHlpr the prophecy https://t.co/a7ex3Qm2aM
1541919364286500866,2022-06-28 22:59:58+00:00,@cmsholdings sir
1541919094487883776,2022-06-28 22:58:54+00:00,@0xSantasLilHlpr keeping an eye out for this
1541916757400514560,2022-06-28 22:49:37+00:00,"The mascot has begun doing choreography to “Apple Bottom Jeans” while wearing jeans, I’m pretty invested https://t.co/D3ymt3akWh"
1541914316659736577,2022-06-28 22:39:55+00:00,"this, like all my other posts, is not:
- an allegory
- a code
- investment advice"
1541910624623632388,2022-06-28 22:25:14+00:00,"There’s nothing like the chaos of minor league baseball, thousands of people pay to come here and every half inning… https://t.co/cmNrGtfr59"
1541847588210724866,2022-06-28 18:14:45+00:00,@cmsholdings @cryptokonata sorry I didn’t accept the speaker request I wasn’t somewhere I could talk
1541846696249917440,2022-06-28 18:11:13+00:00,@cmsholdings @cryptokonata it added some much needed interest to my day
1541503135801393155,2022-06-27 19:26:01+00:00,it’s a joke!!!!! and it’s assuredly not financial advice
1541502980805066755,2022-06-27 19:25:25+00:00,have you ever seen su zhu and putin in the same room https://t.co/TzftOn4WdV
1540832747945689090,2022-06-25 23:02:09+00:00,"I just saw one for a car dealership which was basically ""hey I know gas prices are high, try saving money by buying a new car"""
1540832139301855232,2022-06-25 22:59:43+00:00,"I love small-town commercials where you can tell the ""actors"" are the business owner's teenage children and they did at most two takes."
1539815155713941504,2022-06-23 03:38:36+00:00,RT @phoenixvalue: No real wealth without health. You play the game differently when you finally accept it’s finite.
1539443788782915586,2022-06-22 03:02:55+00:00,RT @rsalame7926: I'm excited tonight to share that I’ve found myself exactly where I want to be.
1539048510401744896,2022-06-21 00:52:13+00:00,@rsalame7926 was a magic time
1538193052245938177,2022-06-18 16:12:56+00:00,@OrangePaulp https://t.co/3sSUMhuNzT
1537583266873544704,2022-06-16 23:49:52+00:00,@cmsholdings no one makes you do this dan
1537462949232746500,2022-06-16 15:51:46+00:00,"IMO the most exciting of the recent pro-crypto candidates, worth watching! https://t.co/WQgFiO7yyh"
1536839370686140416,2022-06-14 22:33:53+00:00,@jackshaftoes @dzrgreg @rsalame7926 would we record it in baboon or does ryan also speak english?
1536798613015351299,2022-06-14 19:51:56+00:00,@jackshaftoes an xnft
1536764822104285184,2022-06-14 17:37:39+00:00,@cmsholdings so many shake-ups today
1535110193465462802,2022-06-10 04:02:45+00:00,@rsalame7926 if there are clones of you i'm out
1534167564905025540,2022-06-07 13:37:05+00:00,"RT @michellebond111: GM. In fact, great morning. Today’s introduction of the Responsible Financial Innovation Act represents over a year of…"
1533575502807564288,2022-06-05 22:24:26+00:00,I’m settling an argument
1533573659016691716,2022-06-05 22:17:07+00:00,What fraction of the time when you’re taking a shower are your eyes closed?
1533249505755287554,2022-06-05 00:49:03+00:00,@rsalame7926 @HP @Microsoft @Google feel like you’d be a macbook guy
1533154707044188166,2022-06-04 18:32:21+00:00,"See also: ""bear market"""
1532849723035508738,2022-06-03 22:20:27+00:00,@aranha_paul @rsalame7926 not everyone is allowed to
1532848657187340289,2022-06-03 22:16:13+00:00,he said she said https://t.co/loOU114M60
