id,created_at,text
1516349873511092228,2022-04-19 09:35:56+00:00,@DagunTommy Wanting a 10x is exactly what is wrong with the world? 😮
1516349433348304898,2022-04-19 09:34:11+00:00,@asparagoid I think your bring a lot of value sir
1516345427091763201,2022-04-19 09:18:16+00:00,Me seeing bitcoin up 3% on the week and ignoring that my portfolio is down 60% from ATH https://t.co/htHETXLWck
1516325235309559812,2022-04-19 07:58:02+00:00,@Muhamma66734784 No that’s a scammer
1516323568023396353,2022-04-19 07:51:25+00:00,"Said GM to twitter ✅ 
Posted some memes ✅ 
10KM run ✅ 
Made coffee at home ✅ 

Which one is a lie? 👀 https://t.co/XTiu3nMkrZ"
1516318772822515714,2022-04-19 07:32:21+00:00,@BTC_Archive https://t.co/0m3BlFDblk
1516308580957245442,2022-04-19 06:51:52+00:00,Me blocking bots immediately after I tweet  https://t.co/uHDvDjxBGC
1516293019351277571,2022-04-19 05:50:01+00:00,When you finally hack my wallet and realize there is nothing in there https://t.co/TUKsF28ZbD
1516290230361501696,2022-04-19 05:38:56+00:00,24 hour early whitelist access opened just now for @SmartFOXNFT and not long until my Altcoin Gordon SMARTfox is re… https://t.co/VCZWi0bV9p
1516285881488973832,2022-04-19 05:21:40+00:00,GM ☕️☀️
1516165947031179278,2022-04-18 21:25:05+00:00,Late shorters getting punished 🤝 https://t.co/LKU9z9XZni
1516149729851289605,2022-04-18 20:20:38+00:00,@BTC_Archive 😂
1516149656522301456,2022-04-18 20:20:21+00:00,@AshleyDCan 😂
1516147265001435148,2022-04-18 20:10:51+00:00,@_lonelyfans 😂
1516147111129231360,2022-04-18 20:10:14+00:00,@alifarhat79 Sir?!
1516145442781806593,2022-04-18 20:03:36+00:00,@EnronChairman 😂
1516145429687197696,2022-04-18 20:03:33+00:00,RT @EnronChairman: Whenever someone tells @AltcoinGordon that #Bitcoin will never reach $100K https://t.co/gxSwl1pVpp
1516139321593679875,2022-04-18 19:39:17+00:00,@styggen2 @Sweety_zaramoto 🍻
1516132252601704453,2022-04-18 19:11:12+00:00,How it feels your first time getting rug pulled  https://t.co/xrwLblnGcz
1516121745324978186,2022-04-18 18:29:26+00:00,@HKBelvedere Ok I will send now 🥂
1516117232321011715,2022-04-18 18:11:30+00:00,@manovishu 💪
1516117162628374529,2022-04-18 18:11:14+00:00,@crystaldavies83 🔥
1516117131116621826,2022-04-18 18:11:06+00:00,@Thecryptomist Ok send eth address
1516115470096740355,2022-04-18 18:04:30+00:00,@TobiasKamkum 👀
1516115110208708609,2022-04-18 18:03:04+00:00,What alt coin would you buy if I sent you $1.7M? 🧐
1516112619496685568,2022-04-18 17:53:11+00:00,@TheNotoriousBSC @verified 😂
1516111249536438273,2022-04-18 17:47:44+00:00,@BTC_Archive LFG! https://t.co/38czqRdh8X
1516097348983836678,2022-04-18 16:52:30+00:00,@nftheroine 😎
1516096118010093568,2022-04-18 16:47:36+00:00,@MajaNil50108608 Ever seen dumbo?
1516095244659576836,2022-04-18 16:44:08+00:00,"If you can find one 10X trade every week, you can turn $1K in to $10M in just one month.

So what’s stopping you?"
1516091879665897473,2022-04-18 16:30:46+00:00,@Cryptoking Same monkey too? 👀
1516084247106359781,2022-04-18 16:00:26+00:00,@accointing I love paying my taxes!
1516083104032636933,2022-04-18 15:55:54+00:00,@DonYakka @cryptodropgg 👀
