id,created_at,text
1450613770300968962,2021-10-20 00:04:08+00:00,RT @CryptoMichNL: 4-0.
1450613759249158145,2021-10-20 00:04:05+00:00,"RT @CryptoMichNL: GEKKENHUIS OP DE TRIBUNE. 

❌❌❌"
1450613749522501632,2021-10-20 00:04:03+00:00,RT @crypto_birb: Huge respect to those who were bullish at bottoms @CryptoKaleo @TechDev_52 @CryptoMichNL @WClementeIII @100trillionUSD. Af…
1450613739326214146,2021-10-20 00:04:01+00:00,"RT @CryptoMichNL: Welcome to my page.

I'm providing daily content on the markets, economics and #Bitcoin , and more. 

Subscribe to YouTub…"
1450613697009930242,2021-10-20 00:03:51+00:00,RT @AltcoinGordon: Got my Zwickies fam! They’re dope 😎 https://t.co/GRaNkDt2cq
1450613682199748613,2021-10-20 00:03:47+00:00,RT @AltcoinGordon: Zwicky party about to start! Going to mint a couple of these 😬
1450613672355762176,2021-10-20 00:03:45+00:00,"RT @AltcoinGordon: The next generation will not invest in real estate (useless asset that depreciates) 

They will invest in JPEGs (real us…"
1450613666135560194,2021-10-20 00:03:43+00:00,RT @AltcoinGordon: I’ve always tried to stay humble but it is getting very difficult when it’s becoming more and more apparent I am better…
1450613656400670721,2021-10-20 00:03:41+00:00,"RT @AltcoinGordon: Some will say the biggest mistake you can make is taking profits to early.

Some will say it’s not taking profits on the…"
1450613645378039809,2021-10-20 00:03:38+00:00,RT @AltcoinGordon: Do your wives a favour and follow Radar!
1450613630064529409,2021-10-20 00:03:35+00:00,RT @AltcoinGordon: LFG! https://t.co/bQSaBEggmn
1450613615808102408,2021-10-20 00:03:31+00:00,"RT @AltcoinGordon: When ever you see people making more money than you and you feel like you need more, just remember there are people livi…"
1450613608623353856,2021-10-20 00:03:30+00:00,"RT @AltcoinGordon: Top assets by Market cap

1. Gold $11.251 T
2. Apple $2.178 T
3. Saudi Aramco $2.037 T
4. Microsoft $1.839 T
5. Amazon $…"
1437499582955589632,2021-09-13 19:33:02+00:00,"Either pass/fail, Japanese agricultural sector"
