id,created_at,text
1516169783292706821,2022-04-18 21:40:20+00:00,"Consider how the security of your company, or the service providers it depends on, will fair once it becomes trivia… https://t.co/MRKONSM1WZ"
1516168427752337416,2022-04-18 21:34:56+00:00,@stuffaluffaguss That thread was about private investment valuations (and kind of the majority of crypto assets tha… https://t.co/yeTU3EwMeV
1516108454364078085,2022-04-18 17:36:38+00:00,"7/ a mix of supply shock driven inflation (supply chain disruptions from covid + russia/ukraine, as well as wage dr… https://t.co/RDCkyQVWYG"
1516108453437132804,2022-04-18 17:36:37+00:00,"6/ there's no consensus language to describe these distinctions in either business nor in economics, which often pr… https://t.co/w5nfvjxbwW"
1516108452589932551,2022-04-18 17:36:37+00:00,"5/ In 2022 we've mostly seen assets flat to down in $$ terms.  But wage driven inflation has been accelerating, and… https://t.co/wOFz4BXPu3"
1516108451717464068,2022-04-18 17:36:37+00:00,4/ the classic ongoing inflation is historically framed as wage driven. Prices rise for some reason (whether supply… https://t.co/NyZIJ3KCBT
1516108450866073608,2022-04-18 17:36:37+00:00,"3/ the stuff rising fast: crypto, equities, bonds, some real estate, collectibles.  Most importantly: there was lit… https://t.co/RQbC52xg8U"
1516108449985216518,2022-04-18 17:36:37+00:00,"2/ 2010-2021 we had *asset inflation.*  CPI, the most commonly referenced inflation metric, ran relatively low, but… https://t.co/3uvJkLRuf0"
1516108448865390598,2022-04-18 17:36:36+00:00,A common response to this was that inflation wasn't low 2010-2021.  Fair - I said the same quite a bit during that… https://t.co/tw2mQ1ZeI9
1515688976476254224,2022-04-17 13:49:46+00:00,@tylermacro10 Both.
1515683460127539202,2022-04-17 13:27:51+00:00,"@Classic_Craig Probably better than any other passive option, but won’t necessarily produce a happy outcome over a… https://t.co/V0SRVMP5k7"
1515682888720830464,2022-04-17 13:25:35+00:00,"9/ B. Be realistic about fundamental value, and own stuff you believe in long-term and view market prices as just t… https://t.co/MMPYFBp9YT"
1515682886879490052,2022-04-17 13:25:34+00:00,8/ practical advice: have to be aware of this dynamic to avoid being the fish providing liquidity to those insiders… https://t.co/dN3XV7j1P3
1515682886049050629,2022-04-17 13:25:34+00:00,7/ one way to think about this is to analogize to wash trading.  A hundred people trading 5% of a projects’ tokens… https://t.co/i7p21wJTIF
1515682885172404225,2022-04-17 13:25:34+00:00,"6/ for illiquid assets, investors (and investors in those funds), often believe the marks, and in some cases those… https://t.co/bK5vkzu7Rq"
1515682884400594949,2022-04-17 13:25:34+00:00,"5/ again, XRP a good case study here.  The exchange price is “real” for some tiny fraction of market cap, but it’s… https://t.co/teRAJSqL4K"
1515682883549159425,2022-04-17 13:25:34+00:00,4/ a small % of these projects “cross the chasm” and find new broader market participants willing to buy real size.… https://t.co/zy6L0EufXn
1515682882689413128,2022-04-17 13:25:33+00:00,"3/ same patterns with most NFTs, or a lot of high market cap liquid coins.  We get sky high prices on say 5% of tok… https://t.co/VQnbNVYa7N"
1515682881926053888,2022-04-17 13:25:33+00:00,"2/ to clarify, let’s say a project raises $5m at $50m valuation, then $10 at $100, then $50, at $500m.  But…those v… https://t.co/lnO8GDfKaY"
1515682880193761288,2022-04-17 13:25:33+00:00,"Imo, has been over for at least a year, people just don’t realize it.  Lots of investments marked at all time highs… https://t.co/tGZDvKNCjZ"
1515678393559396354,2022-04-17 13:07:43+00:00,"@nope_its_lily Yep.  Imo, it’s harder than it looks cause of the challenge of managing a lot of short positions bei… https://t.co/cNwcCbrTRj"
1515509392933892102,2022-04-17 01:56:10+00:00,@ESmathers @real_vijay @PeterLBrandt @NeerajKA The tweet above mine states it’s trolling.
1515509228651397120,2022-04-17 01:55:31+00:00,@nope_its_lily Are there any managers left still doing that?  Was such a horrible business for last decade my perce… https://t.co/GOc9y6DHjk
1515508539996975106,2022-04-17 01:52:47+00:00,@BabbersNFriends ?  You’re suggesting stagflation requires higher unemployment?  Why?  Inflation usually comes with… https://t.co/E3T6cQHrWj
1515507974671843334,2022-04-17 01:50:32+00:00,@crypto_levis Probably makes high end real estate keep rising while lower end is choppy/sideways as my base case.… https://t.co/dlUJl0VhaO
1515507651400310784,2022-04-17 01:49:15+00:00,@gametheorizing Certainly hope so.
1515507468348329984,2022-04-17 01:48:31+00:00,"@ShriRaviTweet Inflation protected securities beat cash almost certainly under inflation, but at best ‘hedge’ infla… https://t.co/snxPlSutWd"
1515506899705339906,2022-04-17 01:46:16+00:00,@PhilJBonello No simple answer here.  I do (and did) pushback on CPI as a metric; this is somewhat inherently subje… https://t.co/KAU0WVW0Ds
1515505594207199242,2022-04-17 01:41:05+00:00,@real_vijay @PeterLBrandt @NeerajKA Trolling is boring.  You usually do so much better.
1515463052711317505,2022-04-16 22:52:02+00:00,@tomfores Any centralized media platform faces legal/regulatory challenges around moderation.  A decentralized one… https://t.co/sIjznK42Qf
1515462607834165250,2022-04-16 22:50:16+00:00,"@jbbasics Seems beyond naive given the context of dogecoin, his attacks on speech within his company and PayPal.  G… https://t.co/QHGEBctOtA"
1515337287432822793,2022-04-16 14:32:17+00:00,@sherlock_hodles Yep.  And maybe some thoughtfully selected real estate.  I don’t have anything more clever to offer.
1515336837442813953,2022-04-16 14:30:30+00:00,"@Shershaaah @banhmifeedme I don’t love my passive allocations.  I’m “barbelled”, a bit of cash (a lot less than 3 m… https://t.co/QTPkgxJ8vo"
1515326608630067203,2022-04-16 13:49:51+00:00,@pmarca Evaluation != alpha.  It’s the difference between knowing how to play basketball reasonably well and winning an NBA title.
1515326093842079746,2022-04-16 13:47:48+00:00,"@LDrogen “Predicted” it for years, now we’re currently realizing 8%+ inflation simultaneous to equity decline and f… https://t.co/EG2Jdn6v9L"
1515325333540683779,2022-04-16 13:44:47+00:00,@UnwiredCrypto Agreed.  And users could then self-curate that out if they desire with open sourced curation algos.… https://t.co/alAHIHXkQX
1515324963338792962,2022-04-16 13:43:19+00:00,@LeoWandersleb I did a bit of a dive on this ~15 months ago and tried out a few.  Don’t recall nostr.  Mastodon see… https://t.co/6PIEKuuThq
1515323758248087552,2022-04-16 13:38:31+00:00,The debate around Musk-Twitter mostly comes down to: A. do you trust the maverick cowboy as dictator or B. the gove… https://t.co/qSS3bIbqET
1515322123916660738,2022-04-16 13:32:02+00:00,"@banhmifeedme Absolutely.  If inflation averages 2% over the next 5 years, that entire thread is irrelevant."
1515321815681441802,2022-04-16 13:30:48+00:00,@kanemcgukin Yep.  Almost a tautology.  For every dollar of active trading profit there's at least a dollar of acti… https://t.co/uEtcwHwMwy
1515321224825557005,2022-04-16 13:28:27+00:00,"@evan_van_ness Bitcoiners said the same about ethereum vs colored coins, NFTs on ethereum vs rarepepes etc.  Execut… https://t.co/9MKJBssdKS"
1515319842194149377,2022-04-16 13:22:58+00:00,8/ the new regime is fundamentally higher volatility and higher dispersion.  Both asset selection and timing provid… https://t.co/p1iUqOcOQk
1515319840256495616,2022-04-16 13:22:57+00:00,7/ the biggest positive - 2010-2021 was an almost bizarrely low volatility regime (maybe excepting the covid collap… https://t.co/JIja2L4VbA
1515319839228895241,2022-04-16 13:22:57+00:00,6/ this has been discussed/debated endlessly since the 1970s stagflation regime and there are no good answers.  Rea… https://t.co/icOGlEzv0P
1515319838226456576,2022-04-16 13:22:57+00:00,"5/ a plausible result is that in 5 years, most investors have returned, say, 75% on paper, but if cumulative inflat… https://t.co/sau3m4Wy51"
1515319837093871620,2022-04-16 13:22:57+00:00,"4/ Now add in taxes, and easy to see why it's tough to even break even as an investor in real purchasing power term… https://t.co/oPEsS1eSoZ"
1515319835181342722,2022-04-16 13:22:56+00:00,3/ and the increased volatility of the new regime further reprices asset values down.  So here's the current dynami… https://t.co/HogePS0qAN
1515319834111848449,2022-04-16 13:22:56+00:00,"2/ we ended the last regime with most assets priced aggressively.  Real estate, corporate and sovereign debt, equit… https://t.co/evqRjZhziK"
1515319832958455814,2022-04-16 13:22:56+00:00,"2010-2021 was a bull market in everything, with relatively low inflation. If you held cash you lost a little, and i… https://t.co/s3HGbGHD4T"
1515300316962557959,2022-04-16 12:05:23+00:00,@RebeccaforWA The US gov collects far more money than Elon has every year.  So.. why are homelessness and hunger no… https://t.co/5nqE0pqnHU
