id,created_at,text
1555079633804091392,2022-08-04 06:34:11+00:00,@TheCryptoData 🤝
1555078918734073858,2022-08-04 06:31:20+00:00,"Hearing chatter of the flippining again.

I like it. 

But I prefer the foldening."
1555076493780426754,2022-08-04 06:21:42+00:00,@Cryptoyieldinfo @vladenhawk I guess the custodians get it… that’s got me thinking…
1555075438791237632,2022-08-04 06:17:31+00:00,"RT @ethimedes: I cant belive people are sleeping on $fxs 
 
Eth staking is coming before merge. 
So is fraxlend
They have allready battle t…"
1555074070189932544,2022-08-04 06:12:04+00:00,"RT @vladenhawk: Some OG alpha:

Original bch fork had the combined price of bch and btc exceed that of btc pre-fork. 

It was essentially a…"
1555073618555568128,2022-08-04 06:10:17+00:00,@Whit3Rh1n0 🤝
1555073591804395520,2022-08-04 06:10:10+00:00,"RT @Whit3Rh1n0: $HERA, $FOLD, $YDF, $GNS
- not bad for a bear market @BillyBobBaghold..."
1555070894002905088,2022-08-04 05:59:27+00:00,@Degen_Alfie Looks amazing!
1555049149787242497,2022-08-04 04:33:03+00:00,"Devs have been very active today. 

Doing something with a lot of coins."
1555046567144570880,2022-08-04 04:22:47+00:00,@worldofumans @tombheads The best :)
1555032120111910913,2022-08-04 03:25:23+00:00,"@seanthekelly @DeFiSurfer808 Yep. I bought his bags. Ty, whoever you are."
1555023411646185472,2022-08-04 02:50:46+00:00,"$FOLD USD ATH: Loading

▓▓▓▓▓▓▓▓▓▓▓▓░░░░░░░░ 62%"
1555017211219267585,2022-08-04 02:26:08+00:00,"RT @SmallCapScience: L2's have picked up steam due to cheaper fees, more builders, and constant bridge hacks. 

$METIS is next up to explod…"
1555009086646673410,2022-08-04 01:53:51+00:00,@SirWellington20 @yieldification Dirty stinking based
1554997207522107393,2022-08-04 01:06:39+00:00,@coin_casanova Correct
1554997153159778306,2022-08-04 01:06:26+00:00,@ZoomerOracle 🤝
1554966155344760834,2022-08-03 23:03:15+00:00,@DCA_Man 🙏
1554954114630664192,2022-08-03 22:15:25+00:00,@ChocoBTC Great call 🎩
1554947397779849221,2022-08-03 21:48:43+00:00,@Crypto_Cycles @RDNTCapital Because they haven't been pumping like the perps protocols ( $GMX $SNX $GNS) and aren't… https://t.co/rvm6kGNFRW
1554945298325192707,2022-08-03 21:40:23+00:00,"RT @AstrologyCrypto: Can't help but make a thread on $YDF | @yieldification 

🏦Staking Protocol w/ Working Platform
💰Earn $ETH &amp; $YDF via S…"
1554942032505864193,2022-08-03 21:27:24+00:00,@Crypto_Cycles @RDNTCapital Not really. I've a small bag locked just in case though
1554936939589115905,2022-08-03 21:07:10+00:00,"@pearshapedmkt I got in $VSTA from the start, but got out in Feb (from memory). What's coming down the pipe that's interesting?"
1554936717869826048,2022-08-03 21:06:17+00:00,"@Colossal_Crypto I was in the seed round. Sold some, rebought. Sold some again. Still holding."
1554936492216164353,2022-08-03 21:05:23+00:00,@lemiscate Love the 🐬
1554936421739335682,2022-08-03 21:05:06+00:00,"RT @lemiscate: next bull cycle checklist:
- MM 🐬 by better wallet
- Opensea flipped
- robust cross-chain portals &amp; robust cross-chain msg
-…"
1554935342570029057,2022-08-03 21:00:49+00:00,@GainsNetwork_io I am trading the $GNS narrative. Has been a nice 2.5x so far.
1554935105080131590,2022-08-03 20:59:53+00:00,@EvolvingEmmy @MrGems18 Yup.
1554929452920053761,2022-08-03 20:37:25+00:00,"@conzimp @VentureCoinist August will be good for $ETH. Even better for tokens with high $ETH betas. 

September likely to be more choppy."
1554929074950344706,2022-08-03 20:35:55+00:00,RT @BaronVonSolana: $GNS is having a real go. https://t.co/Qm9jtaq6rM
1554928847417737216,2022-08-03 20:35:01+00:00,@BaronVonSolana @DeFiSurfer808 Yep. Without the emissions
1554927819003756544,2022-08-03 20:30:55+00:00,@DeFiSurfer808 Yep. With the fundamentals to back it up too
1554925835613765633,2022-08-03 20:23:02+00:00,A good day to be a bagholder. https://t.co/sWSJsqBHLq
1554921447893639171,2022-08-03 20:05:36+00:00,@beguiledanimal @DeFiSurfer808 Sadly I still own 80% of my $MELT bag. Team still working though
1554919926246346752,2022-08-03 19:59:34+00:00,"RT @AvaxGems: @BillyBobBaghold SSS not priced in enough, deflationary not priced in, multi chain certainly not priced in.

Imagine if @Gain…"
1554919203156725763,2022-08-03 19:56:41+00:00,@EricCryptoman @yieldification YDF has no chill
1554918553022767104,2022-08-03 19:54:06+00:00,"@gemsandjpegs Probably true. But the market will always looks for ""the next big thing"""
1554918354435063809,2022-08-03 19:53:19+00:00,"@BaronVonSolana @tombheads Hahaha, from the old days"
1554918287552745473,2022-08-03 19:53:03+00:00,@DeFiSurfer808 👀👀
1554914967434002435,2022-08-03 19:39:51+00:00,"Looks like people are looking for (and finding) the next $GMX.

$GNS PA has been remarkably consistent. https://t.co/qhpb3lAaY5"
1554914517624176650,2022-08-03 19:38:04+00:00,@BaronVonSolana Haha class of 17/18 is old around here
1554914197414215681,2022-08-03 19:36:48+00:00,@Butragueno22 Good call.
1554913879930683399,2022-08-03 19:35:32+00:00,@okworldcomputer Also potentially L2 tokens. I’ve got a bag of $HERA
1554912961470275585,2022-08-03 19:31:53+00:00,@okworldcomputer $FOLD $FXS and staking pool tokens are a few
1554912315782451206,2022-08-03 19:29:19+00:00,"RT @gnsGoblin: Now that it's #RealYield season, let's compare revenues and valuations of a few prominent decentralized perpetuals exchanges…"
1554912011661754368,2022-08-03 19:28:07+00:00,"TLDR of a TLDR:

$FOLD money printer is being turned on to level 1 on Friday. https://t.co/8un6Fv05vV"
1554911440888266756,2022-08-03 19:25:51+00:00,Tokens with high $ETH betas will do well ya reckon? I reckon. https://t.co/4aAo6zEMtA
