id,created_at,text
1510617750892421125,2022-04-03 13:58:32+00:00,RT @ODELL: open source stage lineup @thebitcoinconf is straight fire https://t.co/kwPd7e7Q3l
1510615879138127878,2022-04-03 13:51:06+00:00,Quiet before the storm. #Bitcoin https://t.co/NkmCKdOVZt
1510593959688560648,2022-04-03 12:24:00+00:00,#Bitcoin is for families 🧡 https://t.co/8Fvia3JFSL
1510591391759482886,2022-04-03 12:13:47+00:00,RT @RicardoBSalinas: Incredible indeed. The French state brazenly exploiting the African countries in the CFA monetary system. They should…
1510394975825154053,2022-04-02 23:13:18+00:00,RT @zerohedge: The 19 Millionth Bitcoin Has Been Mined: Why It Matters https://t.co/J7lC4OnWmk
1510376983838003208,2022-04-02 22:01:49+00:00,💥 The largest #Bitcoin conference in history starts in 4 days! 🙌
1510338798416187399,2022-04-02 19:30:04+00:00,RT @TheBitcoinConf: The largest #Bitcoin Conference in history starts in 4 days! https://t.co/WzIqJcwfpj
1510336579142828032,2022-04-02 19:21:15+00:00,"There’s still over 100 years left to mine #Bitcoin 

Bullish 🚀"
1510322020151697414,2022-04-02 18:23:24+00:00,RT @Bliss_Smart: Looks like just about every person I’ve ever wanted to meet in the #bitcoin world is going to be in Miami next week. And t…
1510296470821421057,2022-04-02 16:41:53+00:00,"Mexico's third richest man: ""#bitcoin came gradually and now suddenly."" 🚀"
1510267231032254470,2022-04-02 14:45:41+00:00,Scientist Neil deGrasse Tyson learning about #Bitcoin from the best 🙌 https://t.co/EEasTKcStP
1510266784930316290,2022-04-02 14:43:55+00:00,RT @DylanLeClair_: 👀👀👀 https://t.co/oAIamTtgRH
1510248430832173064,2022-04-02 13:30:59+00:00,RT @pete_rizzo_: #Bitcoin smashing a $1 billion market cap exactly 9 years ago 💥 https://t.co/I9My9wOpIi
1510246715537899520,2022-04-02 13:24:10+00:00,"The Brazil Central Bank chief is reportedly in Miami this week. 🇧🇷

The same week as the largest #Bitcoin conferenc… https://t.co/KtX9lHDTSZ"
1510244525956083712,2022-04-02 13:15:28+00:00,💥 THERE ARE NOW LESS THAN 2 MILLION #BITCOIN LEFT TO BE MINED 💥
1510241255489478658,2022-04-02 13:02:28+00:00,@TheBitcoinConf https://t.co/lXokAUCD7C
1510223153187983367,2022-04-02 11:50:32+00:00,City of Jackson Mayor: “We will lead the way for #bitcoin.” 🙌 https://t.co/Ad0yUwP5HO
1510102488849924105,2022-04-02 03:51:04+00:00,"RT @NodedPodcast: Join @ck_SNARKs, @bitstein, and @pierre_rochard as they discuss the rise of @BitcoinMagazine and the @TheBitcoinConf in M…"
1510042863157096454,2022-04-01 23:54:08+00:00,"🚨TICKET PRICE INCREASE AT MIDNIGHT

Grab your tickets now &amp; join us in 🏝️Miami Beach for BITCOIN 2022, the world's… https://t.co/vG609dtstz"
1510031103440130050,2022-04-01 23:07:24+00:00,JUST IN: The 19th million #bitcoin was officially just mined 🚀
1509996716673703948,2022-04-01 20:50:46+00:00,RT @mikegermano: Exclusive look at the new To The Moon cover for @BitcoinMagazine . Can’t wait for everyone to see it in person at @TheBitc…
1509972266150469635,2022-04-01 19:13:36+00:00,💥 90.47% of the total #bitcoin supply has been issued.
1509958647262154754,2022-04-01 18:19:29+00:00,RT @DavidParkerBard: @AaronvanW @BitcoinMagazine thanks for coming to meet AstroStrike Wall in El Salvador 🇸🇻 ⚡️ #bitcoin! You are always w…
1509946782301757442,2022-04-01 17:32:21+00:00,💥 The largest #Bitcoin conference in history starts in 5 days! 🙌 https://t.co/F0UQTnGuE5
1509918555256631301,2022-04-01 15:40:11+00:00,@pete_rizzo_ We are all Satoshi 👑
1509910670942289928,2022-04-01 15:08:51+00:00,"U.S. senator Elizabeth Warren: ""With Bitcoin, there's no thing that backs it up.""

Nope, you must be thinking of th… https://t.co/dPTrYDObpu"
1509906559043715078,2022-04-01 14:52:31+00:00,"RT @TheBitcoinConf: Announcing Bitcoin product lead at Cash App, Miles Suter, as a #Bitcoin2022 speaker!
 
@milessuter joined Cash App in 2…"
1509904927220510729,2022-04-01 14:46:01+00:00,"RT @ChrisAlaimo6: Looking to get the most out of the @TheBitcoinConf?!?

Make sure to check out @stephanlivera article on @BitcoinMagazine…"
1509901038198820864,2022-04-01 14:30:34+00:00,RT @ChartsBtc: Trending to zero https://t.co/b13QZMldG7
1509894646838829059,2022-04-01 14:05:10+00:00,"RT @ck_SNARKs: Fantastic interview between @matthew_pines, @AnselLindner, and I. 

Teased out global macro and Bitcoin game theory. https:/…"
1509886158116896771,2022-04-01 13:31:27+00:00,💥 Michael Saylor and Mexico's third richest man to speak about #Bitcoin at Festival de las Ideas conference today 🙌 https://t.co/VAVTYhJlxv
1509856374343225347,2022-04-01 11:33:06+00:00,💥 Van Eck report: #Bitcoin price could TOP $4 MILLION if it becomes next global reserve asset 💥
1509850734648602630,2022-04-01 11:10:41+00:00,"RT @econoalchemist: 1/27 Dive into Whirlpool with a high-stakes example of how a little privacy goes a long way. 

This @BitcoinMagazine ar…"
1509850501113958414,2022-04-01 11:09:45+00:00,"Our ""TO THE MOON"" issue of Bitcoin Magazine features content from @saifedean, @pete_rizzo_ and @gladstein.

🌕🚀Get 4… https://t.co/NSoMfvdYKT"
1509850162918834177,2022-04-01 11:08:25+00:00,"@BTCmendocino 🗓️ 5 DAYS. 🏝️MIAMI BEACH.

Network w/ thousands of Bitcoiners, 3000+ companies, 100+ artists, and 400… https://t.co/eLYpbMCnjI"
1509849703520907265,2022-04-01 11:06:35+00:00,@jack @TheBlock__ Dorsey discussed #Bitcoin's energy consumption and its growing use for payments outside the Weste… https://t.co/A1SkqXeXe3
1509846777616384000,2022-04-01 10:54:58+00:00,"NEW 💥 Jack Dorsey holds private meeting with US Congress Financial Committee on #Bitcoin 

Bitcoin is ""for everyone… https://t.co/wYzRVJT6xC"
1509747280240250884,2022-04-01 04:19:36+00:00,"RT @TheBitcoinConf: Don’t miss Sound Money Fest's comedy show with an incredible lineup of hilarious comedians.

""Comedy Hour"" will take pl…"
1509673221834129416,2022-03-31 23:25:19+00:00,#Bitcoin is for everyone 🧡 https://t.co/OvAHdm2Xan
1509653236092915720,2022-03-31 22:05:54+00:00,Anyone up for some lemonade? They accept #bitcoin! 🍋 https://t.co/OrehFsfRbi
1509631141053149184,2022-03-31 20:38:06+00:00,💥 The largest #Bitcoin conference in history starts in 6 days! 👀 https://t.co/kFBmPYV7TW
1509616559802630153,2022-03-31 19:40:09+00:00,"RT @WhatBitcoinDid: WBD482 - Hyperbitcoinisation with Christian Keroles (@ck_SNARKs). We discuss:
- Preparing for hyperbitcoinization
- $26…"
1509613353009876994,2022-03-31 19:27:25+00:00,"Tomorrow, the 19th million #bitcoin will be mined."
1509602588777492492,2022-03-31 18:44:38+00:00,"What if a global, digital, sound, open-source, programmable currency was monetizing from zero? Can #Bitcoin bring a… https://t.co/J6s7Gj7ORV"
1509595375119781896,2022-03-31 18:15:59+00:00,"JUST IN: Italian luxury fashion label Off-White now accepts #bitcoin payments in London, Paris and Milan 🙌"
1509590642657271809,2022-03-31 17:57:10+00:00,"RT @coryklippsten: Any business or organization can do this with Swan now!  

https://t.co/prJFJlAyLn

Visit https://t.co/HBvM5iomt0"
1509589562863071233,2022-03-31 17:52:53+00:00,"RT @TheBitcoinConf: Introducing Industry Day's keynote speech, Pioneers of the Years Before Bitcoin, with Nick Szabo!

@NickSzabo4 will be…"
1509571371499724810,2022-03-31 16:40:36+00:00,NEW: Canadian oil and gas company Bengal Energy to mine #Bitcoin using stranded gas wells in Australia. - The Australian 🇦🇺
1509571003114004482,2022-03-31 16:39:08+00:00,"@RepTomEmmer BITCOIN 2022🏝️ - 4 days of action-packed #bitcoin celebration in Miami Beach!

+ Bitcoin Bazaar: A P2P… https://t.co/vyqmrkPlRR"
