id,created_at,text
1565713403196366852,2022-09-02 14:48:59+00:00,"Went doordash all in on ldo at like $2.04 last night. 

Trade big enough that if it doesn't work out I gotta stop ordering doordash"
1565712748289433600,2022-09-02 14:46:23+00:00,"For reference:

https://t.co/i612EQ0JzI"
1565711801106501633,2022-09-02 14:42:37+00:00,"@alex_moody I mean, it's always going to be the anniversary of something in nazi Germany. 

It's just funny that I… https://t.co/Hcl3bohmt2"
1565711178109784066,2022-09-02 14:40:09+00:00,Mine was $150 https://t.co/CsTWD3GhoU
1565710579704238082,2022-09-02 14:37:46+00:00,"Damn, that probably means I'm an npc and it was just sitting in the code"
1565708528874037248,2022-09-02 14:29:37+00:00,"Honestly just plucked that out of the air as my Germany reference last night, that's hilarious"
1565708165697736704,2022-09-02 14:28:10+00:00,"Omg, it was literally the anniversary of it yesterday https://t.co/aH2xATW62g"
1565707528389935104,2022-09-02 14:25:38+00:00,WWI? https://t.co/kdzRK148T9
1565632856239505408,2022-09-02 09:28:55+00:00,"Ok, with the board as it is now I have a very hard time seeing us not pumping over the long weekend. 

We would nee… https://t.co/KHyye3ItCW"
1565632481285574659,2022-09-02 09:27:26+00:00,"Is he wrong? 

Sucks for me cause I gotta buy groceries too, because i don't have a woman https://t.co/dwpUcA46Y3"
1565630195670958081,2022-09-02 09:18:21+00:00,I think I take bad entires to good trades sometimes because i like the 14 hours of pain
1565629878912917504,2022-09-02 09:17:05+00:00,"Candle just turned green on some shit I almost sold at the bottom, so now I can cry myself to sleep with happy tears for once"
1565628986629169152,2022-09-02 09:13:33+00:00,RT @nansen_intern: When NFT founders try to convince you to stake for their token so that you don't sell https://t.co/QnCU839Sql
1565628628171456512,2022-09-02 09:12:07+00:00,All of you are my Twitter circle
1565627956524875776,2022-09-02 09:09:27+00:00,Should be the minimum sentence for scamming in crypto. https://t.co/9vEk2b4gIh
1565625879501340673,2022-09-02 09:01:12+00:00,RT @enjoyoor: Bored Ape Yoga Club featured on the @theh3podcast w/@h3h3productions https://t.co/829YVG2phx
1565623869515390977,2022-09-02 08:53:13+00:00,"@0xSami_ because you want people to know that you aren't part of the new speculative wave. 

if there was a massive… https://t.co/y2xMJStRuv"
1565621697126010881,2022-09-02 08:44:35+00:00,"@mmpadellan @JoeBiden @55seashell probably wouldnt have to be a democrat if you put that in stocks. 

just saying."
1565618434955673600,2022-09-02 08:31:37+00:00,@0xgodking @MikeAbundo https://t.co/Wjgn9RBqoI
1565612012989718532,2022-09-02 08:06:06+00:00,"you ever in a long and funding goes negative and you're like ""oh ya."" 

then it goes much much more negative and you're like ""oh no."""
1565608796306784256,2022-09-02 07:53:19+00:00,@godcomplex96 @TheCryptoDog coors light goes better with that
1565608636679761922,2022-09-02 07:52:41+00:00,RT @godcomplex96: getting ready for monthly open https://t.co/zjtA80dcSX
1565605686276493312,2022-09-02 07:40:57+00:00,"Sell sad pig, buy happy pig, write off $800. 

Taxes"
1565586004119109633,2022-09-02 06:22:45+00:00,they're not even the red team tho...
1565581384487419904,2022-09-02 06:04:23+00:00,"@Hedgeguin sir, my tweet is calling both parties incompetent. 

i dont think this is a proper format for what you're saying"
1565580290851995648,2022-09-02 06:00:03+00:00,"I would be kinda scared rn if the dems were any more competent than the republicans. 

luckily we're probably safe."
