id,created_at,text
1607860808691712001,2022-12-27 22:07:44+00:00,Are you curious about the behavior of different players in the crypto world this year? Our latest article breaks do… https://t.co/NyoSsZpTEL
1607857387029008384,2022-12-27 21:54:08+00:00,Peruse the store to see what you might win 👀  https://t.co/XjLGdrqBP6
1607856369486688256,2022-12-27 21:50:05+00:00,RT @Cointelegraph: It's a race against the clock for some #Bitcoin miners to get out of debt.  https://t.co/OZ3yxjgGYR
1607855272474574848,2022-12-27 21:45:44+00:00,"ICYMI: We have all heard about crypto scams, but would you be able to spot one? 

After learning about countless cl… https://t.co/ukTwXybq7P"
1607849564345888768,2022-12-27 21:23:03+00:00,"According to the billionaire, gold “is not a hedge against anything.” https://t.co/VM4X32kw44"
1607843952866086918,2022-12-27 21:00:45+00:00,"2023 investing will be unlike any year before, with macroeconomic risks, crypto contagion, miner capitulation and m… https://t.co/fm12014eyJ"
1607842769334325254,2022-12-27 20:56:03+00:00,Crypto pioneer Hal Finney to be honored with charity half-marathon event. https://t.co/9fQ31gV4P2
1607835645141041152,2022-12-27 20:27:44+00:00,Our NFT collection wanted to get in on the holiday spirit 🎄 Get any article minted in its Holiday Special edition f… https://t.co/YoB5Dz1PTt
1607830108093534210,2022-12-27 20:05:44+00:00,Basic crypto knowledge 🤓 https://t.co/gPN5tRqcrM
1607825653201768448,2022-12-27 19:48:02+00:00,"Argo blockchain stops trading its American shares amid financial woes, says announcement will come Wednesday morning https://t.co/PF7teWQj0Y"
1607817980267888641,2022-12-27 19:17:32+00:00,"Hackers stolen hundreds of millions of dollars worth of digital currencies on the night of the FTX bankruptcy, and… https://t.co/zbLkgfMAsY"
1607815966410563584,2022-12-27 19:09:32+00:00,"Crypto investors probably want to forget 2022, but ETH, $LDO, MATIC, DAI and $ATOM made significant strides by focu… https://t.co/2cg0OtcHrJ"
1607809454657146880,2022-12-27 18:43:40+00:00,@jballdoghound A classic crypto moment 🍕
1607805737345978373,2022-12-27 18:28:54+00:00,We found some cool stuff on the NFT community this year. https://t.co/m87qcMhXnt
1607804266454089728,2022-12-27 18:23:03+00:00,Hackers responsible for the $600M Ronin bridge hack are reportedly impersonating VC firms to steal crypto. Best to… https://t.co/hLRCfXKYAr
1607800410693066753,2022-12-27 18:07:44+00:00,"As the year comes to a close, we take a look at the behavior of various players in the cryptocurrency market. Find… https://t.co/K6LLD9CmWE"
1607800338811355137,2022-12-27 18:07:26+00:00,"Love Cointelegraph? Well, today is your lucky day! Just like and retweet our announcement post for the chance to wi… https://t.co/sYm308UFas"
1607798652763791366,2022-12-27 18:00:44+00:00,"Around a year ago, El Salvador took a chance on #Bitcoin, making it legal tender. 

But has it worked?… https://t.co/cJ3DkxHUZi"
1607797010819862528,2022-12-27 17:54:13+00:00,@amnerisv82 Not a bad resolution at all
1607795965767086081,2022-12-27 17:50:04+00:00,"@dadb0dbab00n Oh god, you're right"
1607795459988541440,2022-12-27 17:48:03+00:00,Looking to get involved with Bitcoin down under? Australia is blessed with several convenient options when it comes… https://t.co/47W6YoTBVN
1607786274898968576,2022-12-27 17:11:33+00:00,"Cointelegraph's Crypto Trading Secrets podcast interviews Bitcoin Jack for episode 2, talking BTC, possible market… https://t.co/UKqg5owYKf"
1607784634296963075,2022-12-27 17:05:02+00:00,The Market Report with Cointelegraph is live right now! Tune in to watch Cointelegraph’s resident experts discuss w… https://t.co/s2Xf2ne7Uj
