id,created_at,text
1510640922203238405,2022-04-03 15:30:36+00:00,@Willy_wonka_ws @Ledgart_io @CoolMonkes gm legend
1510478799397429249,2022-04-03 04:46:23+00:00,@Tradermayne Idk man same vibes my brother said it was his favorite movie and it really just was a bit bland to me as far as the storyline
1510458142462812162,2022-04-03 03:24:18+00:00,Send it while they sleep
1510452292272758786,2022-04-03 03:01:03+00:00,@farokh @redbeardnft @Friendswithyou Where is here sir? I’ll make it happen
1510451864902541314,2022-04-03 02:59:22+00:00,@farokh @redbeardnft @Friendswithyou You going to Miami next week? Gotta make it happen
1510450823456866305,2022-04-03 02:55:13+00:00,@wannabtrading F
1510450289362538503,2022-04-03 02:53:06+00:00,@farokh @redbeardnft Anyone who fades @Friendswithyou ngmi
1510450002686058497,2022-04-03 02:51:58+00:00,What a game
1510449934100836359,2022-04-03 02:51:41+00:00,@satsdart Yuge
1510448942298845184,2022-04-03 02:47:45+00:00,@TiernoNick @Twitter Sad
1510448906471096323,2022-04-03 02:47:36+00:00,@Smittytrade I’ve had a few drinks as well man probably better to ask another time haha
1510446221323902979,2022-04-03 02:36:56+00:00,@blknoiz06 Entire collection is benefited from honorary sales. There’s a symbiotic relationship to the ecosystem. T… https://t.co/z7bJz2ztKp
1510442493325852673,2022-04-03 02:22:07+00:00,@21Zetta @IamNomad @Twitter Basically a hydra man. Cut off 1 head 10 more replace it
1510440915999105030,2022-04-03 02:15:51+00:00,@IamNomad @Twitter Worst I’ve seen it in a long time
1510440843928387584,2022-04-03 02:15:34+00:00,Don’t fade the froyos
1510439461758328838,2022-04-03 02:10:04+00:00,@BitcoinBirch @crypto_bobby @Twitter lmfao
1510436561946558467,2022-04-03 01:58:33+00:00,The replies to this tweet: https://t.co/HPZ5c1cxPN
1510436297923510277,2022-04-03 01:57:30+00:00,I CAN’T TWEET SHIT WITHOUT SEEING THIS F U @TWITTER https://t.co/H1sVTN27J0
1510435780086439937,2022-04-03 01:55:27+00:00,Love Kobe. Not in the conversation though.
1510432791988690947,2022-04-03 01:43:34+00:00,"@Crypto_Core In the middle of an intense debate 

Gotta discuss in Miami"
1510430820456087552,2022-04-03 01:35:44+00:00,@Crypto_Core Show your answer then
1510430475269156866,2022-04-03 01:34:22+00:00,Who’s the 🐐?
