id,created_at,text
1607825939836067846,2022-12-27 19:49:10+00:00,@Breedlove22 Money emerges from a government in the same way that a host emerges from a parasite.
1607825431344066561,2022-12-27 19:47:09+00:00,Speaking at @CFCstmoritz in a couple weeks... and maybe some ⛷️⛷️⛷️ https://t.co/2I80fVygfz
1607823896459329536,2022-12-27 19:41:03+00:00,"@lockedinahotcar ""Withdraw your crypto from centralized exchanges and send it into the abyss""

Not sure that'll fly… https://t.co/s8hKocbRvm"
1607822694699110401,2022-12-27 19:36:16+00:00,"""The cloud"" would've been a far better term to refer to decentralized protocols than centralized servers."
1607820936010407936,2022-12-27 19:29:17+00:00,"@patricklodder That's reasonable, I have nothing against disclaimers and trying to educate people on risky things.… https://t.co/ClE88nMVCB"
1607798669230895104,2022-12-27 18:00:48+00:00,@blockbrands But taxes always constitute theft.
1607798429501231105,2022-12-27 17:59:51+00:00,"We can argue about the merits of this claim; the specific attributes of any given asset. 

The better question, tho… https://t.co/bO838pLP3k"
1607797476085608450,2022-12-27 17:56:04+00:00,"@blockbrands Why is theft great, when done efficiently?"
1607789370328887296,2022-12-27 17:23:51+00:00,@UnterseeS Well yes we can do better than resorting to slavery for our ambitions.
1607788610878853120,2022-12-27 17:20:50+00:00,"@let_it_crumble Progress is its own ends, it doesn't require justification.

However, whether something is actually… https://t.co/Cnp9x9f6GP"
1607788216643649536,2022-12-27 17:19:16+00:00,"RT @halfin: https://t.co/xpcvzCmtMd Hi everyone, this is Fran Finney, wife of Hal Finney, an early pioneer of Bitcoin. I want to let you kn…"
1607787215534575616,2022-12-27 17:15:18+00:00,"Half the cost of labor is yet further regulations and taxes. 

So much coercive friction constricts the veins of ci… https://t.co/9aoBLLzfaR"
1607479491705868290,2022-12-26 20:52:31+00:00,@fabianstelzer https://t.co/MFW5CbySC2
1607477012175933440,2022-12-26 20:42:39+00:00,"@ChoiseCom https://t.co/kp3ywHWP3n

I think it was letter 92 in this"
1607457099809685504,2022-12-26 19:23:32+00:00,"@rivatez @faithless Rest in Peace, Legend

https://t.co/GE4hjNunsM"
1607390650995200000,2022-12-26 14:59:29+00:00,"This reads like a modern admonition, an appeal to the simpler, cleaner, pastoral life of the past.

Yet this is fro… https://t.co/WRLR5uFmxU"
1607220974541471745,2022-12-26 03:45:15+00:00,RT @JohnPapola: Merry Christmas! https://t.co/hvKN74XuWc
1607220598018805760,2022-12-26 03:43:45+00:00,The pragmatist is ever subordinate to the known and the well-trodden. https://t.co/5JSSJO4vT4
1607208530393862149,2022-12-26 02:55:48+00:00,https://t.co/9PXdhAjMRB
1607025079392825345,2022-12-25 14:46:50+00:00,Merry Christmas great world 🌞
1606717417694310400,2022-12-24 18:24:18+00:00,"@dcentralised @rainwxyz When I suggest that you have no moral right to enslave people, why do you think that means… https://t.co/EXYARiWUsq"
1606506294260953093,2022-12-24 04:25:22+00:00,@nic__carter Just the cover has made me unsettled
1606044190260875264,2022-12-22 21:49:08+00:00,"@wil_da_beast630 For everyone that wants to ""stop the Afghanistan money train,"" and so on: what's you plan for the… https://t.co/uzN1lT91bZ"
1606043088031358976,2022-12-22 21:44:45+00:00,@Oilfield_Rando Pssst they are the same party
1606033904166572032,2022-12-22 21:08:16+00:00,@rainwxyz Correct. You have no moral right to force another man to get food for you.
1605996273819009024,2022-12-22 18:38:44+00:00,https://t.co/Q0sj73tLF8 https://t.co/zQS2R5g0Cg
1605995502784299009,2022-12-22 18:35:40+00:00,"@misschrysoula Well sure, and so granting that it's a societal construct, let's not construct premises which command slavery."
1605994348591517696,2022-12-22 18:31:05+00:00,"That which must be provided by others is never a ""human right."" 

If it were, it would justify slavery itself: the… https://t.co/NNqDphQZld"
1605415217545981952,2022-12-21 04:09:49+00:00,RT @hexidethmal: @0x_Crypto9 @ErikVoorhees @THORChain Damn. What a difference a year or so makes: https://t.co/xAChlG0Y9I
1605393186813366272,2022-12-21 02:42:17+00:00,"@unusimmortalis @DecryptSim @ShapeShift ShapeShift doesn't charge any fees, and doesn't require KYC.

Specific fiat… https://t.co/xO7sIVMJHq"
1605392821183074307,2022-12-21 02:40:49+00:00,@MildBill29 @ShapeShift Give it a try good sir
1605350652741156864,2022-12-20 23:53:16+00:00,"@DecryptSim @ShapeShift Rates are identical to the DEX's that we integrate. No added fees.  

ShapeShift is better… https://t.co/8LXqcrJcyD"
