id,created_at,text
1583555843546812416,2022-10-21 20:28:28+00:00,"ICYMI: As CEO of @FoundryServices, @colyermike runs the world’s largest $BTC mining pool. He sat down with… https://t.co/8kugJtpz1w"
1583524449764397057,2022-10-21 18:23:43+00:00,"""Today's brief contends that the SEC's refusal to approve $GBTC's conversion harms its 850,000 investors who alread… https://t.co/GVspgu6PQH"
1583183980547149824,2022-10-20 19:50:49+00:00,RT @YahooFinance: Walmart CTO: 'Crypto will become an important part of how customers transact’ https://t.co/oJg7xptQyM by @AkikoFujita htt…
1583156098919714816,2022-10-20 18:00:02+00:00,"RT @YahooFinance: .@Grayscale CEO @Sonnenshein on the SEC's bitcoin ETF rejection: ""The SEC is really acting outside its authority under th…"
1582786601641381891,2022-10-19 17:31:47+00:00,"In an amicus brief, @USChamber wrote that the SEC’s decision to deny our application to convert $GBTC to a spot… https://t.co/Q6Xh4TIjen"
1582776271180009475,2022-10-19 16:50:44+00:00,RT @CraigSalm: Yesterday five amicus briefs were filed in support of @Grayscale's Petition for Review challenging SEC's decision to deny $G…
1582506349799284736,2022-10-18 22:58:09+00:00,Investors deserve the right to choose how they access their $BTC. We’re thankful for the support of the… https://t.co/HzCG7Ho63t
1582450883962757120,2022-10-18 19:17:45+00:00,"RT @SquawkCNBC: ""I hope that $GBTC doesn't get caught in the crosshairs between who has jurisdictional authority over #crypto,"" says @Grays…"
1582136111383859200,2022-10-17 22:26:58+00:00,AUM and other stats on all Grayscale products are updated daily on our website. Start exploring:… https://t.co/39QicB9VyJ
1582090763424309248,2022-10-17 19:26:46+00:00,"Tomorrow, October 18, @colinevran from @protocollabs joins @Ray_Scale for our next Deeper Dive webinar. Topics incl… https://t.co/4gG2dZdEFG"
1582007936410271744,2022-10-17 13:57:38+00:00,"We're proud to support the @yahoofinance All Markets Summit, featuring conversation between leaders and influencers… https://t.co/nKbSulLsPy"
1581015513387257856,2022-10-14 20:14:06+00:00,"Led by @Dave_LaValle, team Grayscale was proud to join @wsridesfar for another monumental year. This year's event h… https://t.co/NjLPYpeZRr"
1581010685617922048,2022-10-14 19:54:55+00:00,⬇️ ⬇️ ⬇️ ⬇️ ⬇️ ⬇️ https://t.co/wJXulsItIA
1580919445492420613,2022-10-14 13:52:22+00:00,"Alongside other crypto policy stakeholders, we’re calling on regulators and legislators to “develop new frameworks,… https://t.co/8cdAAf4u9p"
1580595314217881600,2022-10-13 16:24:23+00:00,"RT @CoinDesk: The issue is deeper than @grayscale's application, @cheyenneligon says. 

""This is essentially an argument over who is going…"
1580585195455287297,2022-10-13 15:44:11+00:00,Learn more about the brief we filed as part of our lawsuit contesting the SEC’s decision to deny our application to… https://t.co/6uKs1ovkfC
1580313217494306816,2022-10-12 21:43:26+00:00,LIVE NOW: @Sonnenshein joins @emilychangtv to discuss plans for $GBTC and beyond. Watch it on @BloombergTV:… https://t.co/9OFvY5HhlN
1580308945784410112,2022-10-12 21:26:28+00:00,RT @CoinDesk: .@Grayscale’s opening legal brief in its lawsuit against the @SECGov calls the regulator’s decision to reject its spot ETF “a…
1579989758146748419,2022-10-12 00:18:07+00:00,9/ Read more: https://t.co/IaSb4d2GzD
1579989757001703424,2022-10-12 00:18:07+00:00,8/ Our legal team argues that there is only one reasonable conclusion to draw: that the SEC is arbitrarily treating… https://t.co/4f9qMOucHi
1579989755860860928,2022-10-12 00:18:07+00:00,7/ Our proposal to convert $GBTC to a spot Bitcoin ETF satisfies the requirements of relevant law because it is des… https://t.co/HA8JCKykzr
1579989754732576769,2022-10-12 00:18:06+00:00,"6/ Nor has the SEC adequately explained why their test should be considered the only valid test, let alone why it’s… https://t.co/deyEH8r0EK"
1579989753457479681,2022-10-12 00:18:06+00:00,"5/ The SEC’s application of its “significant market test” is deeply flawed, because it doesn’t achieve the intended… https://t.co/sG6GQ3jpGg"
1579989752253763584,2022-10-12 00:18:06+00:00,"4/ We believe the SEC arbitrarily treats spot #Bitcoin ETFs differently from ETFs that hold Bitcoin futures, even t… https://t.co/g2kF3yYiml"
1579989751142268928,2022-10-12 00:18:06+00:00,3/ Our opening brief is the first substantive document submitted to the court that explains the legal basis of our arguments. These include…
1579989748533411847,2022-10-12 00:18:05+00:00,"2/ The SEC’s decision back in June was disappointing, but we were prepared for all possible outcomes. That same nig… https://t.co/W1LOD6aJdv"
1579989744477671425,2022-10-12 00:18:04+00:00,"We’ve filed the opening brief in our lawsuit against the SEC, challenging their decision to deny our application to… https://t.co/75PdPUBf16"
1579924806883241984,2022-10-11 20:00:02+00:00,TOMORROW: @Sonnenshein joins @SquawkCNBC to discuss $GBTC and more. Tune in at 7:50 AM ET. https://t.co/LZdFUH3aV1 https://t.co/LL8kIxRS5R
1579913163323023360,2022-10-11 19:13:46+00:00,"""What we've found is that as investors are thinking about how to deploy capital into crypto winter, that there's re… https://t.co/sqRkHlFDEt"
1579853078580236288,2022-10-11 15:15:00+00:00,RT @BloombergLive: What can we expect from the crypto markets in the latter half of 2022? We look to what’s next alongside @Grayscale at #B…
1579846264962719744,2022-10-11 14:47:56+00:00,".@BTC_Archive knows what's up. 
If an investment vehicle can be described as a ""collab,"" then our latest is a colla… https://t.co/zkQHbBLK0y"
1579821340026015744,2022-10-11 13:08:53+00:00,Polygon cofounder @sandeepnailwal dives deep into $MATIC and how @0xPolygon is planning for the future with our Hea… https://t.co/nTRkAdESZX
1579572430590586880,2022-10-10 20:39:49+00:00,The idea of collaborating with @colyermike and @foundryservices has been floating around for a while now. Our team… https://t.co/wX5N5mFJgz
1579520888688771072,2022-10-10 17:15:00+00:00,@BitcoinMagazine Thanks for spreading the word! We're excited to be able to create this opportunity for accredited… https://t.co/Rl2yPTGloc
1579517097587388416,2022-10-10 16:59:56+00:00,Tune in to @TDANetwork today at 3:45 - @Sonnenshein joins @OJRenick to discuss new $GBTC developments and Grayscale… https://t.co/JubgQRP8RF
1579496046438232064,2022-10-10 15:36:17+00:00,"We're partnering with @foundrydigital for our latest initiative because ""We believe that we’re at an inflection poi… https://t.co/zCkgo7Ghtn"
1578493161323626496,2022-10-07 21:11:11+00:00,"RT @Grayscale: NEW TODAY: We’re teaming up with @FoundryServices to launch Grayscale Digital Infrastructure Opportunities LLC (GDIO), a pri…"
1578381093727862785,2022-10-07 13:45:52+00:00,An up-to-date list of digital assets included in our single asset and multi-asset funds is available at: https://t.co/dQkhLOBx5F
1578381089814487040,2022-10-07 13:45:51+00:00,"At the end of the day on October 5, 2022, Grayscale DeFi Fund’s Fund Components were a basket of the following asse… https://t.co/cHrpn7giCg"
1578381079001665537,2022-10-07 13:45:48+00:00,"At the end of the day on October 5, 2022, GSCPxE's Fund Components were a basket of the following assets: $ADA $SOL… https://t.co/U4kSMAdxd2"
1578381068478124033,2022-10-07 13:45:46+00:00,"This is the second of our multi-assets funds to incorporate exposure to $MATIC, following Grayscale Smart Contract… https://t.co/nF8jbJCDDY"
1578381062996213763,2022-10-07 13:45:44+00:00,"NEW: As part of our latest quarterly rebalancing, Polygon $MATIC has been added to Grayscale Digital Large Cap Fund… https://t.co/oytxK6vyhl"
1578048688198410240,2022-10-06 15:45:00+00:00,"As CEO of @FoundryServices, @colyermike runs the world’s largest $BTC mining pool. He sat down with @Sonnenshein to… https://t.co/mY2N0lBM4B"
1578010939357552640,2022-10-06 13:15:00+00:00,"“GDIO will have an opportunity to provide liquidity to the mining ecosystem, purchasing mining equipment at an opti… https://t.co/PPDHELsRnE"
1578007326254153728,2022-10-06 13:00:39+00:00,"RT @FoundryServices: This morning, the formation of Grayscale Digital Infrastructure Opportunities LLC (GDIO) was announced. The private, c…"
1578006619186659331,2022-10-06 12:57:50+00:00,7/ #GDIO is now open for investment by eligible individual and institutional accredited investors. Learn more: https://t.co/u3HQo34222
1578006618029150212,2022-10-06 12:57:50+00:00,6/ “Our team has long been committed to lowering the barrier for investing in the crypto ecosystem – from direct di… https://t.co/JmfRb5urCL
1578006616837967873,2022-10-06 12:57:50+00:00,5/ #GDIO aims to distribute a portion of its operating income to its investors quarterly. After 3-5 years of operat… https://t.co/p2XGhpJ5jg
1578006615378247688,2022-10-06 12:57:49+00:00,"4/Through a partnership with the industry leaders at @FoundryServices, qualified investors will have an opportunity… https://t.co/QqarwnzBbw"
1578006612752883718,2022-10-06 12:57:49+00:00,"3/ Past events are not indicative of future results, but looking at past cycles in the mining industry, we believe… https://t.co/Rl57cigROB"
1578006606624837632,2022-10-06 12:57:47+00:00,2/ It’s no secret that a higher hash rate and lower $BTC prices have led to lower revenues and profitability for mi… https://t.co/z1lTfI629e
1578006603927896069,2022-10-06 12:57:46+00:00,NEW TODAY: We’re teaming up with @FoundryServices to launch Grayscale Digital Infrastructure Opportunities LLC (GDI… https://t.co/x3i8HqZG0A
1577789780175241216,2022-10-05 22:36:12+00:00,"6/ Visit our website to read more, and don’t forget to spread the word: https://t.co/AROsVsjHtt"
1577789475245137922,2022-10-05 22:34:59+00:00,5/ There should be no practical changes for our investors today. This is about setting the stage for the future by… https://t.co/Ykv4fH61cw
1577789473940815873,2022-10-05 22:34:59+00:00,4/ We’ve been working towards this goal for quite some time alongside our partners at @GenesisTrading and @DCGco. I… https://t.co/4PPmu2yeK0
1577789472594399234,2022-10-05 22:34:58+00:00,"3/ Historically, these responsibilities were handled through a partnership with our sister company Genesis Global T… https://t.co/rEp4tnpyMX"
1577789470795091969,2022-10-05 22:34:58+00:00,"2/ In order to issue shares of our family of #digitalasset investment products and communicate with investors, we n… https://t.co/bG9tcvtz6a"
1577789469276741632,2022-10-05 22:34:58+00:00,"Following years of planning, we have a new dedicated broker-dealer for Grayscale investment products. Here’s what t… https://t.co/n6IniYSMTd"
1577294456037974017,2022-10-04 13:47:57+00:00,"""We have to keep up with what is happening not only on Wall St. but also in policy discussions in state capitols, W… https://t.co/wrlycgolID"
1576919913700155392,2022-10-03 12:59:39+00:00,"RT @CoinDesk: NEW: @Grayscale is bringing a key administrative role for its crypto trust products in-house, replacing @GenesisTrading.  

@…"
1575878174759698433,2022-09-30 16:00:09+00:00,"Our very own @dave_lavalle is leading our @Grayscale team at #WallStreetRidesFar TOMORROW, October 1, 2022. Wall St… https://t.co/VrnXoziMoa"
1575515786143272960,2022-09-29 16:00:09+00:00,"ETH perpetual futures (perp) were heavily traded prior to the Merge, given that funding rates went negative. Subscr… https://t.co/kfJoXrybpJ"
1575134898888871939,2022-09-28 14:46:39+00:00,"ICYMI: Thanks to #smartcontracts, services typically provided by expensive intermediaries, such as banks, brokers,… https://t.co/eppKvvPgt2"
1574474222751080448,2022-09-26 19:01:21+00:00,"We're celebrating the anniversary of $GBTC! Nine years ago, Grayscale brought, what is now, the world’s largest Bit… https://t.co/1MKNQjRSzb"
1574428666242678785,2022-09-26 16:00:20+00:00,Each of the digital assets held by GSCPxE supports an ecosystem of decentralized apps through smart contracts. Star… https://t.co/gMyqFQmpOJ
1572716158125473793,2022-09-21 22:35:26+00:00,"Take a deeper dive into $MATIC with us this week!
Our Head of Investor Relations @Ray_scale hosts @0xPolygon cofoun… https://t.co/26RSmtRoVp"
1572661543283855360,2022-09-21 18:58:25+00:00,"RT @CraigSalm: @DigitalChamber
 has published the most comprehensive report about spot #Bitcoin #ETFs to date.  We were proud to contribute…"
1572613909470740481,2022-09-21 15:49:08+00:00,Ravi is just one of our employees joining together for #WallStreetRidesFar in just a few weeks.  Wall Street Rides… https://t.co/yZPfvmvyVN
1572322079613259777,2022-09-20 20:29:30+00:00,This month's newsletter goes out soon. Sign up now for subscriber-exclusive insights from our research team on the… https://t.co/qpXcMoPYUN
1572003693289172992,2022-09-19 23:24:21+00:00,AUM and other stats on all Grayscale products are updated daily on our website. Start exploring:… https://t.co/Po4DuZFvil
1571903225078448131,2022-09-19 16:45:08+00:00,"Last week, the #Ethereum blockchain made a long-planned transition from Proof-of-Work to Proof-of-Stake. Read more… https://t.co/Uh4dG55CYZ"
1571702370505228290,2022-09-19 03:27:00+00:00,"Learn more about his creation, $ADA: https://t.co/k8A1MV8FZh"
1571702367548231681,2022-09-19 03:26:59+00:00,"""The power of blockchain technology is its universality and permissionless model for innovation,"" said #Cardano cof… https://t.co/bsl2UJjsWf"
1570764767668670465,2022-09-16 13:21:18+00:00,Our funds $ETHE &amp; $GDLC have passively received the rights to forked ETHPoW tokens. To the extent it is practicable… https://t.co/1Kpv1OU1Cu
1570501436567613441,2022-09-15 19:54:55+00:00,"⟠ Some perspective ⟠ 

A public tech company with the market cap of $ETH on the evening of the Merge would be the 3… https://t.co/G7fxF84nJd"
1570489128726167555,2022-09-15 19:06:01+00:00,"Switching to Proof-of-Stake is a big change, but some features of the #Ethereum blockchain are the same as they wer… https://t.co/2vgYAMbuEn"
1570315587280052224,2022-09-15 07:36:25+00:00,"While it's still early, we are beginning to see some optimistic shifts in the economics of the $ETH network. Read m… https://t.co/rhHe36Pnuy"
1570315585321570304,2022-09-15 07:36:25+00:00,"A new era for Ethereum has begun. 🐼 
Congrats to the devs, congrats to the community, and congrats to the future us… https://t.co/7fs64Fqpzg"
1570200793554485248,2022-09-15 00:00:16+00:00,"It’s a big night for $ETH (and $ETHE and $GDLC ). 
Our team is monitoring closely. We’ll be watching along on the… https://t.co/rttOGAE5TT"
1570063938699624456,2022-09-14 14:56:28+00:00,RT @DigitalChamber: .@PerianneDC joined @FoxBusiness @MorningsMaria to break down the SEC’s record of refusing to approve companies’ #bitco…
1569798331437572098,2022-09-13 21:21:02+00:00,"AUM and other stats on all Grayscale products are updated daily on our website: https://t.co/d89Jcr2N7R 
$BAT $BCH… https://t.co/LUm41pTzoN"
1569684437197115392,2022-09-13 13:48:27+00:00,"7/ We encourage you to read the @DigitalChamber report and consider the answers for yourself. 
https://t.co/cRXMnNmhVn"
1569684434898780160,2022-09-13 13:48:27+00:00,6/ What protection is being offered by preventing a #Bitcoin ETF from coming to market? Whose needs are being prior… https://t.co/YJGqAJb2ku
1569684431157223425,2022-09-13 13:48:26+00:00,5/ Does the SEC see its role as determining the suitability of individual investments? https://t.co/lPq0D6EM48
1569684426556055552,2022-09-13 13:48:25+00:00,4/ The SEC has asked for proof that $BTC price discovery occurs on the CME. What’s insufficient about the evidence… https://t.co/xPDT7E1ZU0
1569684422147833859,2022-09-13 13:48:24+00:00,3/ What do securities regulators in other countries see that the SEC doesn’t? https://t.co/cZhRZfkfhk
1569684411645296640,2022-09-13 13:48:21+00:00,"2/ #ETFs are a popular tool for transparent, regulated access to a wide range of assets. What is the benefit of dri… https://t.co/nmONuzU12L"
1569684404808699909,2022-09-13 13:48:20+00:00,"This week, @DigitalChamber released a 🔥 report on the current state of #crypto ETFs. 

It’s a must-read for any dig… https://t.co/xOijJq9wSx"
1568681697126002690,2022-09-10 19:23:55+00:00,"Team Grayscale rides again three weeks from today!
🚴‍♀️🚴🚴‍♂️
Learn more about #WallStreetRidesFAR, the… https://t.co/KgYxyKNpUp"
1568307134143528968,2022-09-09 18:35:33+00:00,The Future Proof Wealth Festival challenges finance professionals to rethink the status quo. We're proud to be spon… https://t.co/fR6BZCDSM7
1568260442186727430,2022-09-09 15:30:00+00:00,"Beyond $BTC and $ETH, @Ray_Scale has seen investors ""identify sub-themes in the crypto ecosystem that resonate with… https://t.co/rVolaKcpMj"
1568228644753145857,2022-09-09 13:23:39+00:00,Grayscale Digital Large Cap Fund $GDLC offers exposure to large cap digital assets through a familiar investment ve… https://t.co/Q1LBpzELdF
1567267652703223808,2022-09-06 21:45:01+00:00,"AUM and other stats on all Grayscale products are updated daily on our website: https://t.co/Ic2KQKvTPH 
$BAT $BCH… https://t.co/6rwK8eoCzq"
1566629622900559873,2022-09-05 03:29:43+00:00,Ethereum’s merge to Proof of Stake is scheduled for this month. Could a Proof of Work fork persist post-merge? The… https://t.co/AHzxKSFHZU
1565799228349337602,2022-09-02 20:30:01+00:00,Curious to know the progress of our lawsuit challenging the decision on our application to convert $GBTC to a spot… https://t.co/ANJqwzSVoQ
1565758892973457412,2022-09-02 17:49:45+00:00,For details and disclosures about our products: https://t.co/hpD61XEapC
1565758890490433547,2022-09-02 17:49:44+00:00,ICYMI: Grayscale's @CraigSalm and @jenn_rosenthal joined the @GBBCouncil #VirtualMembersForum this month to introdu… https://t.co/vdjaDmu9iI
1565468151105691648,2022-09-01 22:34:26+00:00,Crypto investment vehicles
1565445648903716866,2022-09-01 21:05:01+00:00,"Heard a rumor that we started a new fund? You can always check our website for an up-to-date look at what we hold,… https://t.co/GkFcZ2SpHg"
1565416840708255746,2022-09-01 19:10:33+00:00,"While we do not currently stake assets held by any of our investment vehicles, our team continues to assess solutio… https://t.co/72OckBtwZc"
1564682864305790978,2022-08-30 18:33:59+00:00,"Mindset is a key contributor to success. Managing Director Dorothy Brill, who leads HR at Grayscale, shares insight… https://t.co/yCTozoUuyr"
