id,created_at,text
1605674500204421141,2022-12-21 21:20:07+00:00,"RT @wormholecrypto: 1/ Goodbye 2022!

What a year it’s been — with plenty of lessons learned and accomplishments made along the way for our…"
1605658196227592201,2022-12-21 20:15:20+00:00,"@abrahamalaka @DecoderPod would make it table stakes to be on one, if it had enough listenership and clout"
1605658154049671185,2022-12-21 20:15:10+00:00,"@abrahamalaka @DecoderPod I'd start with a founder of a layer 1 blockchain (Toly, Sandeep, Emin, Ilia), would be a fun one!"
1605657951544434688,2022-12-21 20:14:21+00:00,"@sensiblemadman @abrahamalaka @DecoderPod I'd start with a founder of a layer 1 blockchain (Toly, Sandeep, Emin, Ilia), would be a fun one!"
1604931618652958721,2022-12-19 20:08:10+00:00,and would be really fun to listen to :)
1604931616249462784,2022-12-19 20:08:10+00:00,"We need a @DecoderPod for crypto. 

Exploring org structures, pointed questions on returns on invested capital for… https://t.co/p62nzGDl8P"
1604223358769430528,2022-12-17 21:13:48+00:00,https://t.co/JB6Qo8jfGM
1604223357238525956,2022-12-17 21:13:48+00:00,Come join us @jump_pit in Singapore with incredible folks from @0xPolygon. Have a stacked lineup of speakers and bu… https://t.co/ojEJEYmDeF
1604194206444142592,2022-12-17 19:17:57+00:00,@0xdoug Torus and Stripe have social login products that have a flavor of this?
1604151187669889025,2022-12-17 16:27:01+00:00,"RT @coinbase: For every technology game-changer, there are millions of doubters. Tune out the noise and keep building. https://t.co/UKdFRit…"
1603752628441477122,2022-12-16 14:03:17+00:00,"RT @SuperteamDAO: Don't trust, verify. @PythNetwork https://t.co/oMADyPYOps"
1603192987307020289,2022-12-15 00:59:28+00:00,@sandeepnailwal @0xPolygon @jump_pit See you there sir 💪
1603192857292070912,2022-12-15 00:58:57+00:00,"RT @jump_pit: Are you a project founder building on Polygon? 

Who better to brainstorm with than the Co-Founder of Polygon, @sandeepnailwa…"
1602679177152532482,2022-12-13 14:57:46+00:00,"RT @PythNetwork: Every asset price made available on every chain!

Listen in as @jayantkrish explains how the Pyth network delivers previou…"
1600605732616998933,2022-12-07 21:38:39+00:00,"Gas and capital efficient cross chain swaps.

@GandalfTheBr0wn and @hashflow have built a truly novel product that… https://t.co/2bky0O1qll"
1600604732426706945,2022-12-07 21:34:40+00:00,RT @hashflow: 1/ Excited to share that Hashflow and @wormholecrypto have officially teamed up to bring you the best cross-chain trading exp…
1600604644295712768,2022-12-07 21:34:19+00:00,"RT @wormholecrypto: 1/

📢 We're incredibly proud that @hashflow is switching to Wormhole for their cross-chain messaging needs, reducing fe…"
1600152170824798212,2022-12-06 15:36:21+00:00,@cobie now I feel like they actually tried on mine lol
1600151869136916480,2022-12-06 15:35:09+00:00,@cobie https://t.co/pXSkru2eNs
1599896906028941312,2022-12-05 22:42:01+00:00,"@akshaybd @thetanmay @CoinDesk I think racist, the second one"
1599896244100296704,2022-12-05 22:39:23+00:00,@akshaybd @thetanmay @CoinDesk brown guy with mustache take 2
1599883953653321730,2022-12-05 21:50:33+00:00,"RT @PythNetwork: What kinds of problems are you trying to solve?

@jayantkrish explains how the Pyth network is building a better way to br…"
1599848822897016832,2022-12-05 19:30:57+00:00,@thetanmay @CoinDesk “Indian dude with mustache”
1598333610993618944,2022-12-01 15:10:03+00:00,@gf_256 wild
1598332518054481923,2022-12-01 15:05:42+00:00,"@jayantkrish  talking about the latest on Pyth. One of the sharpest people I've had the opportunity to work with, l… https://t.co/mGadOplhst"
1598091052346675206,2022-11-30 23:06:12+00:00,"RT @jump_: Jump is excited to support Binance's Web3 Industry Recovery Initiative.

The wallet below is designated solely towards this init…"
1597690616850567169,2022-11-29 20:35:01+00:00,"RT @jumpengineering: 1/ Accelerating Number Theoretic Transforms is core to making ZK proof generation efficient. 

We’re excited to share…"
1597690573460471808,2022-11-29 20:34:51+00:00,"RT @jump_: 1/ Accelerating Zero-Knowledge…again!

Number Theoretic Transforms (NTTs) are another core component of making Zero-Knowledge Pr…"
1596995542646935553,2022-11-27 22:33:02+00:00,"RT @aeyakovenko: What’s the empire ever done for us, except for roads, and education and healthcare"
1596995425646485507,2022-11-27 22:32:34+00:00,"@tarunchitra @eigenlayer How do you manage team incentives? 

Community grant to build something is sufficient to s… https://t.co/nn2yIbGPGJ"
1596987429201641472,2022-11-27 22:00:48+00:00,"@armaniferrante @jump_ On surface, it's ofc funny/ironic that long term focus is critical for a firm that's prolifi… https://t.co/rDLwB1GxOs"
1596986353719586818,2022-11-27 21:56:31+00:00,@armaniferrante @jump_ culture is all top down. Jump has done an incredible job of building an environment of playi… https://t.co/eQnfmHmASq
1596926694258270208,2022-11-27 17:59:28+00:00,Or as a short blog - https://t.co/kTBf3gxQrv
1596926692005621760,2022-11-27 17:59:27+00:00,"16/ As the pain begins to subside, the natural camaraderie is returning. The shared experience is slowly turning in… https://t.co/BwCls5n60z"
1596926690478825473,2022-11-27 17:59:27+00:00,"15/ Rebuilding the social contract is going to be tough. Like others, we’re struggling to trust counterparties, tru… https://t.co/QsWB01LDUY"
