id,created_at,text
1551468873157083137,2022-07-25 07:26:18+00:00,"RT @Near_Coverage: Thanks to #Nearscanner, we found the TOP 5 HOTTEST NFT COLLECTION ON #NEAR IN THE LAST 30D.

Let's take a closer look, d…"
1551467016326119425,2022-07-25 07:18:56+00:00,"RT @Near_Coverage: How did #Octopus community feel about $OCT over the past 7 days❓

Here is the social metrics of @oct_network ecosystem i…"
1551465125626146816,2022-07-25 07:11:25+00:00,"RT @Near_Coverage: Let's look at what has happened in the @auroraisnear ecosystem recently

@trisolarislabs @near_ua @wormholecrypto @Atmos…"
1551463995215065088,2022-07-25 07:06:55+00:00,"RT @Near_Coverage: Let's get to know Octopus Network Monthly Updates — R&amp;D, Appchains, Accelerator Program, Substrate Developer Training, M…"
1551462352885006336,2022-07-25 07:00:24+00:00,"RT @AVAX_Insider: 🔊The @avalabsofficial is thrilled to announce multiple feature releases for the #AvalancheExplorer 

Let's see some of th…"
1551461469770088448,2022-07-25 06:56:53+00:00,"RT @PolkadotInsider: Let's get to know about the roadmap of @AstarNetwork

@AstarNetwork supports the building of dApps with EVM and WASM s…"
1551460417657921537,2022-07-25 06:52:42+00:00,"RT @Allthingnfts: 💥TOP 10 NFT COINS GAINERS IN LAST 7 DAYS💥

Top 3 include:
$XMON @0xmons 🥇 📈 100.8%
$BWO @BattleworldGame 🥈 📈 72.1%
$FLOKI…"
1551456543664910336,2022-07-25 06:37:19+00:00,"RT @Allthingnfts: 💥HIGHEST TWITTER PROFILE REACH IN NFT SPACE💥

 Who's the best?🤔🤔🤔

@ShiLLin_ViLLian @frankdegods @MinisterOfNFTs @cozypro…"
1551444791082491904,2022-07-25 05:50:37+00:00,"RT @fantom_insider: Attention‼️ POWER CONSUMPTION (kWh) PER TRANSACTION BETWEEN FANTOM AND OTHERS 

Thanks to CCRI report 2022, we found ou…"
1551439941628227584,2022-07-25 05:31:21+00:00,"RT @Near_Coverage: Aurora is an Ethereum Virtual Machine (EVM) on the @NEARProtocol blockchain.

Then why should users and developers choos…"
1551438493632843777,2022-07-25 05:25:35+00:00,"RT @Near_Coverage: 👩‍🦲User plays the key role in the growth of any project.

👉Because of that. Let's have a look at top @auroraisnear dapps…"
1551437434164232192,2022-07-25 05:21:23+00:00,"RT @PolkadotInsider: Let's look at the top @kusamanetwork chains in the last 7D by the value of XCM transfers.

Top 3 projects:
🥇 @Moonrive…"
1551436633232515072,2022-07-25 05:18:12+00:00,"RT @AVAX_Insider: Let's see the @avalancheavax NFT collectibles ranking by holders 👀

The top 3 include:
🥇#UniverseEcosystem 
🥈@Louverture_…"
1551435614406725633,2022-07-25 05:14:09+00:00,"RT @PolkadotInsider: BREAKING NEWS:
@Oak_network #TuringNetwork Now Supports Horizontal Relay-routed Message Passing (HRMP)!

Detail here 👇…"
1551434337438269440,2022-07-25 05:09:04+00:00,RT @fantom_insider: The #Fantom ecosystem keeps expanding tremendously regardless of the volatility of the market. Below are the most popul…
1551431589284167680,2022-07-25 04:58:09+00:00,"RT @Near_Coverage: How did #NEAR community feel about $Near over the past 7 days❓

Here is the social metrics of @NEARProtocol ecosystem in…"
