id,created_at,text
1510623512645545988,2022-04-03 14:21:26+00:00,@profgalloway Some crows drop nuts in traffic to use cars as nutcrackers. Experienced ones drop them in crosswalks… https://t.co/t6IbzceVOj
1510388260027215877,2022-04-02 22:46:37+00:00,RT @DylanLeClair_: Way to go @coinbase. https://t.co/ySpCfoIgzc
1510368016046997512,2022-04-02 21:26:10+00:00,"@yankeeust 2000s commodity inflation was offset by globalization of labor (wage suppression).

In the 2020s, it is… https://t.co/3PuagPDqdo"
1510363488505450497,2022-04-02 21:08:11+00:00,@mikealfred Analysis of structural changes.
1510363198830129159,2022-04-02 21:07:02+00:00,This was the best financial podcast of the week imo: https://t.co/dfuyZLvZCa
1510342857571381254,2022-04-02 19:46:12+00:00,"@TuurDemeester And Fedwire briefly went down back in 2021.

The bitcoin network has had better uptime than Fedwire… https://t.co/k5KyoG1xfL"
1510341570083667971,2022-04-02 19:41:05+00:00,"@IIICapital Yes PoS is circular, like a corporation whose shareholders determine who the shareholders are, rather t… https://t.co/GCSusywVBm"
1510337777744941061,2022-04-02 19:26:01+00:00,@gamesblazer06 Currently 17% of all possible duration pairs are inverted. The 10y-1yr and 10y-3m are among the impo… https://t.co/ctcCe1xwUv
1510324536801116166,2022-04-02 18:33:24+00:00,"Basically, China is already doing what Zoltan Poszar has been describing with his recent great articles; they've be… https://t.co/ZT4WrWbgW8"
1510324535358369799,2022-04-02 18:33:24+00:00,"China has about 18% of global population and is a food importer.

Going into 2022, they had 69% of global maize res… https://t.co/nvw2wxhU9A"
1510318106702495750,2022-04-02 18:07:51+00:00,"Everything is so financialized, and as a result, financial experts often focus entirely on charts and models withou… https://t.co/AKlpCn9apq"
1510318105523892236,2022-04-02 18:07:51+00:00,"Commodity capex cycles continue to be an under-researched area among investors and economists.

imo deflationists w… https://t.co/J5wdq40553"
1510259627761586181,2022-04-02 14:15:29+00:00,"In 2021, Brazil increased yuan exposure from 1.21% to 4.99% of reserves, and decreased dollars from 86.03% to 80.34… https://t.co/6HX1JIZK8F"
1509956982698094597,2022-04-01 18:12:52+00:00,"@crypto_daze A: All of the web3 things but without the speculative tokens attached.
https://t.co/cxMQusllqr https://t.co/DFXIecYUbV"
1509949124178857998,2022-04-01 17:41:39+00:00,👍 https://t.co/8f4PpJ2w2V
1509939353400844292,2022-04-01 17:02:49+00:00,@AdrianoFeria @Santiag78758327 https://t.co/RtW8Fowdes
1509937838258806789,2022-04-01 16:56:48+00:00,"@Santiag78758327 @cyber_hokie Early users publicized it as best they could, and expended resources to mine it with… https://t.co/FPR3RWKCal"
1509936470072729609,2022-04-01 16:51:22+00:00,@cyber_hokie @Santiag78758327 https://t.co/Nhpl6aD2MK
1509935118709927943,2022-04-01 16:46:00+00:00,@Santiag78758327 Satoshi mined it when it was available to the public. He expended resources to do so at the market… https://t.co/AOLQQIIadd
1509926512165859328,2022-04-01 16:11:48+00:00,"Developers and VCs that build on the original are consciously forgoing seigniorage altogether, which is why the spe… https://t.co/ey3oRQepK9"
1509926510588829700,2022-04-01 16:11:47+00:00,"Good chart. Basically everyone is scrambling for more and more digital seigniorage, except the original.… https://t.co/v5tSfzQLpt"
1509679268615368705,2022-03-31 23:49:20+00:00,"@tambourciles @EmilKalinowski @FrankOnaissi @gladstein @JeffSnider_AIP Yes, because the proof of work ledger is stored around the world."
1509678716758200327,2022-03-31 23:47:09+00:00,"@FordEcee4DC ""I'm going to loan money to the US government at 1.295% and try to sell that loan at a 20% markup as a… https://t.co/lUldC33gMK"
1509677378255085577,2022-03-31 23:41:50+00:00,@brian_trollz Art.
1509675496979800065,2022-03-31 23:34:21+00:00,From last year. https://t.co/G35O6CKGfC
1509661354000531458,2022-03-31 22:38:09+00:00,"@EmilKalinowski @FrankOnaissi @gladstein @JeffSnider_AIP In the long run, soft money (which loses value and debases… https://t.co/VupGbsl2cs"
