id,created_at,text
1607053010991218689,2022-12-25 16:37:50+00:00,@HerrRusso Thanks!
1606798510287880193,2022-12-24 23:46:32+00:00,@MajorDuffles Lamb
1606798435084079105,2022-12-24 23:46:14+00:00,@neglacso My wife just climbed it to the top
1606789944013365248,2022-12-24 23:12:30+00:00,@cominight Polish route. Hard core!
1606782763654414337,2022-12-24 22:43:58+00:00,@YouKnowWho0831 We are staying at Altus!
1606780500458315782,2022-12-24 22:34:58+00:00,"@Mr_8418 Thanks, you too!"
1606780371588337667,2022-12-24 22:34:27+00:00,Merry merry! https://t.co/20EtaGNDfq
1606776281282105345,2022-12-24 22:18:12+00:00,"Merry Xmas from Mendoza, Argentina! https://t.co/QYLEIl66Bj"
1606728718310850562,2022-12-24 19:09:12+00:00,@HammerToe altar
1606728406342705153,2022-12-24 19:07:58+00:00,"@HammerToe Yup… and for so many people in their 20’s and 30’s in the 1990’s, God and salvation from life itself was… https://t.co/EmSzznBLzA"
1606726326097833984,2022-12-24 18:59:42+00:00,@HammerToe Such an incredible and powerful video too… thanks
1606716046236426243,2022-12-24 18:18:51+00:00,"@HammerToe … it remains forever etched in your soul… and seeing the crowd  euphoric, blissed and truly wild all at… https://t.co/u9blzZxJD5"
1606708699590004737,2022-12-24 17:49:39+00:00,@HexicanStandOff @faithless Terry was another huge loss
1606695327431622657,2022-12-24 16:56:31+00:00,@SBabt12 Seen a couple of times. Epic
1606695004180807681,2022-12-24 16:55:14+00:00,@RichyBobby5 Amazing and so sad. Sorry
1606690517504385024,2022-12-24 16:37:24+00:00,"If you haven’t seen Insomnia performed live in front of a large, wild crowd, you haven’t lived …"
1606690220170268675,2022-12-24 16:36:14+00:00,"Faithless lead singer Maxi Jazz dies aged 65. 

Urgh. So sad and too young.

Loved ⁦@faithless⁩ and one of my best… https://t.co/uEpfYOWaU3"
1606418308768694272,2022-12-23 22:35:45+00:00,@rex_woodbury Love this and it’s news to me too!
1606291270728650753,2022-12-23 14:10:57+00:00,@PatrickBurchart I’ll be there in a few days! Thanks
1605551813842780160,2022-12-21 13:12:36+00:00,"RT @BittelJulien: The Chicago PMI fell to 37.2 in Nov.

These are lvls not only historically consistent with 100% odds of recession, but on…"
1605326589151019011,2022-12-20 22:17:39+00:00,@benmezrich Can’t wait!
1605273184516841475,2022-12-20 18:45:26+00:00,@seanonolennon One of mine too. Sad.
1605208781121634305,2022-12-20 14:29:31+00:00,@GregJrNorman @howardlindzon You might have a bias to golf...
1605208662074880000,2022-12-20 14:29:03+00:00,@howardlindzon Talk to @mdudas he beat you to it... you can both wear long socks and pantalones together...
1605207521811386368,2022-12-20 14:24:31+00:00,"@howardlindzon ok, Boomer."
1605035303038685189,2022-12-20 03:00:11+00:00,@whoknows8344 I didn’t lose money on either but my bag went down in value!
1605034234690899973,2022-12-20 02:55:56+00:00,@brettcypto We’ve all done dumb things. It’s how we learn
1605033683240439808,2022-12-20 02:53:44+00:00,"Since many are asking:

Did you lose or have frozen more than 10% of your crypto assets on BlockFi or Celsius?"
1605033223196655617,2022-12-20 02:51:55+00:00,@0xMrWzrd My view too
1605029669920641024,2022-12-20 02:37:47+00:00,"Quick poll:

Did you lose more than 10% of your assets directly on FTX?"
1604929946136240129,2022-12-19 20:01:31+00:00,@billbarhydt noooo!
1604870869389557760,2022-12-19 16:06:46+00:00,@jakegumbleton Thanks!
1604870745707794432,2022-12-19 16:06:17+00:00,"@RudyHavenstein @elonmusk Super weird...sorry, that is a total pain. I use lists a lot too to filter noise."
1604869945212686336,2022-12-19 16:03:06+00:00,"@RudyHavenstein @elonmusk Not under your ""profile"" section?"
1604654761202126848,2022-12-19 01:48:02+00:00,@chicag0x It’s the plane! It’s the plane!
1604653309616586752,2022-12-19 01:42:16+00:00,@ericblap Been there “accidentally”
1604651046126731264,2022-12-19 01:33:17+00:00,@mintfaced Hahahahaha
1604648174504771585,2022-12-19 01:21:52+00:00,Rage quitting Twitter is like   proudly telling your friends you aren’t going to watch the last 3 episodes of Love… https://t.co/soJRFM7cSw
1604643694031912963,2022-12-19 01:04:04+00:00,@craigB77777 @TheGemHunters Thanks so much. All I do is try my best as does Real Vision which isn’t my views
1604565388389502979,2022-12-18 19:52:54+00:00,"Yes, there's a #recession coming... yes, things will get bad for a bit. But, there's a lot going on beneath the sur… https://t.co/fuAdgwK9qk"
1604560994637942787,2022-12-18 19:35:27+00:00,@livinL4rge @BoxersPandoras @anoushpal She is already planning Bhutan and Denali!
1604552849869848577,2022-12-18 19:03:05+00:00,@livinL4rge @BoxersPandoras @anoushpal Thanks. It’s a hell of a tough trek! She did amazing and made it as others h… https://t.co/qZkRkUhPh5
1604551097372270593,2022-12-18 18:56:07+00:00,@JoelHeyman Hahaha
1604548343006253056,2022-12-18 18:45:10+00:00,@billbarhydt @anoushpal Thanks! It was a really grueling trek
1604545769389817856,2022-12-18 18:34:57+00:00,My wife just got back from reaching the peak of Aconcagua and arrived in Mendoza to this!  I’m on my way! @anoushpal https://t.co/7tJv8uy2x1
1604537741966024704,2022-12-18 18:03:03+00:00,@mishadavinci Will be a lot of fun
1604536005314461696,2022-12-18 17:56:09+00:00,Hell yes! At the airport on my way to Argentina tomorrow so might be epic. Incredible game!
1604530985814482945,2022-12-18 17:36:12+00:00,@tincantab @RealVision Haha. I’m at the airport headed for Argentina!
1604530307624861697,2022-12-18 17:33:30+00:00,@tincantab @RealVision You should be watching the footie!
1604492762715488256,2022-12-18 15:04:19+00:00,@mishadavinci Decentralization is a mega secular theme and a big battle to be fought...
1604462306959806466,2022-12-18 13:03:18+00:00,@TheGemHunters Indeed! My calls expired worthless
1604274010660937729,2022-12-18 00:35:04+00:00,@super_punks Thank you so much ! I really appreciate it
1604264198141521921,2022-12-17 23:56:05+00:00,@super_punks Definitely
1604261093303472129,2022-12-17 23:43:45+00:00,@DufferOfNZ Puligny Montrachet
1604245665013448705,2022-12-17 22:42:26+00:00,@metapreneur_x 🍷
1604244459310432256,2022-12-17 22:37:39+00:00,"Not sure you've seen this yet but it's my recap on the year in digital assets, my learnings from the incredible gue… https://t.co/EBhp6lTI7Z"
1604239236839907328,2022-12-17 22:16:54+00:00,@cmpndr @InvestingCanons @WilliamGreen72 @EMostaque 🙏
1604235981867356160,2022-12-17 22:03:57+00:00,@Fractaltraders1 Yup... its a really tough trek!
1604130439442345986,2022-12-17 15:04:34+00:00,"RT @RealVision: ""If you are going to build a business that requires leverage to function on a f*cking 100 vol asset, you are smoking crack.…"
1603964458308599811,2022-12-17 04:05:01+00:00,"RT @li_speaking: @RaoulGMI @RealVision thank you for the treasure trove of knowledge, wisdom and information all these years. Heartfelt app…"
1603895831073021953,2022-12-16 23:32:19+00:00,"Really proud of my wife Anoush who unbelievably just climbed Aconcagua, the highest peak outside of Asia (7000m!) i… https://t.co/PRZ4VqF9W5"
1603887950823038977,2022-12-16 23:01:00+00:00,"RT @RealVision: In 2016 we f*cked up our app... you know it, and we know it! 

Well, we heard your feedback and gave it a complete overhaul…"
1603887764734451715,2022-12-16 23:00:16+00:00,"RT @RealVision: This week on Raoul's Adventures in #Crypto, @RaoulGMI looks back on what he’s learned over the last year after interviewing…"
1603781044670455813,2022-12-16 15:56:12+00:00,"@AldousHalvely @RealVision @wakingup App has just been entirely updated for iOS, Android coming in a few weeks."
1603770314189570048,2022-12-16 15:13:34+00:00,@Pescado_Roatan @BittelJulien Thanks!
1603770148313235458,2022-12-16 15:12:54+00:00,@bchainreader @BittelJulien love it
1603766604453527552,2022-12-16 14:58:49+00:00,Just after some help.. Does anyone know where I can get the data/chart of US gov debt maturity (of all types?) @BittelJulien
1603488441076965377,2022-12-15 20:33:30+00:00,@RealVisionBot @RealVision hahaha
1603345814683897857,2022-12-15 11:06:45+00:00,"RT @BittelJulien: Like the economy, inflation is almost always cyclical.

Here’s a look at the average US inflation cycle from the 1940s to…"
1603208808628617217,2022-12-15 02:02:20+00:00,"@thattallguy @jeffkauffmanjr @jumperstweeting 100,000%"
1602800723112202240,2022-12-13 23:00:45+00:00,@ShubzyBaker @RealVision @RealVisionBot Wait until the new mobile app is out too...
1602790261582856192,2022-12-13 22:19:11+00:00,@JTSEO9 Yup...
1602772222099488770,2022-12-13 21:07:30+00:00,"@CNBCJou Can't wait! Mendosa for a week and the BA for 3 days. My wife is currently climbing Aconcagua (7,000 meter… https://t.co/NEWLsjVoSZ"
1602771081000951809,2022-12-13 21:02:58+00:00,@CNBCJou Wow! Have fun! Im headed to Argentina for Xmas but don't get there until Monday so get to see the final in… https://t.co/AzFni46Vrc
