id,created_at,text
1554943461308174338,2022-08-03 21:33:05+00:00,"@gainzy222 stayed in a suite here for a few weeks last year, there is no second best hotel in new york

unfortunate… https://t.co/jBjlSI0Dqb"
1554698067491913732,2022-08-03 05:17:58+00:00,Solana ecosystem already down -99% so luckily there isn’t much to steal anyways
1554291654600925185,2022-08-02 02:23:02+00:00,Hoping that everyone who was exploited is able to recover funds but there is a reason why bridge security is the ONLY thing that matters.
1552473098259116033,2022-07-28 01:56:44+00:00,"BTC: 22,222 for max seethe"
1552472879563870208,2022-07-28 01:55:52+00:00,"ETH $2,222 SYN $2.22 Milady 2.2E"
1550929242849959936,2022-07-23 19:42:01+00:00,Shill me your ENS domain and i'll buy the funniest one
1550551771155767298,2022-07-22 18:42:04+00:00,@tempst0 you'll be upset when you see it at 10E
1549907984121200642,2022-07-21 00:03:53+00:00,@spymilk_ yes https://t.co/S6QLvKZxbq
1549783752297127938,2022-07-20 15:50:14+00:00,@insiliconot it’s in Kyiv
1549783092797259778,2022-07-20 15:47:37+00:00,Date Actually TBD but September certainly
1549645401606717441,2022-07-20 06:40:29+00:00,@CryptoMaestro should have used terminal
1549516800752324609,2022-07-19 22:09:28+00:00,"Location will be in manhattan, on September 16th. Details for attendance to come maximum 20 people. 

For those who… https://t.co/7W9lH99Qbw"
1549446781775249408,2022-07-19 17:31:14+00:00,@masterr_crypto i find mfs like u real interesting bro
1549445135234105348,2022-07-19 17:24:42+00:00,@shawn_odonaghue https://t.co/D3MTkGIjRV
1549442379320532994,2022-07-19 17:13:45+00:00,Will be throwing a Milady KBBQ dinner in September details to come
1549181846851829760,2022-07-18 23:58:29+00:00,"Su Zhu torture timeline, liquidated at the bottom and his ETH thesis playing out"
1549091762072846338,2022-07-18 18:00:31+00:00,Continuously impressed by the resiliency and hunger to learn by the crypto community during bear markets
1549074298794643457,2022-07-18 16:51:07+00:00,1pm est today!
1549042024367931393,2022-07-18 14:42:53+00:00,first ever spaces today what should we discuss?
1549040167670820864,2022-07-18 14:35:30+00:00,:) https://t.co/Wy9Z3X7wlK
1549039393209741312,2022-07-18 14:32:25+00:00,"The Crypto TA’er with college in his bio is immunized against all dangers: one may call him a larp, parasite, swind… https://t.co/OQBekvLBLP"
1548880680721027073,2022-07-18 04:01:45+00:00,"@0xfbifemboy f2p onboarding + the stream sniping aspect is why hearthstone thrived

would bet 99% of parallel inves… https://t.co/2SAiskm4Pf"
1548879701384503296,2022-07-18 03:57:52+00:00,@0xfbifemboy hearthstone f2p players have about 2-3months of time before they can be competitive but for literally… https://t.co/mi6k6tk88q
1548824095269310465,2022-07-18 00:16:54+00:00,@johnnyweakhands so your entire social goal is based on the validation of a woman and external people’s of her? weird
1548794301466935299,2022-07-17 22:18:31+00:00,@CrayptoCray and that's exactly why you will never have 30MM
1548788380661649410,2022-07-17 21:54:59+00:00,seeing a lot of people wondering how they can improve their execution. if you haven't used the lowest latency OEMS… https://t.co/danPrxh6iU
