id,created_at,text
1570780329266548736,2022-09-16 14:23:08+00:00,"RT @jchervinsky: Not legal advice, but the people who actually understand US securities laws will tell you that the merge not only *doesn't…"
1570769700984082432,2022-09-16 13:40:54+00:00,@sassal0x @AlgodTrading @RNR_0 https://t.co/o08SWre2pa
1570767567194828802,2022-09-16 13:32:26+00:00,@AlgodTrading @RNR_0 Could be. Tweet came with a lag.
1570752242495672320,2022-09-16 12:31:32+00:00,@AlgodTrading @RNR_0 What other problems do you have as a multi millionaire?
1570748688292782080,2022-09-16 12:17:25+00:00,@stableguvnor I’m not trying to project anything here. Just talking about facts. Ethereum just went through a major… https://t.co/hJe9S4dDIj
1570748152835350529,2022-09-16 12:15:17+00:00,@sassal0x If they only spent their time talking about the benefits of Bitcoin instead of  hating on Ethereum all day long.
1570737946889981955,2022-09-16 11:34:44+00:00,@SlvrCrescent Fair 😅
1570737163293327361,2022-09-16 11:31:37+00:00,Bros on CT take one day of $ETH supply increase and apply it on 5 year forecast. That's not how it works..
1570736264156160002,2022-09-16 11:28:02+00:00,Ethereum community is too soft. They shoudl retailate against BTC maxis. An eye for an eye..
1570495888237424640,2022-09-15 19:32:52+00:00,@warobusiness https://t.co/utChDpChps
1570463633406296064,2022-09-15 17:24:42+00:00,"@devchart So much better, I actually enjoyed it."
1570462876992942080,2022-09-15 17:21:42+00:00,Just tried watching the Rings of Power. Did they intentionally make it this boring?
1570435567174778880,2022-09-15 15:33:11+00:00,@PeregrineBTC I don’t think this was miners selling 😅
1570426984550830081,2022-09-15 14:59:04+00:00,Can we try unmerging maybe?
1570415608642011136,2022-09-15 14:13:52+00:00,@binance @cz_binance CZ looks like an alien with this haircut
1570414688588140544,2022-09-15 14:10:13+00:00,I would be careful interacting with any Ethereum forks right now. Make sure to send your ETH to another wallet befo… https://t.co/MX6MoKTNcn
1570413462148493313,2022-09-15 14:05:20+00:00,"@deltaxbt Yes, but we will care about that when the time comes"
1570412557604884481,2022-09-15 14:01:45+00:00,@deltaxbt That’s assuming every staker would decide to sell which is not likely
1570322689302171649,2022-09-15 08:04:38+00:00,@KirbyLarp https://t.co/ItYSJ9ouEc
1570322520431267841,2022-09-15 08:03:58+00:00,@Liquid_XBT I like Nasdaq more
1570322292273463298,2022-09-15 08:03:04+00:00,"If you’re wondering what happens now in terms of prices, we simply go back to trading macro.."
1570317650714050560,2022-09-15 07:44:37+00:00,@SlvrCrescent Every billionaire in the world is calling me and Vitalik to buy some
1570316876026204161,2022-09-15 07:41:32+00:00,"Even though we are usually focused on short term price action, the benefits of the Merge will be felt gradually. Mu… https://t.co/ghwmfl2lBu"
1570315958941777921,2022-09-15 07:37:54+00:00,"@slartibatfast01 Not that big, but about to receive another stimulus package now 😁"
1570315294018797568,2022-09-15 07:35:15+00:00,@vikrant670 Not gonna receive them anymore
1570315001549754374,2022-09-15 07:34:06+00:00,I’m gonna miss these funding fee checks 😢 https://t.co/4zAKtrznnT
1570314389496147968,2022-09-15 07:31:40+00:00,@LilMoonLambo You almost got me
1570314316003569664,2022-09-15 07:31:22+00:00,Miners literally ran out of coins to sell.. $ETH
1570308353552945153,2022-09-15 07:07:41+00:00,@TimBeiko Congrats. Thank you Tim for all the work you've done on this!
1570307602327683072,2022-09-15 07:04:41+00:00,People who were hoping the merge will fail right now.. https://t.co/duIJL73vSU
1570306434285330432,2022-09-15 07:00:03+00:00,Thanks to all Ethereum devs who worked hard on this for many years!
1570306208858525696,2022-09-15 06:59:09+00:00,It's done. Congratulations on the successful merge. Well done everyone!
1570303189747892231,2022-09-15 06:47:09+00:00,@PeregrineBTC Your eth is eth2.0
1570302513739599872,2022-09-15 06:44:28+00:00,"Ok, PoS activated. Now we wait for blocks to finalize"
1570301973890740224,2022-09-15 06:42:20+00:00,2 minutes to go #TheMerge
1570290490972508160,2022-09-15 05:56:42+00:00,@arbitrum 🫡
1570285330171064320,2022-09-15 05:36:11+00:00,@sassal0x Noted ser
1570284952788340738,2022-09-15 05:34:41+00:00,@sassal0x Then why does it say 41 mins left? :)
1570284535061041152,2022-09-15 05:33:02+00:00,@sassal0x Is this not accurate? https://t.co/M6aJC1qdxh
1570284274770939904,2022-09-15 05:32:00+00:00,"@FisholasMMA Thanks, I’ll try. But there are better people to follow for that @TimBeiko"
