id,created_at,text
1510614326473859074,2022-04-03 13:44:55+00:00,From now for some time ahead I’ll only let selected group of people to reply to my tweets. The bots have become unbearable
1510610252592566273,2022-04-03 13:28:44+00:00,"RT @dougboneparth: I went out to dinner last night and talked about the utility of NFTs and the future of crypto, but the waiter kept inter…"
1510593295659200518,2022-04-03 12:21:21+00:00,Inverted yield curve vs #Bitcoin🤔 https://t.co/i57M2p8O4e
1510589223094607877,2022-04-03 12:05:10+00:00,"RT @TheBirbNest: Another episode of The Nest Show Podcast is here! This time, @crypto_birb interviewed @DominikEbebenge, a huge name of tra…"
1510588186032066560,2022-04-03 12:01:03+00:00,"RT @crypto_madmax: More winners, winners everyday. but these promotion won't last for much longer! take advantage of it while you still can…"
1510588147759038466,2022-04-03 12:00:54+00:00,RT @LiBZ42: Started doing more educational content for @TheBirbNest YouTube channel. These get fewer views than the Altcoin setups video bu…
1510588121196412935,2022-04-03 12:00:48+00:00,"RT @qbs_graphics: Join @TheBirbNest to learn how to profit from markets when they move📈or📉🔥

$BTC short just hit our first TP and members s…"
1510587865243205632,2022-04-03 11:59:47+00:00,"RT @TradePsychCoach: $BETA update:

Pullback from BTC also lead to this coin's pullback.
Looking at something like that to play out: https:…"
1510587841662836743,2022-04-03 11:59:41+00:00,@TheCryptoDog letsgoo
1510587743755284487,2022-04-03 11:59:18+00:00,RT @allstarcharts: New all-time monthly closing high for Copper https://t.co/8e1lLXqfLL https://t.co/6bq4aXt4Vn
1510564514130976769,2022-04-03 10:26:59+00:00,lmao #Bitcoin https://t.co/HcMXq915QN
1510548725265018887,2022-04-03 09:24:15+00:00,@CryptoMichNL Congrats homie @CryptoMichNL
1510548428819939332,2022-04-03 09:23:04+00:00,@cryptoaladeen @HallsofOlympia Lmao looks awsm
1510531321390637056,2022-04-03 08:15:05+00:00,@TechDev_52 👏
1510527348734636032,2022-04-03 07:59:18+00:00,GM. Have a blessed Sunday y’all https://t.co/87xg9XBMiN
1510389575071551499,2022-04-02 22:51:51+00:00,"Tons of successful calls over the last days, thanks to my amazing team at @TheBirbNest. There’s so much coming up i… https://t.co/G2snOvenc0"
1510351016306356227,2022-04-02 20:18:37+00:00,@scottmelker Ok but first you need to see this https://t.co/nvLWmQnARg
1510349733700771842,2022-04-02 20:13:32+00:00,@scottmelker I’ll get you in DMs with my booster dealers - top notch https://t.co/zDzkvidGcy
1510348411253542917,2022-04-02 20:08:16+00:00,"Our massive triple boost discount is coming to an end. If missed entire pool of rewards, and giveaway, don’t miss o… https://t.co/f6dmFnvPQN"
1510324384501800969,2022-04-02 18:32:48+00:00,My brother @OnChain_Labs is on fire🔥 https://t.co/m6ZtRw1gv9
1510324308312305665,2022-04-02 18:32:30+00:00,RT @OnChain_Labs: Just shared the Free #Bitcoin Report on the Private Discord of @TheBirbNest. Go check it out as it contains lots of alpha…
1510309956905541632,2022-04-02 17:35:28+00:00,"RT @TheBirbNest: 📢 Daily Winners Announcement 📢
🗓️For Saturday 2nd April
Congrats:
🤝🏼 @crypto_wkl You won a 1-month Exclusive Nest Club
🤝🏼…"
1510309781004865537,2022-04-02 17:34:46+00:00,"RT @TechDev_52: Update on $ETH (and #alt market) idea. 

Sentiment quite different just 1 month ago... https://t.co/sAHiCwnJNI"
1510309766442422272,2022-04-02 17:34:43+00:00,"RT @WClementeIII: 63.15% of Bitcoin's supply has not moved in at least 1 year.

This is just 0.3% shy of an all-time high. https://t.co/zfc…"
1510309734615814158,2022-04-02 17:34:35+00:00,RT @LiBZ42: I'm pretty sure we are going to see a lot more of the SuperNFT from @KwikTrust. A bunch of different use cases that far exceed…
1510281537195024385,2022-04-02 15:42:32+00:00,"“Success in trading is the ability to see the bigger picture, the shape of the price moves rather than the highly s… https://t.co/VABFomIlpd"
1510280056446369800,2022-04-02 15:36:39+00:00,"RT @BC_Richfield: $BTC

Quick thoughts;

Rejecting at the weekly open and MTF order block
Stoch RSI 1H bear cross and 4H incoming
Cross 4H/…"
1510268135064195073,2022-04-02 14:49:17+00:00,@honey_xbt 🤝
1510266218858561538,2022-04-02 14:41:40+00:00,@jtraderco @DominikEbebenge @KinchanceDRC 🤝
1510254530209976320,2022-04-02 13:55:13+00:00,"Brand new podcast with @DominikEbebenge, the head of @KinchanceDRC is streaming LIVE!

Tune in

🔗… https://t.co/JXFcmWx5Ai"
1510220287261949959,2022-04-02 11:39:09+00:00,"RT @BC_Richfield: $FTM Update

Closing most of this here. MTF starting to turn &amp; with SL in profit its a nice place to step back, focus on…"
1510217648474316809,2022-04-02 11:28:40+00:00,RT @LiBZ42: Ok time for a cold shower. If I'm ever going to swim in that ice lake before summer i need to man up lol. Dipped my toes in and…
1510217544526925830,2022-04-02 11:28:15+00:00,RT @100trillionUSD: #bitcoin RSI bouncing back up. BTC 25% below ATH levels. https://t.co/7mC9oS23Qw
