id,created_at,text
1510521130917974018,2022-04-03 07:34:36+00:00,👀 https://t.co/tHLPvFen65
1510516756451938307,2022-04-03 07:17:13+00:00,@sheerazhasan @johnlegend @RecordingAcad @binance Looking good.
1510490852631711745,2022-04-03 05:34:17+00:00,"RT @gautamchhugani: When I started this trip, little did I know I would land in Vegas to attend the Grammys! Thanks @pankaj_delta_ex &amp; @bin…"
1510490776454803458,2022-04-03 05:33:59+00:00,@APompliano @FortuneMagazine 🔥
1510474006968815620,2022-04-03 04:27:21+00:00,@iam_yang09 One'd hope...
1510473800743374856,2022-04-03 04:26:32+00:00,"Beware of phishing attacks. Never click on links in an email or message, or worst Twitter comments. https://t.co/SmyE3unpKj"
1510472659469053953,2022-04-03 04:21:59+00:00,RT @leahhhli: Making history. @binance @RecordingAcad #BMCHonors https://t.co/ku61tIpQoB
1510471227097468932,2022-04-03 04:16:18+00:00,@spideycyp_155 I have running gear...
1510471149179883524,2022-04-03 04:15:59+00:00,"@WangiuWang888 Jogging training might be a better option, right?"
1510471026777505793,2022-04-03 04:15:30+00:00,"@notmarvc Trying to figure that out. Hopefully nothing, as per my current understanding... lol"
1510470884288614404,2022-04-03 04:14:56+00:00,@deba215 @MikeTyson Good to know.
1510469958274269185,2022-04-03 04:11:15+00:00,"@VT6688 Always know the agenda before a meeting, right? In this case, particularly important. haha."
1510467854436605957,2022-04-03 04:02:54+00:00,"When Mike says that, how do you respond? https://t.co/P5IVIda9jm"
1510467571467931653,2022-04-03 04:01:46+00:00,@MikeTyson DM me. Will give you my IM.
1510467320036171777,2022-04-03 04:00:46+00:00,"@MikeTyson Woah... will be a true honor to see you.

Hope our helpdesk didn't piss you off or anything, lol... 😂"
1510464796797419526,2022-04-03 03:50:45+00:00,"@deba215 yeah, that is a problem in many places."
1510323761807077378,2022-04-02 18:30:19+00:00,@DrEricDing I wonder how many drones they crashed in producing this video. If it was me... lol
1510322162535645193,2022-04-02 18:23:58+00:00,Difference in narrative. https://t.co/yqyyB6laH8
1510316541513977868,2022-04-02 18:01:38+00:00,"@BVBTC No one is trying to ban it yet, I think. Some are trying to KYC/surveillance them, but yeah, the illustration still valid."
1510315041865834506,2022-04-02 17:55:40+00:00,"@drewbits Hydro or nuclear power seems to be the way to go. Nuclear has its other problems, of course. But better r… https://t.co/L4B8SEF2XF"
1510314612713050116,2022-04-02 17:53:58+00:00,Things are often not what it seems on the surface. And don't be fooled by one sided narratives.
1510314317484339203,2022-04-02 17:52:48+00:00,"According to the book ""Numbers Don't Lie"", More than 60% of the electricity used to power EV (electric vehicles) co… https://t.co/P7lyPFG7aG"
1510288144528248837,2022-04-02 16:08:48+00:00,@Eljaboom @UdemeWilliam1 @binance @TrustWallet @PancakeSwap Yup.
1510288036386455563,2022-04-02 16:08:22+00:00,Unreasonable restrictions in local economies often cause talent drain. Smart young kids can and will go work in oth… https://t.co/VWARMJtJgY
1510286600999161858,2022-04-02 16:02:40+00:00,"@UdemeWilliam1 CEX -&gt; @binance

DEX -&gt; @TrustWallet"
1510249910544781317,2022-04-02 13:36:52+00:00,Happy #Ramadan to all those celebrating this month! https://t.co/OeTCgCAjNi
1510199008148475905,2022-04-02 10:14:36+00:00,The Builder: How @Binance Product Lead Mayur Kamat is Helping Build The Future of Web3 | Binance Blog https://t.co/M7PVROOcDh
1510196879149182976,2022-04-02 10:06:08+00:00,@CionnyP @binance What’s your case id?
1510061533031710726,2022-04-02 01:08:19+00:00,"@antepliyarasa Exactly. Earth didn’t come with borders, and blockchain transcends them."
1510060569365295110,2022-04-02 01:04:29+00:00,Zoom out. You don’t just live in a city or country. You live on a little ball called Earth.
1510059353029677059,2022-04-02 00:59:39+00:00,"@bitstein @saifedean Btc is volatile, for a good reason."
1510057045877264387,2022-04-02 00:50:29+00:00,"@joonian They type it in instead of copy and paste, lol…"
1510056151186030598,2022-04-02 00:46:56+00:00,@EgonautsNFT @MOTF Woah 🙏
1509971544683991056,2022-04-01 19:10:44+00:00,"Might buy some fiat today, looks like a decent investment?"
1509970520527233026,2022-04-01 19:06:40+00:00,RT @TajoCrypto: @WatcherGuru Binance is synonymous with big moves. Earlier in the year Binance announced partnership with Argentine Footbal…
1509970272736133131,2022-04-01 19:05:41+00:00,"RT @Cointelegraph: Case dismissed. 

A federal judge dismisses a class action complaint asserting that @binance violated U.S. securities la…"
1509908262694576135,2022-04-01 14:59:17+00:00,"@PeterSchiff Peter may be Satoshi, because he does a good job pretending not to understand #bitcoin. (Apr 1)"
1509891765460996100,2022-04-01 13:53:43+00:00,@Hisbenjaminkaka Happy birthday!
1509887789374058517,2022-04-01 13:37:56+00:00,@BitcoinMagazine @RSync25 @saylor Two great minds.
1509877256457371649,2022-04-01 12:56:04+00:00,@BTC_Archive Tough decisions....
1509866379272413187,2022-04-01 12:12:51+00:00,"RT @binancezh: Binance TV愚人節特別節目，為您揭曉🔍：

BTC多次上攻1千萬美金未果
幣安推出“外賣即挖礦”新業務
幣安收到M79星球KYC認證申請
幣安員工月球團建方案確認
@cz_binance @binance
#币安 #BinanceTV #C…"
1509816219641298969,2022-04-01 08:53:32+00:00,@LukasBydzovsky Onwards.
1509778204592066565,2022-04-01 06:22:28+00:00,Recording Academy Partners With ⁦@binance⁩ For The 2022 GRAMMYs https://t.co/k5x0Q9tnFd
1509722427114283015,2022-04-01 02:40:50+00:00,@LilMoonLambo 😂
1509692582682636289,2022-04-01 00:42:15+00:00,@mrdarkwalker @CoinMarketCap Probably nothing.
1509523531645734913,2022-03-31 13:30:30+00:00,"RT @binance: Live now: @ToniKroos NFT Mystery Box collection!

For the unaware, Toni Kroos is a professional footballer at @realmadrid.

Ge…"
1509511165675814919,2022-03-31 12:41:21+00:00,@JarauMoses @FortuneMagazine 🙏
1509444712234692610,2022-03-31 08:17:18+00:00,"RT @QuintenFrancois: #Bitcoin carbon emissions output:
🔸 3 times less than gold 
🔸 3 times less than the global banking system 
🔸 24 times…"
1509424577637715970,2022-03-31 06:57:17+00:00,@UdemeWilliam1 Been trying... Working on it.
1509424208350171143,2022-03-31 06:55:49+00:00,@mugkip @FortuneMagazine I use a standing desk (often just my suit case on top of a normal desk in a hotel).. 😂
1509423962895310852,2022-03-31 06:54:51+00:00,"@RohanJT @FortuneMagazine Did it myself. Then found out there is a photoshoot the next day, oh well, lol..."
1509423140715347970,2022-03-31 06:51:35+00:00,@surendarkgr @FortuneMagazine To make a difference is key! 🙏
1509422686560309250,2022-03-31 06:49:46+00:00,"A few traditional media friends (from Bloomberg, FT, Fortune) all said their crypto articles are the most read. Probably nothing. 🤷‍♂️"
1509419795384569856,2022-03-31 06:38:17+00:00,"@IncomeSharks @FortuneMagazine It's just a subjective opinion. Obviously, don't have that much in my wallet, lol..."
1509418888378867715,2022-03-31 06:34:41+00:00,"Really not that rich, but honored to be featured on the cover. 🙏 @FortuneMagazine https://t.co/SvPuJHlUT6"
1509243070432354308,2022-03-30 18:56:03+00:00,"RT @spideycyp_155: @cz_binance The maintenance of modern money system, including banking deposits &amp; paper money, produces almost 400 millio…"
1509242130916651011,2022-03-30 18:52:19+00:00,"Wow, damn… Not easy playing defense. 

Apple, Meta Gave User Data to Hackers With Forged Legal Requests (AAPL, FB)… https://t.co/1vFtEfjlVK"
1509236024253325315,2022-03-30 18:28:03+00:00,"Why Bitcoin Mining Is Great for The Planet | by Jason Deane | Quantum Economics | Mar, 2022 | Medium https://t.co/NWx9mGdC9A"
1509202935334453249,2022-03-30 16:16:34+00:00,"@BNBSwap @PresidentFtm Fees go lower, #BNB goes higher."
1509202158385876994,2022-03-30 16:13:28+00:00,@maxeewell Will look into/fix. Thanks for the feedback! 🤝
1509200997893263367,2022-03-30 16:08:52+00:00,"A: @Binance already has the lowest fees in the market, why lowering it again?

Me: because we can. 

Protect users.

https://t.co/tVwRsAMWod"
1509096228784594946,2022-03-30 09:12:33+00:00,"Crypto is terrible for avoiding sanctions for a simple reason. It is traceable.

Cash on the other hand..."
1509094366635245568,2022-03-30 09:05:09+00:00,@binancezh Looking good.
1509093237457358850,2022-03-30 09:00:40+00:00,@Moexba @binance @BinanceArabic 🙏
1509093164304510982,2022-03-30 09:00:22+00:00,@fastswapdex 🙏
1509093083857756165,2022-03-30 09:00:03+00:00,@anndylian 🙏
1509092976340971525,2022-03-30 08:59:37+00:00,"@Nauman_Angel Easy, congrats!"
1509086819224281090,2022-03-30 08:35:09+00:00,Interns let loose at #BinanceBlockchainWeek https://t.co/sL4hV5ybis
1509034555365277700,2022-03-30 05:07:29+00:00,"#Binance launches Binance Bridge 2.0 to integrate CeFi and DeFi

https://t.co/byNCejNJmv"
1508984764212158465,2022-03-30 01:49:38+00:00,"@GaryPointer4 @FortuneMagazine yeah, and not easy to pay..."
1508984546586505223,2022-03-30 01:48:46+00:00,@loucathegoat @FortuneMagazine All overnight successes took 20 years in the making.
1508984158638465028,2022-03-30 01:47:13+00:00,"@dunnowhyomg @FortuneMagazine It's true. I only get recognized at crypto conferences, which is perfect. Normal life usually."
1508967670078750721,2022-03-30 00:41:42+00:00,"RT @WatcherGuru: JUST IN: #Binance has launched Binance Bridge 2.0, which connects the BNB Chain with other networks and includes support f…"
1508967278297157638,2022-03-30 00:40:09+00:00,"@FortuneMagazine Not that rich, btw. I only count what's in my wallet, which is not much at all. The rest are all opinions."
1508966384994340864,2022-03-30 00:36:36+00:00,"Tried to subscribe to an online magazine (to read an article), but the payment process took way too long. If they j… https://t.co/At175GuetT"
1508964595980898304,2022-03-30 00:29:29+00:00,@FortuneMagazine Thanks for the slender man description. 😆💪🙏
1508964472941068294,2022-03-30 00:29:00+00:00,RT @FortuneMagazine: He became as rich as Mark Zuckerberg virtually overnight. How Binance founder ‘C.Z.’ Zhao became a $74 billion man whi…
1508869326916530176,2022-03-29 18:10:55+00:00,Our team is in touch with AxieInfinity team providing assistance in tracking this issue. https://t.co/pNU4wwrCAq
1508867198206554120,2022-03-29 18:02:28+00:00,@alsayadii @callebtc @RSync25 Notified our team. They are on it.
1508865207694770190,2022-03-29 17:54:33+00:00,@callebtc @RSync25 😂
1508864724926091266,2022-03-29 17:52:38+00:00,@ihabcrypto @Binanciera @MFBNB_EG @Moexba @Tarik4Game @Sirbinali @JesuslVivas @BinanceAngels @BinanceArabic @RIBKA_BINANCE Looks fun.
1508716310099808262,2022-03-29 08:02:53+00:00,@iamchrisani @BinanceAfrica @binance 😆👏
1508716084261756931,2022-03-29 08:01:59+00:00,Love being on a panel with people with different views. Learned a lot.
1508715164060762112,2022-03-29 07:58:20+00:00,"Too many people spend too much time being jealous of other people's success, instead of working on their own initia… https://t.co/GuoxVzqQqU"
1508714359845011458,2022-03-29 07:55:08+00:00,@WeAreMessi @tatografias Good luck! 💪
1508694779298787329,2022-03-29 06:37:20+00:00,"RT @cz_binance: @vikmeup On behalf of the community, thank you for everything you have done! Most people probably cannot believe we've only…"
1508694490256707584,2022-03-29 06:36:11+00:00,"@vikmeup On behalf of the community, thank you for everything you have done! Most people probably cannot believe we… https://t.co/bIpjsruL2y"
1508677299910103043,2022-03-29 05:27:52+00:00,"Win the heart of the users, then you win.
 https://t.co/nHNMCGzYLp"
1508585238871564298,2022-03-28 23:22:03+00:00,@Cointelegraph When can they change this narrative? Crypto is traceable. People use fiat to evade sanctions.
1508571459400183810,2022-03-28 22:27:18+00:00,"The video is a community contribution, I think. Got it in a message."
1508571361039507463,2022-03-28 22:26:55+00:00,"If you sold #BTC under $50,000. https://t.co/hNvVzsXX7C"
1508570331849633792,2022-03-28 22:22:49+00:00,Understated the number. https://t.co/3q1iVy2rdp
1508499864396701700,2022-03-28 17:42:48+00:00,#BinanceBlockchainWeek https://t.co/XU7NWtEPoD
1508499191194136582,2022-03-28 17:40:08+00:00,RT @Binance_intern: How to find #Binance Intern at #BinanceBlockchainWeek tomorrow. https://t.co/p5Cxalvq83
1508476884983717888,2022-03-28 16:11:30+00:00,"@spideycyp_155 @MattHancock @Ukraine @binance @Eljaboom They didn't, but we donated $10m anyway."
1508471457579425798,2022-03-28 15:49:56+00:00,RT @MattHancock: Important research in to why Crypto is being used as a force for good in Ukraine and myth busting it's perceived role in s…
1508463978950934529,2022-03-28 15:20:13+00:00,"Imagine if a country pushed out all their internet talent 20 years ago...

Keep your blockchain talent."
1508463427907469312,2022-03-28 15:18:01+00:00,@VT6688 why did you photoshop a mustache on me near the beginning? 😂
1508462914461646853,2022-03-28 15:15:59+00:00,@Moexba @BinanceAngels @binance @BinanceArabic The satellite image from space shows Dubai as more yellow than before.
1508462518632697856,2022-03-28 15:14:24+00:00,"@DraconianRang didn't want to name them, but yeah."
1508462111516774403,2022-03-28 15:12:47+00:00,"Some lead, some follow. All happy."
1508461983200333827,2022-03-28 15:12:17+00:00,"@artists_voyage Business friendly government, clear regulations, low taxes... Oh, and super safe and fun city to live in."
1508461558158053383,2022-03-28 15:10:35+00:00,@spideycyp_155 Useful to know. 👍
1508460454628274187,2022-03-28 15:06:12+00:00,"Not a tax expert, but as far as I know, most countries have 0 tax for crypto transactions (transfers) today."
1508459942419873804,2022-03-28 15:04:10+00:00,@udiWertheimer there won't even be a tree.
1508459147418820608,2022-03-28 15:01:01+00:00,"There were $10 in bitcoin transactions yesterday. You start to tax 30% today, how much tax will you collect today?… https://t.co/SBufL9kFYN"
1508457639990239245,2022-03-28 14:55:01+00:00,"Welcome to #Dubai!
 https://t.co/otMYiduCqs"
1508436480993247240,2022-03-28 13:30:57+00:00,"Real estate and listed companies are ""safer than crypto"", right?

This is the stock price of a top listed real esta… https://t.co/9e8dx06PPi"
1508432031532863488,2022-03-28 13:13:16+00:00,@pushpendrakum a bit high.
1508430931509530638,2022-03-28 13:08:54+00:00,"@elonmusk damn, you got it too?"
1508418884457619457,2022-03-28 12:21:01+00:00,Self custody wallets are the future. #BNB https://t.co/0eU0VzMfOI
1508417074074431491,2022-03-28 12:13:50+00:00,"RT @spideycyp_155: #Trustwallet very very impressive. I feel proud to be one of those 50 M+. 
This is the best part, and guess what #Binanc…"
1508410762066284549,2022-03-28 11:48:45+00:00,"@bored_panda27 yeah, very easy to miss, or just not know."
1508409799515463680,2022-03-28 11:44:55+00:00,"A small culture reminder. Don't cross your legs on stage, so that you won't show the soles of your feet. Every cult… https://t.co/aQM6rjooLb"
1508403336243994627,2022-03-28 11:19:14+00:00,Watching the livestream: https://t.co/Jsgvt0Wi8G
1508302281816645632,2022-03-28 04:37:41+00:00,"RT @binance: Who's excited for Day 1 of #BinanceBlockchainWeek?

All the action will get underway in just over an hour! Everything will be…"
1508231052447436804,2022-03-27 23:54:39+00:00,Imagine not having crypto. 😂
1508192407468314638,2022-03-27 21:21:05+00:00,#BinanceBlockchainWeek
1508192340267175938,2022-03-27 21:20:49+00:00,@anndylian @binance love the fact that we got a new hash tag emoji for it. lol.
1508167482913263618,2022-03-27 19:42:02+00:00,RT @Perridonhldgs: Special award for a special car #binance https://t.co/dw0yTjQlR1
1508167013205782536,2022-03-27 19:40:10+00:00,"@TheMoonCarl Appreciate it, doing our bit. Thank you for all your support too. 🙏"
1508165748409212942,2022-03-27 19:35:09+00:00,@saylor That's exactly right!
1508165582205689869,2022-03-27 19:34:29+00:00,@lalahappy_ 🙏
1508146246074126342,2022-03-27 18:17:39+00:00,@spideycyp_155 @binance Didn't take much medicine. No fever medicine. Just some sore throat syrup.
1508145602617561098,2022-03-27 18:15:06+00:00,"And don't let others tell you what to think. 99% of what they say are their own opinions, which are almost never 10… https://t.co/FAvjx8ui3G"
1508144693145706510,2022-03-27 18:11:29+00:00,"RT @cz_binance: @spideycyp_155 @binance Good. Yesterday, low fevers, 37.4C. Normally 36.5. Muscle aches, same muscles I worked out on 3 day…"
1508144402123968514,2022-03-27 18:10:20+00:00,@DogeKingCA @Tarik4Game @heyibinance @EowynChen @binance 😆
1508143838103314439,2022-03-27 18:08:05+00:00,"Don't tell people what to think.
DO things to win their hearts.

#bitcoin never tells you what to think."
1508143026975260677,2022-03-27 18:04:52+00:00,RT @CHalexov2016: Yes my friend ⁦@cz_binance⁩ &amp; ⁦@binance⁩ this was great move in August 2017 i made! 5 #btc got me 8600 #bnb today worth 7…
1508141826791903234,2022-03-27 18:00:06+00:00,@Tarik4Game @heyibinance @EowynChen There are many others too. Most of the @Binance team work from behind the scene… https://t.co/GhYya1Ks3j
1508141541814067200,2022-03-27 17:58:58+00:00,@ChibiGuardians @BinanceAngels #Binance Angels is the secret weapon.
1508138711627796482,2022-03-27 17:47:43+00:00,"@spideycyp_155 @binance Good. Yesterday, low fevers, 37.4C. Normally 36.5. Muscle aches, same muscles I worked out… https://t.co/2asvdcXIAK"
1508134536210784257,2022-03-27 17:31:07+00:00,"RT @binance: #BinanceBlockchainWeek is almost here ⏰

Get ready to grow your crypto knowledge with our lineup of speakers! 

If you're not…"
1508133887112884230,2022-03-27 17:28:33+00:00,"RT @Eljaboom: #BinanceBlockchainWeek live in Dubai 🇦🇪 
@heyibinance the Queen 👸🏻 👏🏼 https://t.co/7b5vDTRHSe"
1508070930068738053,2022-03-27 13:18:22+00:00,@JesuslVivas @BinanceAngels @binance amazing
1508068220929986563,2022-03-27 13:07:37+00:00,RT @ChibiGuardians: Nearly all @BinanceAngels already here checking #BinanceBlockchainWeek #AngelsInDubai https://t.co/jjz6yWqBup
1508067466219429897,2022-03-27 13:04:37+00:00,"@BenTodar wow, that's a nice view too."
1508065185218678786,2022-03-27 12:55:33+00:00,The video is from @Perridonhldgs
1508046983147229186,2022-03-27 11:43:13+00:00,RT @binance: #BinanceBugatti in action ahead of #BinanceBlockchainWeek tomorrow 👀 https://t.co/nJEsKBTu5g
1508043942889246721,2022-03-27 11:31:08+00:00,@pp3dp_se Would be awesome!
1508043878691065862,2022-03-27 11:30:53+00:00,"@paulemmanuelng No, I just got the video from WhatsApp. Lol"
1508039140226617345,2022-03-27 11:12:03+00:00,👀 https://t.co/0X3BCinlZT
1507851140876144641,2022-03-26 22:45:01+00:00,"Entrepreneurship and crypto are both physical jobs. When combined, exponentially so."
1507840543216254984,2022-03-26 22:02:54+00:00,"#EduFi #BNB

https://t.co/jzRJVBU1kf"
1507837149097435144,2022-03-26 21:49:25+00:00,@CryptoFventures 🙏
1507776947975249924,2022-03-26 17:50:12+00:00,"Covid sucks, missing out. 😭 https://t.co/fUSEkwzOmt"
1507744783795724293,2022-03-26 15:42:23+00:00,"9 days ago, I made a handshake deal with mayor @eduardopaes. Rio De Janeiro will accept crypto for tax payments, an… https://t.co/RccJ3AOs1g"
1507743964417466369,2022-03-26 15:39:08+00:00,"RT @spideycyp_155: Binance To Host Blockchain Education Bootcamp For Women In Collaboration With Utiva.
#binance is giving a chance to wome…"
1507720271549063176,2022-03-26 14:04:59+00:00,@Moexba @BinanceArabic @BinanceAngels @binance They say 80% of success is just to be there. I hate covid.
1507639446883164161,2022-03-26 08:43:49+00:00,@julianhosp @MMCrypto Yeah
1507633305113575424,2022-03-26 08:19:25+00:00,"@MMCrypto Sotrovimab? They have it here in Dubai. It normally costs $10,000 treatment, free here."
1507622978862919683,2022-03-26 07:38:23+00:00,"@spideycyp_155 a little bit of sore throat, but I get that all the time when I talk too much..."
1507621410528800772,2022-03-26 07:32:09+00:00,"But I am overall ok, still on Twitter."
