id,created_at,text
1516272863031922689,2022-04-19 04:29:56+00:00,Wait you guys actually made money this year lol?
1515040105500590082,2022-04-15 18:51:23+00:00,@kyaraghi I have it but it don’t really work too well
1515039924310794246,2022-04-15 18:50:40+00:00,Extremely unfortunate turn of events for today
1515039761584451586,2022-04-15 18:50:01+00:00,Btw I won’t be allowed to tweet for the rest of my 2 hour drive as I’ve already nearly killed my gf a dozen times being on my phone
1515038554572791817,2022-04-15 18:45:14+00:00,"@buyerofblood I’m unironically in amazing shape, don’t even lie"
1515038493851881473,2022-04-15 18:44:59+00:00,@buyerofblood Wealth belly
1515037372420743169,2022-04-15 18:40:32+00:00,@xbt_ag Wdym that’s it??
1515037186957082627,2022-04-15 18:39:48+00:00,"Do you have any idea who you’re fucking talking to?

I literally made $500 day trading this morning while you were… https://t.co/mgasUD42pl"
1515031268118859776,2022-04-15 18:16:16+00:00,@CryptoEthan TWAPPING $10 you’re welcome
1515030845936988163,2022-04-15 18:14:36+00:00,"Such small volume to push up the books, wonder if this is bullish or bearish Bc so thin"
1514985818724655116,2022-04-15 15:15:40+00:00,Y they pump then dump
1514979764624265221,2022-04-15 14:51:37+00:00,@gainzxbt Inverse of selling to pay taxes
1514796994602024965,2022-04-15 02:45:21+00:00,@coachella @AmericanExpress My Amex got denied at the Coachella food court I have no money haven’t eaten in days de… https://t.co/oerxFfXSxW
1514792036506882057,2022-04-15 02:25:39+00:00,@gainzxbt I would have a field day if I was the person that got to control which ads you see
1514655596737273877,2022-04-14 17:23:29+00:00,All things considered we could have someone a lot worse for the richest person in the world. He seems to have his h… https://t.co/U2WeuDoWO6
1514655449265553408,2022-04-14 17:22:54+00:00,Lmao remember how hard the left used to dickride Elon like 3-4 years ago
1514633232553107471,2022-04-14 15:54:37+00:00,"Your goal should be to lose the least amount of money possible from here until October 

October will be max long everything szn"
1514316938314346498,2022-04-13 18:57:47+00:00,@basedkarbon Gang https://t.co/fZZ7QtMwjl
1514296562653880321,2022-04-13 17:36:49+00:00,@Coldside Ohhhhh
1514270009278668801,2022-04-13 15:51:18+00:00,@Heavnx @imBagsy Paid out in what?
1514269979520106499,2022-04-13 15:51:11+00:00,@Heavnx @imBagsy Oh damn didn’t know that
1514269783742574592,2022-04-13 15:50:24+00:00,"@imBagsy Or u can ball out with me

https://t.co/w3zlFlcExc"
1514268896961785861,2022-04-13 15:46:53+00:00,"@imBagsy Sorry you were prob asking on chain 

Stargate, crv, Syn, all have decent yields and have proven safe"
1514267918879498242,2022-04-13 15:43:00+00:00,"@imBagsy Yeah thought about this a lot and it’s probably Gemini’s gusd earn around ~7% 

All reserves are 1:1 usd g… https://t.co/a2LH5B5hTH"
1514267539571806209,2022-04-13 15:41:29+00:00,@Harriso74866502 @imBagsy Around 6.8% now iirc
1514266278592069633,2022-04-13 15:36:29+00:00,Size on a leveraged position really only feels like size when it starts to go down. The whole time pnl is going up… https://t.co/q2oTSuptxl
1514264896774434818,2022-04-13 15:30:59+00:00,@crypto_relief The simple things in life…
1514264552212369412,2022-04-13 15:29:37+00:00,That time of the year where every 6 months I buy a new pair of the same white sneakers and black hat I’ve been wear… https://t.co/PgITesRLAC
1514104864606928899,2022-04-13 04:55:05+00:00,"every day I check ponzi, gud ponzi, ponzi go up https://t.co/Xpci3IQyWq"
1514057857632653314,2022-04-13 01:48:17+00:00,@d7b That’s kind of what im thinking
1514056089901314048,2022-04-13 01:41:16+00:00,@dyzcrypto Dawg I already feel the scratchy throat and starting to sneeze. I think it might be too late
1514055583132897282,2022-04-13 01:39:15+00:00,Is there any way to get sicker quicker? I feel a cold coming on and I have a trip planned for this weekend with fri… https://t.co/ieiczOB53a
1514042070771503113,2022-04-13 00:45:33+00:00,@buyerofblood @itszore @CoinGurruu @LongNeccCapital Noooooo bro 😂😂😂
1514041873056247815,2022-04-13 00:44:46+00:00,Pants to my ankles while using the urinal in a crowded restroom at a sporting event to assert my dominance
1513958773248958468,2022-04-12 19:14:34+00:00,"Its like the entire week, Americans get up in the mornings, see that the market has slightly bounced, then decide t… https://t.co/IfhjMtOmCx"
1513943263052402688,2022-04-12 18:12:56+00:00,@beanz916 @KaminoCrypto even burger+fries+milkshake is $25+ these days bro
1513943155690774535,2022-04-12 18:12:30+00:00,@CryptoParadyme this is @gainzxbt daily budget
1513942346114605056,2022-04-12 18:09:17+00:00,"@KaminoCrypto 1500 is about $200/day for me+ gf. Might be on the low end. breakfast usually $50, lunch around $40,… https://t.co/kVAsEZmkV0"
1513941645422563330,2022-04-12 18:06:30+00:00,Is $1500 weekly food budget too low?
1513933304080199681,2022-04-12 17:33:21+00:00,"Crypto traders, what are we making up for people when they ask us what what we do for work this week?"
1513910284582154241,2022-04-12 16:01:53+00:00,RT @kittyzandpichu: just got killed by this kid on steam mw2 with twitch in his name and this is what i see https://t.co/yjYYOkj0Hy
1513710030503047168,2022-04-12 02:46:09+00:00,where's the pic of the dude getting liq'd outside the club in Miami last year
1513601435321221126,2022-04-11 19:34:38+00:00,@LomahCrypto I hate u
1513601274780033029,2022-04-11 19:33:59+00:00,the music stopped and the lights have turned off https://t.co/JoFHnTREvC
1513600386002731017,2022-04-11 19:30:28+00:00,"Alts look horrendous, jfc"
1513573330904748034,2022-04-11 17:42:57+00:00,"He’s down $300k

someone start buying we need to save him 

Screenshot from @0xVKTR https://t.co/cW3PnxfEOR"
1513357450958688266,2022-04-11 03:25:07+00:00,Bro there’s no way you’re convincing me Scottie Scheffler is 25 and not a 44 year old divorced dad with two kids https://t.co/cy8jIR2Deq
1513347229364355077,2022-04-11 02:44:30+00:00,@IanHaasde Legend
1513345332586991618,2022-04-11 02:36:58+00:00,@CryptoEthan Mental illness like seriously man
1513302712594714632,2022-04-10 23:47:37+00:00,"RT @RNR_0: Wholesome

He woke up with mad gains hahhahaha
He's now long lmao https://t.co/M0sTt7aF4S"
1513287148446928899,2022-04-10 22:45:46+00:00,This dump is actually so nasty lmao
1513287034395365384,2022-04-10 22:45:19+00:00,"Underwater on my long and close to liquidation

Feeling like I should just simply go to sleep here"
1513281596220227591,2022-04-10 22:23:42+00:00,"for those who didn't see, korean youtube livestreamer went like 10x lev on a $4.2 million BTC short, fell asleep an… https://t.co/SjOwhiXtey"
1513280690355384324,2022-04-10 22:20:06+00:00,Today we got out traded by a Korean psychopath in his sleep
1513276012708044804,2022-04-10 22:01:31+00:00,"RT @RNR_0: @depression2019 Typically crypto HAHAHAHAHHA

He's in profit now https://t.co/H6sIcXulec"
1513275983721230336,2022-04-10 22:01:24+00:00,"@RNR_0 Lesson: pnl isn’t real unless you’re awake 

LETS GOOOOO"
1513211695811887107,2022-04-10 17:45:57+00:00,RT @BlurCrypto: this dude really livestreams multi million dollar positions on 40x lev flip flopping long/short just by looking at the 1m c…
1513211592543924231,2022-04-10 17:45:32+00:00,"Guy is literally sleeping while having a 100 btc short open on the 1m chart on bybit 

He’s $500 away from liquidat… https://t.co/Fp2uv2UtOf"
1513211348410253314,2022-04-10 17:44:34+00:00,@BlurCrypto Bro omfg his liq price Hahahahha
1513210896658489346,2022-04-10 17:42:46+00:00,@BlurCrypto Link?
1513206674206564352,2022-04-10 17:25:59+00:00,we about to go full risk-on? https://t.co/7oGwhH1pPl
1513022123358359554,2022-04-10 05:12:39+00:00,If I drilled a hole like a few inches wide just straight down to core of the earth would lava just explode out of it?
1513003430607872012,2022-04-10 03:58:22+00:00,Fight of the year
1513001896163909633,2022-04-10 03:52:16+00:00,Someone get @jakepaul in there
1513001811023564801,2022-04-10 03:51:56+00:00,@greentoepalacio Hands down
1513001791620755458,2022-04-10 03:51:51+00:00,YOOOO #UFC273
1513001786486898691,2022-04-10 03:51:50+00:00,RT @greentoepalacio: Early Fight Of The Year Candidate.
1512873664546451465,2022-04-09 19:22:44+00:00,@ratwell0x @DaRealMilkBagz Oh my god
1512813966740758529,2022-04-09 15:25:31+00:00,@art_never_found 😂😂
1512670680638103555,2022-04-09 05:56:08+00:00,@primalpoly Organized religion
1512495021999767567,2022-04-08 18:18:08+00:00,@FredWick7 no https://t.co/Pz43mZ8f3H
1512492856107319301,2022-04-08 18:09:32+00:00,unbothered. moisturized. happy. in my lane. well-hydrated. focused. flourishing. https://t.co/uQOh9hL19m
