id,created_at,text
1607641621893644288,2022-12-27 07:36:45+00:00,@DanSmithHolla Same can be said after 4 days of a 5day NL tournament tho no?
1607637849746329600,2022-12-27 07:21:46+00:00,"RT @gametheorizing: Back To The Future, IV Crypto Edition. 

Plot:

You travel back in time to 2018 and find Do Kwon sitting in a cafe, sip…"
1607596644618629121,2022-12-27 04:38:02+00:00,@SamGree04035965 https://t.co/u3YgdPCs9W
1607427534505013250,2022-12-26 17:26:03+00:00,@theconnectooor https://t.co/ebEBUCBxlB
1607399760612446208,2022-12-26 15:35:41+00:00,@overlyleveraged @fraxfinance Haha no no want to make clear it is not
1607375275339427840,2022-12-26 13:58:23+00:00,"@0xponzischeme Ty sir - indeed its not all just a troll.

Few.. 🤝"
1607355625234911233,2022-12-26 12:40:18+00:00,"@poordart 4. Ethereum ETH
Price: $7224.80 Market Cap 921.43BN

Merge happened in August 2022. 

Would have flipped… https://t.co/xyUpz4ARbh"
1607342788915658753,2022-12-26 11:49:18+00:00,@UkrainianFarmer @avi_eisen Ez to cash out when youre scamming. Harder to keep it and your freedom after.
1607340810835755010,2022-12-26 11:41:26+00:00,"@UkrainianFarmer @avi_eisen Lol i didnt know thats what he meant by tod bod thanks for explaining it.

Pretty funny… https://t.co/5GcsTjOs1P"
1607334950310936577,2022-12-26 11:18:09+00:00,@ct_xrp https://t.co/HQi84M2jq7
1607325577278537730,2022-12-26 10:40:54+00:00,"Happy Holidays and hang in there frens.

If you enjoyed this thread:

1. Follow me @gametheorizing for more terribl… https://t.co/bv8aEpM9KR"
1607325569816961025,2022-12-26 10:40:53+00:00,"""Mr. Mashinsky has chosen Mia Khalifa to serve as his COO.""

You squirm and shake your head. Somehow by trying to h… https://t.co/n6sbsa7hx6"
1607325567237476355,2022-12-26 10:40:52+00:00,"Taylor Swift's spokesperson Amanda Daniels said:

""Ms. Swift is distraught and has no comment to make at this time""… https://t.co/4Ie6jwvHNf"
1607325560216092672,2022-12-26 10:40:50+00:00,"""It is with great sorrow that we announce the death of our beloved Sam Bankman-Fried. 

Sam died of a heart attack… https://t.co/IyI0cZY0um"
1607325558295203841,2022-12-26 10:40:50+00:00,"You're happy Crypto Winter was averted, but you think to yourself- 

""Ugh I bet that goblin @SBF_FTX is probably th… https://t.co/UCMjFkSCAN"
1607325550703411200,2022-12-26 10:40:48+00:00,"Jay Powell in a desperate bid to stop dollar selling raised rates to 7.75% in an emergency mid June Meeting, but th… https://t.co/9Gr7Oal0Ge"
1607325548556034050,2022-12-26 10:40:48+00:00,"You bring up the Bloomberg @Crypto feed to catch up on how 2022 played out-

Despite the liquidity withdrawal by th… https://t.co/VGDH5xY1r7"
1607325541287206913,2022-12-26 10:40:46+00:00,"You open up @stablekwon profile and read through the last year of tweets.

""Ha. So thats what happened to BTC...""… https://t.co/i0quGj7vkN"
1607325534672883712,2022-12-26 10:40:44+00:00,"You open up Twitter on your phone, and after some updates it pops up:

""Twitter, brought to you by FTX"".

You scrol… https://t.co/TE68NHJEUp"
1607325527131430912,2022-12-26 10:40:42+00:00,"You glance at the top rankings:

** 1. Terra UST        
Price : $1.00            
Market Cap: $3802.24 Billion… https://t.co/zSaQofaahA"
1607325524870701056,2022-12-26 10:40:42+00:00,"Wait... WHAT?!!

You stare in disbelief.  Blood rushes to your head..

""CoinMarketCap, brought to you by FTX""

Wait… https://t.co/wpWiz7T3LN"
1607325518839398400,2022-12-26 10:40:41+00:00,"You hear the toilet flush from behind the door and rush out.

The Delorean is parked right outside, and you program… https://t.co/rTCK8HF6kS"
1607325516737953792,2022-12-26 10:40:40+00:00,"He gets up to go to the restroom. This is your chance!

You pull out the Frax whitepaper version you brought with y… https://t.co/FqTETzXcQp"
1607325514523463680,2022-12-26 10:40:39+00:00,"He's half way through, and you take a glance at his notepad.

""Names: Terra Luna? Or Basis Cash? Damn USDT symbol a… https://t.co/lHSGy9dpjK"
1607325507447578624,2022-12-26 10:40:38+00:00,"Back To The Future, IV Crypto Edition. 

Plot:

You travel back in time to 2018 and find Do Kwon sitting in a cafe,… https://t.co/pPI4vKUCT7"
1607270430196518915,2022-12-26 07:01:46+00:00,"@btcfeen Well that is default whats going to happen and implied- 

but still good to know what a contingency plan i… https://t.co/xKyIYsEagy"
1607241436214493185,2022-12-26 05:06:34+00:00,@primalpoly Amazing! Totally can see Dianas big eyes at play there..
1607064893060190208,2022-12-25 17:25:02+00:00,"@Dominic_1559 2nd option creates base layer check-in fees like eth charges the L2s on top of it, as security cost… https://t.co/sOsK4JGco8"
1607064536867311616,2022-12-25 17:23:38+00:00,@YololoETH Needs a good amount of margin but was able to do it in a way that traded back and forth often instead of… https://t.co/H3yY8zSjAY
1607053372867383298,2022-12-25 16:39:16+00:00,@BholaXto Its much easier when you know there is a government/central bank that will eventually have to backstop it… https://t.co/VjmtJghPim
1607033801502511104,2022-12-25 15:21:30+00:00,@NorthRockLP Yep theres a few more then like becoming an eth l2 etc
1607032610055913472,2022-12-25 15:16:46+00:00,"@udiWertheimer 1. Philosophy/first principles to collectively figure out why/where we are going

2. Viral content f… https://t.co/F3WEzxW2DN"
1606990708090765313,2022-12-25 12:30:15+00:00,"All I want for Christmas..

is for Bitcoin to have a long term security plan so we can restart the upward flywheel!… https://t.co/jZLXjy7HsU"
1606914098603917312,2022-12-25 07:25:50+00:00,@thiccythot_ @alexwlezien @0x94305 @keoneHD @odtorson @guil_lambert @0xfbifemboy @0xdoug @0xShitTrader @jarxiao… https://t.co/v5sH5ZAlCJ
1606901338918748164,2022-12-25 06:35:08+00:00,"@Xentagz @coryklippsten You dont want me to tell you what comes at 100,000 hours.."
1606774988169957377,2022-12-24 22:13:04+00:00,"@0xPepoG Have smth coming out on exactly this next week :)

Merry Xmas!"
1606718991866953728,2022-12-24 18:30:33+00:00,"13/
I thought 2020 would be a life-defining year for me- and in some ways it was!

But Crypto 2022 has ended up bei… https://t.co/Pf9B42wwhz"
1606718990034010113,2022-12-24 18:30:33+00:00,"12/
What was a catastrophic start turned into a record profitable month, and eventually year. 

Even more important… https://t.co/U7tCdbZb4L"
1606718988163350529,2022-12-24 18:30:32+00:00,"11/
Even after the peak of those days, the strategy continued to perform extremely well as other MMs were super slo… https://t.co/rVXFuJk4Q7"
1606718986254966784,2022-12-24 18:30:32+00:00,"10/
I refined my new strategy more, and the juicy fills kept rolling in. I was shocked by the results- 

Every sing… https://t.co/CR7tv6kGJE"
1606718984405274624,2022-12-24 18:30:31+00:00,"9/
In this case, that something  demanded was liquidity. All the giants had switched off the machines- noone was wi… https://t.co/uABVqUse6V"
1606718982580744193,2022-12-24 18:30:31+00:00,"8/
After observing the huge inefficiency with which the market was trading there, I quickly came up with an idea fo… https://t.co/Lv3NfHfR7q"
1606718980731076608,2022-12-24 18:30:31+00:00,"7/
A turnaround from huge daily losses to profitability was needed, and fast! 💸

Instinctually, I stumbled across a… https://t.co/SGeeuhosmM"
1606718978386464768,2022-12-24 18:30:30+00:00,"6/
Energy spreads for the same gas/fuel products, which normally trade with little basis, also went haywire as tran… https://t.co/yP5aL4oJ3N"
1606718976469659648,2022-12-24 18:30:30+00:00,"4/
At the same time, the intense stress and lack of sleep had damaged my immune system- and I promptly caught covid… https://t.co/xH761CPfM7"
1606718974611591168,2022-12-24 18:30:29+00:00,"3/
Wasnt feeling too peachy myself either.

A 5-7-10year butterfly 🦋 I had on- normally the safest type of delta to… https://t.co/UiGZooA7CT"
1606718972757671941,2022-12-24 18:30:29+00:00,"2/
Spreads were normally safely to leverage on, where getting margin-called aggressively..

Leading to the kind of… https://t.co/LU4LK1edWw"
1606718966281678849,2022-12-24 18:30:27+00:00,"1/
Xmas eve story time!

Twas the nadir of the apocalyptic March 2020 markets ☄️.

The lack of market liquidity, an… https://t.co/eiJrkF730P"
1606545065551462400,2022-12-24 06:59:26+00:00,@karl_0x @swaggyAlexyo Guess we are not one of The Best. Haha jk we werent very active in VC back then
