id,created_at,text
1554455245010440197,2022-08-02 13:13:05+00:00,"@HerbertWFranke thank you for your pioneering work, Herbert

your legacy will become bigger than perhaps you might… https://t.co/BbNVLzXtL6"
1554454350465990657,2022-08-02 13:09:32+00:00,"gonna be talking through a variety of topis today with the NFT Morning Alpha crew this morning

drop by to listen i… https://t.co/46BtNAEd0J"
1554451986883530755,2022-08-02 13:00:08+00:00,"the man was a mathematical art pioneer

after a lifetime of creation, he released his first NFTs mere months ago to… https://t.co/tdFgpy4uLN"
1554433210573942784,2022-08-02 11:45:32+00:00,"@SG__LA utility often means dependence, on an app or a team"
1554418564156850176,2022-08-02 10:47:20+00:00,"i am reminded of elementary school when someone broke the glass on a vending machine

i could have gotten all of th… https://t.co/hO5u7gyTUv"
1554417333237698560,2022-08-02 10:42:26+00:00,"@grrreekdonkey i didn’t have Punks for years

i bought Punks when they weren’t a flex

so perhaps you’re projecting… https://t.co/MG6SRCbpz8"
1554416916734820355,2022-08-02 10:40:47+00:00,"by extension, i’ve observed people value authenticity

are you here to engage with others, using this as a modern d… https://t.co/YPVQ997pJ2"
1554416134228787206,2022-08-02 10:37:40+00:00,"people ask me how i “grew my brand”

i guess by not trying to be a brand, shitposting relentlessly for my own amuse… https://t.co/HwaDb0b33x"
1554412988765212672,2022-08-02 10:25:10+00:00,"@JoshBobrowsky yah, and $50K ain’t peanuts for jewelry either"
1554411996120076288,2022-08-02 10:21:14+00:00,@art_pleb yep…
1554410767025332226,2022-08-02 10:16:21+00:00,"for the record, i think Tiffany Punk thing is just fine

if i cared about jewelry, maybe i’d get one,

though I thi… https://t.co/atnB3CsYCe"
1554409802188705792,2022-08-02 10:12:31+00:00,"@DracheTech11 @0xDecaArt Deca is the gallery platform

the Decagon is the community membership NFT"
1554408866649186304,2022-08-02 10:08:47+00:00,"and yes, this applies to stablecoins too"
1554408765168009217,2022-08-02 10:08:23+00:00,"@thebuildooor all stables are contracts, either custodial, algorithmic, or algo-collateralized"
1554407964353695744,2022-08-02 10:05:12+00:00,pro-tip: don’t lock a material amount of your savings which you could not afford to lose into *any* single contract… https://t.co/MOfaiPMckI
1554405070325927938,2022-08-02 09:53:42+00:00,"some say NFTs will never be useful as collateral/SoV

meanwhile, all i can see is the properties of art-focused, no… https://t.co/7QZcLoyIym"
1554403900987432960,2022-08-02 09:49:04+00:00,@safetyth1rd https://t.co/SDEtfAfq29
1554403473235517440,2022-08-02 09:47:22+00:00,@MEyes0184 @ercwl “no painting will ever become the most important thing ever”
1554403018333904896,2022-08-02 09:45:33+00:00,"@arjunbhuptani yes, i do

the entire stack needs to be battle-tested and proven, teams need to take audit findings… https://t.co/Hu0lX4e5qu"
1554308295271268354,2022-08-02 03:29:09+00:00,"@ercwl you are on the right track

ETH and perhaps some NFTs will become the most important collateral and store of… https://t.co/cUJS9BAR72"
1554307728343973888,2022-08-02 03:26:54+00:00,"@Foobazzler damn, bringing it back

it was a great idea playing genesis games on the go, with a terrible form facto… https://t.co/K0tkRRv6Ij"
1554307422172348417,2022-08-02 03:25:41+00:00,"but for real, i'm sorry for those who have funds who were affected by this

my PoV remains that any cross-chain act… https://t.co/6j4heTXxQf"
1554306593398919168,2022-08-02 03:22:24+00:00,@pridesai let's feign greatness
1554303313809661952,2022-08-02 03:09:22+00:00,from nomad to hobo
1554249355862884357,2022-08-01 23:34:57+00:00,"truly honored to be the collector and custodian of the Fire Castle 🔥🏰

congrats @annespalter!… https://t.co/ULZS0Purqr"
1554248835567853570,2022-08-01 23:32:53+00:00,"@annespalter this looks incredible

proud to be the collector to give 🔥🏰 a home"
