id,created_at,text
1583879013004558337,2022-10-22 17:52:38+00:00,"In 2025 half of crypto twitter OG's will have a DM from Netflix.

Made this tweet so I can retweet it later."
1583660957464612869,2022-10-22 03:26:09+00:00,"I'm working on something very special.

It will probably mark a before and after, and I think you will love it.

Typing..."
1583493012813815808,2022-10-21 16:18:48+00:00,"Simple reasoning here.

Weakness below grey box = Just observe.
Above grey box = Play SPOT, only.

#Bitcoin https://t.co/RbPun9iDcw"
1583458005261041664,2022-10-21 13:59:42+00:00,"@CryptoGodJohn I know, what Im trying to say is that 50% drop was caused for X reason (0% fees, FUD). Fp is bouncin… https://t.co/t47SlfxZP1"
1583433903301279744,2022-10-21 12:23:55+00:00,@CryptoGodJohn Degods still 280fp
1583183732994756608,2022-10-20 19:49:50+00:00,"@Pentosh1 @frankdegods contento, amigos."
1583083873550106624,2022-10-20 13:13:02+00:00,"Honestly, seeing all the crap on other exchanges I'm grateful to work with bybit.

No overloads, no downtimes and i… https://t.co/by00gw8Lfl"
1583070631825879041,2022-10-20 12:20:25+00:00,"@Vhmq_ @Irenezhao_ @rurusama9 @socol_io I'll resume, doesn't matter if its web3 or web81, It will drop more."
1582765684400218113,2022-10-19 16:08:40+00:00,"@0xVKTR Hit me DM, let's talk about bybit. https://t.co/QNYNbtf1c2"
1582755717030649857,2022-10-19 15:29:03+00:00,"30 days in a 7% range, bear market things.

It's boring as hell but, I'm enjoying a lot the ""break"" from trading to… https://t.co/8uD2Bm73c7"
1582564940946165761,2022-10-19 02:50:59+00:00,"Sorry guys, 1 more year to go."
1582564131374530562,2022-10-19 02:47:46+00:00,@CryptoParadyme @RookieXBT https://t.co/IK3R3EYKtA
1582563758261817345,2022-10-19 02:46:17+00:00,@RookieXBT https://t.co/QHih5hx5Jg
1582563236045389824,2022-10-19 02:44:12+00:00,@mgtowfrank wtf im still dreaming
1582562757827735553,2022-10-19 02:42:18+00:00,@Sarah_Katilyn @jarzt https://t.co/CWaNyRgwNw
1582523063908040704,2022-10-19 00:04:34+00:00,"If you have found something you are passionate about, you are very lucky.

Many people never find it and live in a… https://t.co/Jwcl7ll0Gl"
1582488372173758464,2022-10-18 21:46:43+00:00,"@y00tsNFT Fucking
Love
It."
1582440629384015873,2022-10-18 18:37:01+00:00,@hentaiavenger66 @Muncheds2 Not the only thing you can get in bali for $8 🥸
1582371980241555456,2022-10-18 14:04:13+00:00,@RadixMonk_XRD @NFTLabz_ @radixdlt ❤️🫡
1582365710990573569,2022-10-18 13:39:19+00:00,"After like 340 days of bear market here are some interesting data about $XRD network.

- Active wallets: +700%, fro… https://t.co/jjdKIZyqmD"
1582360653645242368,2022-10-18 13:19:13+00:00,@ceciarmy @Pentosh1 you are so brave my friend
1582341496933863424,2022-10-18 12:03:06+00:00,@TheTradingTank 🫡
1582336959963201536,2022-10-18 11:45:04+00:00,@frankdegods @CryptoAnglio @DeGodsNFT https://t.co/JvBHpTxysT
1582177509789298688,2022-10-18 01:11:28+00:00,"@nickxnorth Thanks you so much for the kind words, much love man ❤️"
1582175804125241344,2022-10-18 01:04:41+00:00,@0xVKTR https://t.co/ybaPAyzmhx
1582166048090259456,2022-10-18 00:25:55+00:00,"Killed bad habits and grinding x10 harder since then.

Thanks for the fuel. https://t.co/hWj3LPGKAX https://t.co/n4XO7HO85a"
1582110452011896833,2022-10-17 20:45:00+00:00,"If I go to zero today, tomorrow I would show up again.

It's in my nature, do it or die trying."
1582036371186757637,2022-10-17 15:50:38+00:00,"Hmmm..

#Bitcoin https://t.co/5c9i1XDbAX"
1582022065821200384,2022-10-17 14:53:47+00:00,"@RookieXBT I mean, if we all buy at the same time it will go up, are mathematics.

Welcome back ma brotha! ❤️"
1581741591659962368,2022-10-16 20:19:17+00:00,@PaikCapital Learning to code
