id,created_at,text
1554438501437177856,2022-08-02 12:06:33+00:00,"@matt_chain Wag the dog

Provoke a China response to deflect attention from failing economy and hopefully lessen th… https://t.co/XEUB01kNZU"
1554333556557873152,2022-08-02 05:09:32+00:00,@Mister_Ch0c I just don’t see a world where ETH doesn’t at least go to $2500 by the Merge with the S&amp;P over 4100 an… https://t.co/7gvkc7roDK
1554269548916142086,2022-08-02 00:55:12+00:00,"lmao the bold response is generic “military drills”

S&amp;P will go back to pumping now

Let’s just moon it already -… https://t.co/Ob2qPJc7qL"
1554259688950484992,2022-08-02 00:16:01+00:00,https://t.co/RV7z10khYc
1554259568355868672,2022-08-02 00:15:32+00:00,"We have entered a new UP ONLY paradigm for Ethereum

Hacks are extremely BULLISH

Good news is GOOD

Bad news is GR… https://t.co/TCMqw97rfe"
1554256423248621568,2022-08-02 00:03:02+00:00,@0xMojojo smdh at these jokers
1554253280435666944,2022-08-01 23:50:33+00:00,"Breaking News Bulletin: Frax abandoning all non-ETH bridges

@samkazemian standing in solidarity with freedom and s… https://t.co/4B9HJLAoMJ"
1554252508738260992,2022-08-01 23:47:29+00:00,@Kingkongkane1 https://t.co/nXLkOsvLOC
1554252237874266112,2022-08-01 23:46:24+00:00,"I love that first RT came from a goblin, @0xMojojo 

Lesson there innit

Freedom, creativity, mental illness, produ… https://t.co/N51qaiT7Pr"
1554251389073002498,2022-08-01 23:43:02+00:00,"To all those in the crypto community wary of dunking on the competition:

If you ever want to take a giant shit on… https://t.co/egEJLiXnwd"
1554250410105655296,2022-08-01 23:39:09+00:00,.@usdcbull1 down HORRENDOUS https://t.co/U98VjgNB0E https://t.co/gmk1mApl7Y
1554248709831262208,2022-08-01 23:32:23+00:00,@Algodrhythm @Warlord_Energy SOON™️
1554248306834182145,2022-08-01 23:30:47+00:00,"@Warlord_Energy When even Imp is bullish, it’s time to max long 😂😂😂"
1554246424862539776,2022-08-01 23:23:18+00:00,But but muh multichain future!! https://t.co/iY8EPkMp2W https://t.co/3wL7ALSmpf
1554242891824123905,2022-08-01 23:09:16+00:00,@solsww Make a ton of dYdX / SNX / GMX wallets 🤫
1554242527548813313,2022-08-01 23:07:49+00:00,@solsww Maybe too obvious tho
1554241924651184128,2022-08-01 23:05:25+00:00,"How to profit from a hack without off-ramping:

1️⃣Do a hack for a bunch of stables and bitcorn

2️⃣Use your actual… https://t.co/BkDEpcWAp3"
1554240572776644610,2022-08-01 23:00:03+00:00,"9-figure ETH market buys incoming

BOOLISH https://t.co/czJrBgfi9T"
1554076324792512513,2022-08-01 12:07:23+00:00,@andrewsun_83 Def feel like S&amp;P strength may drag up crypto this week even if we might have otherwise have had a minor dip
1554068063011885057,2022-08-01 11:34:34+00:00,"Any expert traders that can comment?

If there’s a ton of short futures and backwardation due to ppl hedging to rec… https://t.co/VUI8Ud3Bd0"
1554067506972995584,2022-08-01 11:32:21+00:00,@Galois_Capital lmao option 3 😂😂
1553969152725229570,2022-08-01 05:01:32+00:00,@NickDrakon @pythianism Temporary dip but probably still recovers after a day or two since no FOMC meeting until Sept anyway
1553958073668358145,2022-08-01 04:17:30+00:00,@VivekVentures @Galois_Capital Exactly
1553956328439443461,2022-08-01 04:10:34+00:00,"@VivekVentures @Galois_Capital Basically, in 2017 there was concern that ppl wouldn’t know if BTC or a fork had mor… https://t.co/wtyFUI5GBr"
1553955896178675713,2022-08-01 04:08:51+00:00,@VivekVentures @Galois_Capital I think what ppl are getting confused about is that altho there will factually be a… https://t.co/fwviwYFHFO
1553943796601491458,2022-08-01 03:20:46+00:00,@adamscochran Goalpostssssss
1553943657782611969,2022-08-01 03:20:13+00:00,@adamscochran Goalposts but whatever
1553943323177791488,2022-08-01 03:18:53+00:00,@adamscochran This is the same logical problem with Pulsechain - you cannot copy-paste ETH precisely because of DeF… https://t.co/hSdB0c7MjI
1553943039005315073,2022-08-01 03:17:46+00:00,@adamscochran Using ETC as your analogy demonstrates that you don’t understand this point - it is a completely diff… https://t.co/QVA0XOCuXq
1553942678953672704,2022-08-01 03:16:20+00:00,"@adamscochran This is precisely my point

Historical forks like ETC or BCH are fundamentally different from forking… https://t.co/KASi4oKI5K"
1553939958330978305,2022-08-01 03:05:31+00:00,"@adamscochran You called it a “long tail risk,” demonstrating a lack of understanding about what gives a blockchain… https://t.co/Ejf5OEqD6l"
