id,created_at,text
1554950292709548032,2022-08-03 22:00:14+00:00,"Our approach to acquisitions is simple — if it's good for our mission of accelerating crypto, it's good for us. 

K… https://t.co/yEHeZeuDS6"
1554930207102046213,2022-08-03 20:40:25+00:00,"How do you keep a 🐴 in the race during a 🐻 market?

Build your product to be the 🐐, says Kraken CMO @mayurgupta77 o… https://t.co/OUoxKbFG3o"
1554844641291280385,2022-08-03 15:00:24+00:00,"📣 New futures contracts live on Kraken Futures:

✅ $AXS @AxieInfinity
✅ $ETC @eth_classic
✅ $GALA @GoGalaGames

Get… https://t.co/1QxYOK3dY1"
1554240672269586432,2022-08-01 23:00:27+00:00,"Kraken CEO @jespow is a self-proclaimed NFT hoarder. 

How does he handle offers from prospective buyers? 🎥👇… https://t.co/st8qe8o4mY"
1554191497813188609,2022-08-01 19:45:03+00:00,"What are CryptoPunks 👨‍🎤?

👾 Pixelated aliens, apes &amp; degens

🧑‍🎨 Loved by art critics &amp; cypherpunks

💡 Inspired th… https://t.co/M5Gi0EWZYr"
1554044305291071488,2022-08-01 10:00:09+00:00,"📣 New Kraken Futures contracts coming this week:

$AXS @AxieInfinity
$ETC @eth_classic
$GALA @GoGalaGames

Transfer… https://t.co/SNdatYY9qT"
1553787613328412675,2022-07-31 17:00:09+00:00,"🎂 On our 11th birthday, the greatest gift is the people who have stuck with us through thick and thin. 
 
🙏 To our… https://t.co/JiVbdTDi4P"
1553395120980082689,2022-07-30 15:00:32+00:00,"🚀 The internet + Information + Financial services.
 
☝️ This is core to our mission, which we continue to uphold as… https://t.co/vVmlw4xDb6"
1553364855511457794,2022-07-30 13:00:16+00:00,"🥳 On this day in 2015, Ethereum mined its first block &amp; $ETH was born.

🟪 Today we celebrate ETH’s 7th birthday &amp; g… https://t.co/HH2KDsuLGN"
1553098811479916547,2022-07-29 19:23:06+00:00,"NFT project spotlight: 
Mutant Ape Yacht Club 🧪 

Something's in the water @BoredApeYC 🐵:

⚗️ Created from a specia… https://t.co/S8iiaNfRNj"
1553017655413641218,2022-07-29 14:00:37+00:00,"🎂 On Kraken's 11th anniversary, CEO @jespow relates how his early foray into virtual goods has come full circle wit… https://t.co/wZO4APcTUn"
1552779243674902528,2022-07-28 22:13:15+00:00,"It's been a wild 11 years for us in crypto, and we've still got a long way to go 💪 

On our 11th anniversary, Krake… https://t.co/bWmVbkEMal"
1552734544473858048,2022-07-28 19:15:38+00:00,"🎉 We're 11! 🥳
 
Today, we're as laser-focused as ever on our mission to accelerate crypto adoption across the globe… https://t.co/tam3Ruo958"
1552727345399795713,2022-07-28 18:47:02+00:00,"✨ History in the minting. With zero on-platform gas fees, native rarity scores and Creator Earnings features, Krake… https://t.co/UPKpda7Os0"
1552686074341851136,2022-07-28 16:03:02+00:00,"Trading now LIVE on Kraken for 1 new token!✨

✅ $CSM @CrustNetwork 

* Trading is not available in US, CA, JP

Lear… https://t.co/jI4KsMdO9V"
1552683819957886976,2022-07-28 15:54:04+00:00,"📊 Market cap is a metric used to measure the size of an asset, company or cryptocurrency relative to the market as… https://t.co/W5SWtuRPPS"
1552670118433488896,2022-07-28 14:59:38+00:00,"Trading is now live on Kraken for 1 new token! ✨

✅ $ARPA @arpaofficial 

* Trading is not available in Japan

Lear… https://t.co/2RpxJaeRN8"
1552379804397232131,2022-07-27 19:46:01+00:00,"What are 👾 @MeebitsDAO 🧍? 

3D voxel characters ready for the metaverse &amp; beyond:

🚀 Countless number of unique tra… https://t.co/lJCzVcoMxv"
1552376079649751042,2022-07-27 19:31:13+00:00,"If your email isn't secured, attackers could gain access to your accounts:

👤 Social media
🏦 Financial services
📊 E… https://t.co/tAIXALZ9G2"
1552342532293627904,2022-07-27 17:17:55+00:00,"NEW token listed on Kraken ✨ 

✅ $CSM @CrustNetwork 

Deposits begin NOW and trading will follow shortly ✨

Learn m… https://t.co/CxrzWezmLp"
1552319668504993792,2022-07-27 15:47:04+00:00,"2 NEW tokens on Kraken today 🔥
 
✅ $ARPA @arpaofficial 
✅ $JUNO @JunoNetwork 

Deposits begin NOW &amp; trading is live… https://t.co/MkwnGQgvN9"
1552307920880148488,2022-07-27 15:00:23+00:00,"New collateral live:

✅ $SOL @solana

Use SOL to get exposure to over 30 futures contracts now!

Get started today… https://t.co/5lVz3POGbR"
1551969355453419521,2022-07-26 16:35:03+00:00,"Are you an advanced crypto trader? 

Get the Kraken Pro mobile app for:

📈  Professional trading experience designe… https://t.co/FbTZAYit26"
1551659080783110144,2022-07-25 20:02:07+00:00,"How can the Bitcoin Lightning Network drive more financial inclusion worldwide? 🤔

The latest episode of The Crypto… https://t.co/6qBTtWUwN1"
1551654783475486720,2022-07-25 19:45:03+00:00,"What is 🌎 @worldofwomennft 💃 ?

NFTs as diverse as the women they empower:

🎭 Unique facial expressions, clothing &amp;… https://t.co/gO4xFwwH8b"
