id,created_at,text
1516359478907711488,2022-04-19 10:14:07+00:00,@Dion12509969 great fill in the form
1516358153935409158,2022-04-19 10:08:51+00:00,watch this video - it is awesome imho https://t.co/D2dnWqcKJL
1516358054182273030,2022-04-19 10:08:27+00:00,join om for free https://t.co/Pux76Al1i4
1516357953787514886,2022-04-19 10:08:03+00:00,"RT @punk6529: 1/ Introducing OM

Buckle up, this is going to be long, but fun.   

If you are new to long tweetstorms, you have to click “s…"
1516357911840272388,2022-04-19 10:07:53+00:00,gm https://t.co/ULn1PZv0fB
1516216442961768452,2022-04-19 00:45:44+00:00,RT @samhorine: @punk6529 For everyone wondering what 6529 means by structure it’s simply have a better plan than “I’m gonna just mint my IG…
1516216298316996620,2022-04-19 00:45:10+00:00,@iamDCinvestor wtf devs need to do something
1516211863880704022,2022-04-19 00:27:32+00:00,"In the metaverse, this mosquito will stop biting me"
1516206114463010822,2022-04-19 00:04:42+00:00,@AndrewMease no that is not what i am saying
1516204863406940162,2022-04-18 23:59:43+00:00,@Gkaros27 @batsoupyum @Asianriceeeee @CryptoDickbutts no
1516203308804890635,2022-04-18 23:53:33+00:00,"RT @JasonYoong: ♥️💙💛💚seeing @CryptoArte by Seb and Chromie Squiggle by @ArtOnBlockchain in @punk6529 Museum District

Colorful vibes 🎨 http…"
1516202431037820928,2022-04-18 23:50:03+00:00,"The moment we have all feared has come.

Has the EU banned BTC?  Do we all have to use JPMORGANCOIN?

Nope,… https://t.co/0cUnPfb8xh"
1516195719916539908,2022-04-18 23:23:23+00:00,"@theprogrammerr if you want a space (gallery), sure, yes."
1516195547094335498,2022-04-18 23:22:42+00:00,@CryptoFungii the exact opposite ser
1516195494996979712,2022-04-18 23:22:30+00:00,"RT @FatherNifty: @punk6529 The open decentralized metaverse can only exist as an emergent, evolutionary urban layout. This is the most web3…"
1516195435249025028,2022-04-18 23:22:15+00:00,"@batsoupyum i mean if people feel better about spending money, they can fill out the form for free and send some eth to 6529.eth :)"
1516195142843129858,2022-04-18 23:21:06+00:00,"@CryptoFungii fill out form, ask for a space"
1516195029605363716,2022-04-18 23:20:39+00:00,"51/ On OM Generation 1

https://t.co/Pux76Al1i4"
1516193812506419207,2022-04-18 23:15:49+00:00,@0xfoobar @iamDCinvestor delegated rights
1516193684244545545,2022-04-18 23:15:18+00:00,"12/ Should you join the discord and contribute ideas?

Sure, if you like

https://t.co/o7jKO9Oegl

See you in OM"
1516193682462027792,2022-04-18 23:15:18+00:00,"11/ Can you bring an existing oncyber space (gallery) to OM? yes

Will OM provide some new space types? yes

If you… https://t.co/tjZU1KmxNk"
1516193680503320580,2022-04-18 23:15:17+00:00,"10/ Should you do it?  Well, it is free.  What do you have to lose?  

Will the spaces go on-chain?  

Yes, of cour… https://t.co/mupXbC18LE"
1516193678758498308,2022-04-18 23:15:17+00:00,"9/ Will the alpha period be open forever?

No.

One day I will look at the to-do list and say ""got, we have enough… https://t.co/Q3NzE1RXhX"
1516193676996788231,2022-04-18 23:15:16+00:00,"8/ Will you automatically get what you ask for in that form?

LOL - no.   Some people are asking for unreasonable t… https://t.co/9bLUHYC8jY"
1516193675168174082,2022-04-18 23:15:16+00:00,"7/ #5 - An experimental district - you are an artist, you have a creative idea, you are a collective of sculptors,… https://t.co/8FgciyBI19"
1516193673293312009,2022-04-18 23:15:15+00:00,"6/ #4 - A big district, something the size of the 6529 Museum District.

This is only for the largest organizations… https://t.co/GRI9RuM9bK"
1516193671363940356,2022-04-18 23:15:15+00:00,"5/ #3 - A small district, with room for multiple buildings.

This is the appropriate size for a PFP project.

Proje… https://t.co/cWpWBkH0IT"
1516193669455433730,2022-04-18 23:15:14+00:00,"4/ #2 - A building that can hold 5, 10, 100 spaces.

You have to be a pretty large organization to need this.   

A… https://t.co/ahAoYTStY7"
