id,created_at,text
1510606913985204224,2022-04-03 13:15:28+00:00,@JeffBaiocco Yes Jeff. It’s sarcasm.
1510605550760964104,2022-04-03 13:10:03+00:00,Phone just informed me that my screen time was up 27% this week which I’m sure has absolutely nothing to do with crypto going up.
1510593625041907713,2022-04-03 12:22:40+00:00,Careful out there. https://t.co/YbzrctWko2
1510576251421048833,2022-04-03 11:13:38+00:00,@harborcoat13 I read words sometimes so I’m basically a Twitter pro
1510574922434854913,2022-04-03 11:08:21+00:00,Twitter threads are basically cheating.
1510574808299417609,2022-04-03 11:07:54+00:00,@harborcoat13 Why thanks
1510567018445131777,2022-04-03 10:36:56+00:00,@ContempLedger You said the triangle was bearish. That's the only thing I am responding to. It can't be bearish whe… https://t.co/h5m5Osewzn
1510566925352460297,2022-04-03 10:36:34+00:00,"Evergrande. War. Fed Tightening. Regulation. Legislation. Covid.

All narratives (some valid) that we heard about c… https://t.co/bIERt4xGl7"
1510566130380853255,2022-04-03 10:33:25+00:00,"@ContempLedger None of this has anything to do with the symmetrical triangle. It broke up, the pattern is done and… https://t.co/A9kFYhp70R"
1510564007920476171,2022-04-03 10:24:59+00:00,"@ContempLedger It broke up, how can it possibly bearish when it's already finished?"
1510563447867596801,2022-04-03 10:22:45+00:00,"$DOT

May finally be flipping the key resistance at $22.66 to support. Need to see a candle close above for confirm… https://t.co/zigA223ZHR"
1510560312587689986,2022-04-03 10:10:18+00:00,"$ETH

First target after the symmetrical triangle breakout hit at $3420. 

Looks like that is being flipped to supp… https://t.co/RWNGPdEfh5"
1510406520550395904,2022-04-02 23:59:11+00:00,"Just made my first deposit here, on the mad scramble to free up more stables. 

I am a founding member of this DAO,… https://t.co/gXI3ygqcF7"
1510359011010486279,2022-04-02 20:50:23+00:00,@Celinchain I’m 15 months into waiting
1510358125911715840,2022-04-02 20:46:52+00:00,Trading altcoins with leverage  https://t.co/Qq72J50nqt
1510354229331906565,2022-04-02 20:31:23+00:00,Twitter has its moments. https://t.co/10sF4nqCf8
1510351630012723204,2022-04-02 20:21:04+00:00,@NorthmanTrader @TwitterSupport Platform is unusable
1510351129351233537,2022-04-02 20:19:04+00:00,@crypto_birb Damn he’s got a fire moonwalk
1510350123699785733,2022-04-02 20:15:05+00:00,@crypto_birb Please make intro
1510350039452991490,2022-04-02 20:14:45+00:00,BREAKING: IMPORTANT THINGS AND STUFF
1510349465932206085,2022-04-02 20:12:28+00:00,@crypto_birb Need 4th booster now sir
1510343282580205569,2022-04-02 19:47:54+00:00,"""The Day The Tweeting Died - How Bots With The Moon Carl's Avatar Made Everyone Quit Twitter""

 - A novel by Scott Melker"
1510342595439906816,2022-04-02 19:45:10+00:00,@devchart Watch what happens when I comment.
1510341759758393363,2022-04-02 19:41:50+00:00,"$FTT

Hard not to love the potential of this setup. Ascending triangle, retest... https://t.co/IWbUAgQXZK"
1510309296231358464,2022-04-02 17:32:51+00:00,@alistair_parker F’in tom
1510273847743942657,2022-04-02 15:11:59+00:00,@CanteringClark Better to go private or just turn off replies? Contemplating same.
1510264831357632518,2022-04-02 14:36:09+00:00,"$GLMR

Moonbeam, appropriately named. https://t.co/nMUNJS7LHk"
1510217471877333000,2022-04-02 11:27:58+00:00,It’s refresh your portfolio every 5 minutes season.
1510217267446956040,2022-04-02 11:27:09+00:00,"@devchart @pierre_crypt0 Yeah, strong move."
1510216904195125252,2022-04-02 11:25:43+00:00,@devchart @pierre_crypt0 Anyone know what actually happened to him?
1510213512060100613,2022-04-02 11:12:14+00:00,"You will sell ""too early"" and you will buy ""too late,"" but it won't matter as long as you make money."
1510213051290730499,2022-04-02 11:10:24+00:00,"RT @cryptomanran: This stream was pure gold!

Thank you @scottmelker @invest_answers @czdaomaker 

https://t.co/NR932ly6qB"
1510210210379489282,2022-04-02 10:59:07+00:00,Seems like people were only concerned with the macro environment on the way down and have seemingly forgotten about… https://t.co/6S9trRbauP
1510207891629879297,2022-04-02 10:49:54+00:00,"$LTC

The last trade was ~$130 to ~$300.

Not greedy this time, looking for ~$124 to ~$166.

Then maybe higher if t… https://t.co/7EpyIcPxPo"
1510206173705871364,2022-04-02 10:43:04+00:00,This is the $BTC scenario that every altcoin holder wants. https://t.co/LFO7Pmv5kO
1510204946301476873,2022-04-02 10:38:12+00:00,"Feels like you can write the name of coins on post it notes, pin them to a dart board, blindfold yourself, throw a… https://t.co/igocbwFD94"
1510204706718638091,2022-04-02 10:37:14+00:00,"$MANA

Things are looking up in the metaverse. https://t.co/DO9C4rpUAZ"
1510204048967966720,2022-04-02 10:34:38+00:00,"Bitcoin Dominance is going cliff diving.

Enjoy this alt season while it lasts. https://t.co/RBX34C0xQQ https://t.co/EyWzZQUh59"
1510202680479784960,2022-04-02 10:29:11+00:00,RT @MitchellJermyn: @scottmelker Can confirm. Great newsletter. Better than most paid newsletters.
1510201269528543232,2022-04-02 10:23:35+00:00,"$LUNA

What has two thumbs and regrets owning no LUNA?

This guy.

Back in price discovery. https://t.co/gNyuUBIZL2"
1510201022890840065,2022-04-02 10:22:36+00:00,@CryptoNostra Thanks man
1510199358595256321,2022-04-02 10:15:59+00:00,I write a FREE newsletter every weekday. This is the single thing that takes up the most of my time and that I am t… https://t.co/DUJmHVot84
1510198605163991041,2022-04-02 10:13:00+00:00,"$ATLAS

Long term investment for me, have ridden this all of the way down. Not worried at all.

Consolidating in a… https://t.co/sjiEgleqAs"
1510197906082603009,2022-04-02 10:10:13+00:00,"$MATIC

Attempting once again to break through the $1.69 resistance and the 200 MA overhead. Can't really buy here… https://t.co/Hc86WkuLvb"
1510196975471411200,2022-04-02 10:06:31+00:00,"$AVAX

Clearing the first resistance and target at $97.26. A successful flip should have this flying through clear… https://t.co/TNmA5E5IgU"
1510196418333614081,2022-04-02 10:04:18+00:00,"$ETH

Beautiful bounce and reaction off of support and the weekly 50 MA on the $BTC pair. 

This was our ""alt seaso… https://t.co/D7XGgQ6SzJ"
1510195096079241220,2022-04-02 09:59:03+00:00,"$FTM

Beautiful breakout, alts continue to look strong.

This was an opportunity to buy an overreaction to FUD.

Or… https://t.co/gG0MEFCv4P"
1510194698643775497,2022-04-02 09:57:28+00:00,"$AXS

Broke out harder and faster than expected (that's what she said). 

Here is the chart with the bull flag targ… https://t.co/Te8mSBvbqm"
1510188166434729987,2022-04-02 09:31:31+00:00,Sounds more like government. https://t.co/PVVCBwkQND
1510028401431744514,2022-04-01 22:56:40+00:00,RT @BornFitness: The money trap…
1510021581212422144,2022-04-01 22:29:34+00:00,@AltcoinGordon Deeeeez nuuuuuuuts
1510020485727281160,2022-04-01 22:25:13+00:00,@AltcoinGordon Deez
1510004334540599297,2022-04-01 21:21:02+00:00,"RT @scottmelker: Don’t get caught in this trap. 

The only things worth chasing are more free time and experiences. 

You can’t take the mo…"
