id,created_at,text
1555046082971058179,2022-08-04 04:20:52+00:00,@kamalravikant @naval Maybe it takes lifetimes to really know it.
1554815521962741760,2022-08-03 13:04:42+00:00,"@tunca_nem These are just models. All models breakdown. So use them as a guide only. 

CVDD is intended to mark a l… https://t.co/EsM0pAxDWN"
1553628743633346560,2022-07-31 06:28:52+00:00,"@NorthmanTrader On the left 10,300 EUR per ticket. On the right 1 EUR. 

We can do ENIAC vs iPhone next."
1553229099631403009,2022-07-30 04:00:49+00:00,"@NihilarianZH Dear sir, it represents Bitcoin bear market accumulation and chart crime is a favourite hobby of mine."
1553227895740325888,2022-07-30 03:56:02+00:00,"#Bitcoin bear market accumulation visualised.

It's one from my private collection. Use it at your own discretion t… https://t.co/iRyR8HYMXj"
1552276555207888906,2022-07-27 12:55:45+00:00,First winter in many many years. It’s nostalgic. https://t.co/xm1hBZoZMF
1552058254335037440,2022-07-26 22:28:18+00:00,@saylor Buying BTC accelerates the future of tech.
1551932363521015809,2022-07-26 14:08:03+00:00,@BTCInduction Really nice write up.
1551518536119746560,2022-07-25 10:43:39+00:00,"If we want a renewables to power everything, the grid needs to 10x its  flexible customers that can turn off; BTC m… https://t.co/onuH5ZWqg3"
1551310736110272512,2022-07-24 20:57:56+00:00,"@brockm TLDR; please use simple words and a single sentence, 🙏 in advance."
1551099381167730688,2022-07-24 06:58:05+00:00,@LynAldenContact @RaoulGMI 💯
1550912341969367040,2022-07-23 18:34:51+00:00,@LynAldenContact @RaoulGMI Interestingly BTC mining as a flexible customer is the lowest hanging fruit for solving… https://t.co/clK7Cm7AhB
1550002082937438209,2022-07-21 06:17:48+00:00,@yassineARK Bitcoin is freedom from tyranny and oligarchy dressed up in a get poor quick scheme.
1549979208696614913,2022-07-21 04:46:55+00:00,"@WClementeIII Nice, but be aware entities data like this drifts and is over optimistic towards recent time frames.… https://t.co/8m0HYv5ixS"
1549752711285198849,2022-07-20 13:46:54+00:00,The best trade is not buying the uncertain bottom or selling the uncertain top but to ride the cleanest and most ce… https://t.co/q7rlAk0tAx
1549750963443216385,2022-07-20 13:39:57+00:00,@0xRoland It’s a visualisation of structure. The best trade is not buying the uncertain bottom or selling the uncer… https://t.co/eDQ7RtHnSN
1549725964170432512,2022-07-20 12:00:37+00:00,"@crypt0blackbelt Founding Crest, new office and new staff, baby, prepping for an extended stint of world travel. Be… https://t.co/3tXqcPGoaf"
1549725326544056320,2022-07-20 11:58:05+00:00,"@Big_5exy Well it is using premium data from Glassnode, so it's not really available for me to put out on Woobull."
1549711775645327360,2022-07-20 11:04:14+00:00,This is a contour map visualisation of @glassnode's URPD data.
1549711772856176642,2022-07-20 11:04:13+00:00,2015 bottom https://t.co/yrd1vvaWMH
