id,created_at,text
1457002673979355136,2021-11-06 15:11:21+00:00,"🚨 🚨  22,665,169 #BUSD (22,665,169 USD) transferred from #Binance to unknown wallet

https://t.co/XO494b5atJ"
1457002006418182146,2021-11-06 15:08:42+00:00,"🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥  293,854,870 #BUSD (293,854,870 USD) burned at #Binance

https://t.co/DVDMsYIlQX"
1457001463910125569,2021-11-06 15:06:33+00:00,"🚨 🚨 🚨 🚨  45,144,496 #USDT (45,144,496 USD) transferred from unknown wallet to #Binance

https://t.co/mnrc1gx1x5"
1456960459421143041,2021-11-06 12:23:37+00:00,"🚨  2,925 #ETH (12,759,748 USD) transferred from #Binance to unknown wallet

https://t.co/JxJChsN9Vr"
1456953621879435265,2021-11-06 11:56:27+00:00,"🚨 🚨 🚨  34,000,000 #USDT (34,000,000 USD) transferred from #Binance to unknown wallet

https://t.co/HRXqnaDgZj"
1456952904338792450,2021-11-06 11:53:35+00:00,"🚨 🚨 🚨  34,000,000 #USDT (34,000,000 USD) transferred from Tether Treasury to #Binance

https://t.co/DW0dCXwzQ0"
1456947592517009408,2021-11-06 11:32:29+00:00,"🚨 🚨 🚨  7,119 #ETH (31,411,716 USD) transferred from #Binance to #FTX

https://t.co/O6eqFbk60P"
1456940623366340614,2021-11-06 11:04:47+00:00,"🚨  2,811 #ETH (12,370,563 USD) transferred from #Kraken to unknown wallet

https://t.co/t0zC2OPJbk"
1456931487790608389,2021-11-06 10:28:29+00:00,"🚨 🚨  430 #BTC (26,386,213 USD) transferred from unknown wallet to #Binance

https://t.co/sCp6ToxiK1"
1456930154597556227,2021-11-06 10:23:11+00:00,"🚨 🚨  29,999,978 #USDT (29,999,978 USD) transferred from unknown wallet to Compound Tether

https://t.co/Xh9fewC7w5"
1456929872950005763,2021-11-06 10:22:04+00:00,"🚨 🚨 🚨 🚨 🚨  59,999,953 #USDT (59,999,953 USD) transferred from unknown wallet to Compound Tether

https://t.co/u4MAYeXWr0"
1456929128838479876,2021-11-06 10:19:07+00:00,"🚨 🚨  29,999,978 #USDT (29,999,978 USD) transferred from #Binance to unknown wallet

https://t.co/xK37X27X2G"
1456928358646833153,2021-11-06 10:16:03+00:00,"🚨 🚨  29,999,977 #USDT (29,999,977 USD) transferred from #Binance to unknown wallet

https://t.co/rE8pMQGnxs"
1456928189696126985,2021-11-06 10:15:23+00:00,"🚨 🚨  29,999,976 #USDT (29,999,976 USD) transferred from #Binance to unknown wallet

https://t.co/YNDCrholPn"
1456925460038828035,2021-11-06 10:04:32+00:00,"🚨 🚨 🚨  39,590,461 #USDT (39,590,461 USD) transferred from unknown wallet to #Okex

https://t.co/1TPgpqG3CY"
1456925458537361410,2021-11-06 10:04:32+00:00,"🚨 🚨  28,957,024 #USDT (28,957,024 USD) transferred from #FTX to unknown wallet

https://t.co/3X6pM2FXVu"
