id,created_at,text
1456976158843572224,2021-11-06 13:26:00+00:00,"I'm surprised by how bad industry accepted metrics are.

Here's ROI of a portfolio of assets optimised using numeri… https://t.co/L7U1xzaiTf"
1456952383129337856,2021-11-06 11:51:31+00:00,@natbrunell @PeterSchiff Would require breaking his identity first. Hardest thing in the world to do.
1456947070812622848,2021-11-06 11:30:25+00:00,"@To_The_Mars_ Not rich, lost it all in a boating accident. But every day I steal candy in hopes of getting rich."
1456928563840491524,2021-11-06 10:16:52+00:00,@PeterSweden7 The owners of the 4th estate decided business was more important than democracy and freedom.
1456865156311355392,2021-11-06 06:04:55+00:00,sauce: https://t.co/ExnZATU7ql
1456865154419679234,2021-11-06 06:04:54+00:00,"Rich people are 2x more likely to steal candy from a baby.

Makes me wonder what people with significant power do.… https://t.co/oJRqeSKWq8"
1456710161318379525,2021-11-05 19:49:01+00:00,"NVTS is one of the oldest on-chain signals, gauging on-chain investor volume. Chart posted is the new adjusted vers… https://t.co/uX6d0LYjFN"
1456710159158235140,2021-11-05 19:49:00+00:00,"Adjusted NVT Signal back in the mid zone.

Squiggle to English translation: Price is no longer overheated. Assuming… https://t.co/psy7wK3jff"
1456704127069659143,2021-11-05 19:25:02+00:00,"@VinnyLingham Always thought that ""give it a shot no matter what"" while holding integrity was what they really mean… https://t.co/9kSfSYaUSb"
1456612263670915074,2021-11-05 13:20:00+00:00,This is awesome. Rick Astley etched onto the blockchain forever. The ultimate Rick Roll. https://t.co/NNISk8lQyX
1456592070592892928,2021-11-05 11:59:46+00:00,@mentaljailbreak @100trillionUSD This idea isn't compatible with S2F. Draw a box around the whole system and measur… https://t.co/n0a8rjDdnB
1456255912952451073,2021-11-04 13:44:00+00:00,"BTC vs USD (M2) as a global monetary base.

Things are going to get really interesting in the next 5
years. https://t.co/elA9tdrHmI"
1455890253923897351,2021-11-03 13:31:00+00:00,"What’s my prediction for the top of this cycle?

Since I think this is the last cycle, the one that takes us to sat… https://t.co/esC0RRqlCL"
1455563445860929540,2021-11-02 15:52:23+00:00,@frxllx Nope.
1455558774270267393,2021-11-02 15:33:49+00:00,"@BitcoinMagazine @nayibbukele Technically, that money (BTC as legal tender) is not a sale of BTC, it's a closed loo… https://t.co/So2hn3K6Tm"
1455548913453133826,2021-11-02 14:54:38+00:00,@MatCote3 Those are just bets in the system. Not the valuation of the rails that facilitate the transactions.
1455544263262064640,2021-11-02 14:36:09+00:00,"@WClementeIII Raises your IQ by 23%

https://t.co/40lTpBTHr4"
1455543846599811088,2021-11-02 14:34:30+00:00,"@johnstef81 @BitcoinVisuals Yes, just to support the network and for shits and giggles. Already stacking weekly any… https://t.co/BB0N89oUXb"
1455541897078923276,2021-11-02 14:26:45+00:00,Chart originally requested by @ToneVays
1455541621198622736,2021-11-02 14:25:39+00:00,"Lightning Network continues its exponential growth.

I just put up a live chart here:
https://t.co/BCcHOr2ebS

Data… https://t.co/BX6iSjbmT2"
1455528384042307585,2021-11-02 13:33:03+00:00,"BTW this was deliberately over simplified to get a point across.

Any L1 network that wins significant DeFi activit… https://t.co/fn9Y0Qjmkh"
1455527198190813185,2021-11-02 13:28:21+00:00,"@DragonBreath997 I think because it's a hybrid, competing in both camps."
1455524594161385472,2021-11-02 13:18:00+00:00,"1) Valuation of the banking sector: $7.3T

2) Valuation of inflation hedges (store of value assets): approx $500T… https://t.co/SRuR8v2imN"
1455521179775627267,2021-11-02 13:04:26+00:00,"Who are the best delta neutral or directional algo trading funds in crypto?

Working on a new project. If that's yo… https://t.co/XPOwLdXei7"
1455517871702904839,2021-11-02 12:51:17+00:00,"If you can't beat them, may as well join them. https://t.co/M2chKQBouQ"
1455516204789944325,2021-11-02 12:44:40+00:00,"@MacB10101 BTC is not a country, nor is it a religion. It's money, and money is inclusive."
1455514463843405827,2021-11-02 12:37:44+00:00,"@SimonKay100 Thanks, I'll have a chat with them."
1455513235348590594,2021-11-02 12:32:52+00:00,"While BTC is building up strength for ATH escape velocity, ETH is quietly building even stronger on-chain fundament… https://t.co/OvP0POCMr3"
1455481906242342920,2021-11-02 10:28:22+00:00,@TopTraderMind @LiebermanAustin Near every main network I know of has suffered failure at some point in their history. BTC included.
1455450478787973121,2021-11-02 08:23:29+00:00,"@LiebermanAustin Decentralisation / Gini
Network Effect
Lindy Effect

Things like wallet support, dev ecosystem, ex… https://t.co/5ZkmONTrP5"
1455396979408736256,2021-11-02 04:50:54+00:00,@WClementeIII There is one noticeable difference I found. They put a much higher value to their time and protect it better.
1455330845510668288,2021-11-02 00:28:06+00:00,@fluffypony @MikeyMgtow @_geonic ✅
1455240375203864578,2021-11-01 18:28:37+00:00,"@overthrowy They never achieved sufficient market liquidity, which is a priority for a monetary asset. Technically… https://t.co/VUrYqXQxyQ"
1455201952086642690,2021-11-01 15:55:56+00:00,@balajis I think it’s better measured in the maximum information density created. Or in thermodynamic terms the low… https://t.co/jwpb3tAYMi
1455195959390916617,2021-11-01 15:32:07+00:00,"@AriDavidPaul And how we got from A to B:

horse -&gt; automobile -&gt; aeroplane -&gt; jet -&gt; moon rocket -&gt; email -&gt; zoom"
1455181704633597955,2021-11-01 14:35:29+00:00,@datooo23 @mskvsk World has developed code for 60yrs. Role of the platform to enforce best practices and to minimis… https://t.co/jYq09bWZU6
1455168671190425602,2021-11-01 13:43:41+00:00,"Pretty interesting how much salt was in the comments. Most of the alt community just got defensive.

These were obj… https://t.co/NuZf8Q2qGf"
1455166621413089282,2021-11-01 13:35:32+00:00,"@CrypticTitan_ @mskvsk Layer 2 is build on top of Layer 1, like duh."
1455159850812329990,2021-11-01 13:08:38+00:00,"@balajis Software Engineering: How to build stuff; quickly, reliably, performant.

Computer Science: The fundamenta… https://t.co/ZpPTDky2NC"
1455119704251502595,2021-11-01 10:29:06+00:00,"@Bquittem Literally rat poison squared.

Rat poison being everything you don't understand."
1455113373431918597,2021-11-01 10:03:57+00:00,"@Iansinc0461 Not a maxi. I invest in protocols. Just a realist when I look at the 12 years of data we have.

I'm a… https://t.co/IQMCJeW2GC"
1455112830881914882,2021-11-01 10:01:48+00:00,"@mira_hurley I stopped reading after you covered BTC's huge demand as an inflation hedge, then argued against yours… https://t.co/kg9GfljsHM"
1455112143053811723,2021-11-01 09:59:04+00:00,"@mskvsk DeFi and NFTs are still apps on top of the L1 protocol/platform. That's what I mean when I say ""many people use""."
1455105267624923142,2021-11-01 09:31:45+00:00,"Oh yeah... most shitcoins won't keep up with BTC, given enough time. Most of the alts that make headlines today wil… https://t.co/MxikJ9BTvZ"
1455105265255153668,2021-11-01 09:31:44+00:00,"What I learned in ""crypto"" since 2016.

ETH: Building vulnerable apps many people use is valued. I think Microsoft… https://t.co/Rxlced5fh1"
1455096636313505795,2021-11-01 08:57:27+00:00,@matthewdelly @fold_app @BlockFi @SwanBitcoin Net long term buy side pressure is simply the change in Glassnode Illiquid Supply
1455086874863681536,2021-11-01 08:18:39+00:00,@BetOnRyaner Because God and good Christians around the world take a break from buying?
1455086269269041153,2021-11-01 08:16:15+00:00,"@zhusu Regardless of what is deducted by the futures exchange as fees, USD or BTC, the crypto trader sells their BT… https://t.co/x63sg54Qcs"
1455080191001120770,2021-11-01 07:52:06+00:00,"Fees revenue from spot markets not included in this analysis.

Sources:
On-chain data (mining): @glassnode 
Derivat… https://t.co/SDMsuXOyjb"
1455080189432512513,2021-11-01 07:52:05+00:00,"Grayscale Fees Revenue assumes the 2% pa deducted from holdings each week is sold to cash.

Proshares ETF Contango… https://t.co/KRFOrcWAY6"
1455080187037569025,2021-11-01 07:52:05+00:00,"Orange: daily sell pressure from miners.
Red: daily sell pressure from futures fees revenue.**

Lower on the y-axis… https://t.co/2hfJ5eTvyp"
1455080182394486784,2021-11-01 07:52:04+00:00,"In short don't bet on pristine 4 year cycles in the future. That was a relic of BTC's early era, where miners domin… https://t.co/YfixyjsBx0"
1455080180871880705,2021-11-01 07:52:03+00:00,This study illustrates how we can't just assume the 4 year halvening of miners sell pressure will just keep us lock… https://t.co/6NIFI57fDJ
1455080179294900225,2021-11-01 07:52:03+00:00,"I call this ""The Last Cycle""

ELI5:
Every business operation on the network that earns revenue in BTC will sell BTC… https://t.co/hjRffYy5eK"
1455080177722007554,2021-11-01 07:52:03+00:00,"The BTC network undergoes a constant daily sell pressure independent of investors selling. 2017 was simple, 2021 is… https://t.co/56P8fB5D5D"
1455067251845992448,2021-11-01 07:00:41+00:00,@BekZokirov @cz_binance @SBF_FTX @DeribitExchange @Bybit_Official @HuobiGlobal @JayHao8 @huobi Need the fees the ma… https://t.co/lFKUNlsg7b
1455043682566955016,2021-11-01 05:27:01+00:00,@BekZokirov @cz_binance @SBF_FTX @DeribitExchange @Bybit_Official @HuobiGlobal @JayHao8 Thanks. Source of info?
1455041010141044741,2021-11-01 05:16:24+00:00,Doing some research. What's the average volume adjusted fee paid by traders on futures exchanges? Anyone know?… https://t.co/tNC1UTe8oe
1455019500345040901,2021-11-01 03:50:56+00:00,@bradmillscan @WClementeIII @DylanLeClair_
1454832621611978758,2021-10-31 15:28:21+00:00,@ToneVays @Davincij15 Write your private key on the icing on a cake and then eat it.
